"",BBFI1.M.N.DE.W1.S121.S1.LE.A.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA._T.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F._Z.X1._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F._Z.X1._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F11._Z.XAU.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F11._Z.XAU.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1N.LE.A.FA.R.F12.T.XDR.M.N,BBFI1.M.N.DE.W1.S121.S1N.LE.A.FA.R.F12.T.XDR.M.N_FLAGS,BBFI1.M.N.DE.1C.S121.S121.LE.A.FA.R.FK._Z.XDR.M.N,BBFI1.M.N.DE.1C.S121.S121.LE.A.FA.R.FK._Z.XDR.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F2.T.X1.N.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F2.T.X1.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S122.LE.A.FA.R.F2.T.X1.N.N,BBFI1.M.N.DE.W1.S121.S122.LE.A.FA.R.F2.T.X1.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.FR1._Z.X1.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.FR1._Z.X1.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F3.L.X1.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F3.L.X1.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F519._Z._T.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F519._Z._T.M.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F519._Z._T.M.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F519._Z._T.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F2_F4.T._T.N.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F2_F4.T._T.N.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.L._T.N.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.L._T.N.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.S._T.N.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.S._T.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.P.F.T._T.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.P.F.T._T.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.L.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.L.FA._T.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.U4.S121.S1.LE.L.FA.O.F2.T._T.N.N,BBFI1.M.N.DE.U4.S121.S1.LE.L.FA.O.F2.T._T.N.N_FLAGS,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F2.T._T.N.N,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F2.T._T.N.N_FLAGS,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F21___F221C.S.EUR.N.N,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F21___F221C.S.EUR.N.N_FLAGS,BBFI1.M.N.DE.W1.S1.S1N.LE.L.FA.O.F12.T._T._X.N,BBFI1.M.N.DE.W1.S1.S1N.LE.L.FA.O.F12.T._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.N.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.N.FA._T.F._Z._T._X.N_FLAGS
1999-07,94544,,86779,,28106,,1718,,6726,,12692,,6888,,37537,,35880,,7764,,1237,,1225,,6527,,12247,,-39971,,-,Nothing exists,7568,,5992,,31,,-,Nothing exists,1545,,86976,
1999-08,109943,,87208,,28106,,1771,,6442,,12993,,7255,,37897,,36540,,22735,,1237,,1225,,21498,,12247,,-8749,,-,Nothing exists,13187,,11604,,14,,-,Nothing exists,1569,,96756,
1999-09,125037,,89368,,31762,,1730,,6316,,12680,,8244,,36880,,35297,,35668,,1237,,1225,,34431,,12247,,263,,-,Nothing exists,7766,,6161,,30,,-,Nothing exists,1575,,117271,
1999-10,110021,,89254,,31762,,1729,,6251,,11423,,4865,,38089,,36828,,20767,,1237,,1225,,19530,,12247,,-8045,,-,Nothing exists,7781,,6169,,13,,-,Nothing exists,1599,,102240,
1999-11,135346,,89607,,31762,,1754,,6185,,11315,,7266,,38593,,36391,,45738,,1237,,1225,,44501,,12247,,27852,,-,Nothing exists,13241,,11576,,23,,-,Nothing exists,1642,,122105,
1999-12,141958,,93039,,32287,,1948,,6383,,10472,,4987,,41949,,39118,,48919,,1237,,1225,,47682,,12247,,26275,,-,Nothing exists,7830,,6167,,11,,-,Nothing exists,1652,,134128,
2000-01,120993,,93080,,32287,,1845,,6357,,9848,,5691,,42744,,41117,,27913,,1237,,1225,,26676,,12247,,11691,,-,Nothing exists,13071,,11388,,10,,-,Nothing exists,1673,,107922,
2000-02,123747,,93519,,32287,,1899,,6339,,10605,,7218,,42388,,40775,,30228,,1237,,1225,,28991,,12247,,10759,,-,Nothing exists,13887,,12200,,18,,-,Nothing exists,1669,,109860,
2000-03,120291,,96835,,32208,,1965,,6715,,11530,,6926,,44416,,42197,,23455,,1237,,1225,,22218,,12247,,-563,,-,Nothing exists,15190,,13474,,9,,-,Nothing exists,1707,,105101,
2000-04,126571,,95481,,32208,,1876,,5813,,12282,,4774,,43303,,41571,,31089,,1237,,1225,,29852,,12247,,9264,,-,Nothing exists,12218,,10451,,9,,-,Nothing exists,1758,,114353,
2000-05,121282,,95310,,32208,,1927,,5773,,11152,,5277,,44250,,42102,,25971,,1237,,1225,,24734,,12247,,-5075,,-,Nothing exists,9546,,7791,,37,,-,Nothing exists,1718,,111736,
2000-06,139873,,96018,,33744,,1892,,5688,,9711,,4805,,44981,,42952,,43855,,1237,,1225,,42618,,12247,,25825,,-,Nothing exists,9741,,8011,,36,,-,Nothing exists,1694,,130132,
2000-07,114851,,94838,,33744,,1875,,5499,,10363,,8319,,43357,,40374,,20013,,1237,,1225,,18776,,12247,,-7582,,-,Nothing exists,8344,,6616,,8,,-,Nothing exists,1720,,106507,
2000-08,104396,,94493,,33744,,1929,,5499,,9085,,7154,,44236,,41467,,9903,,1237,,1225,,8666,,12247,,-15048,,-,Nothing exists,9701,,7920,,7,,-,Nothing exists,1774,,94695,
2000-09,126332,,100750,,34874,,2025,,5790,,10117,,6933,,47944,,44902,,25581,,1237,,1225,,24344,,12247,,6486,,-,Nothing exists,11934,,10127,,14,,-,Nothing exists,1793,,114398,
2000-10,114646,,100212,,34874,,1970,,5713,,9161,,7174,,48493,,45335,,14433,,1237,,1225,,13196,,12247,,-810,,-,Nothing exists,19886,,18029,,17,,-,Nothing exists,1840,,94760,
2000-11,98238,,99746,,34874,,2024,,5596,,9092,,7014,,48160,,45065,,-1509,,1237,,1225,,-2746,,12247,,-15299,,-,Nothing exists,8439,,6615,,37,,-,Nothing exists,1787,,89799,
2000-12,100762,,93815,,32676,,1894,,5868,,7662,,4811,,45716,,42927,,6947,,1237,,1225,,5710,,12247,,-6851,,-,Nothing exists,8287,,6583,,9,,-,Nothing exists,1695,,92475,
2001-01,106446,,92019,,31945,,1860,,5996,,6066,,4349,,46151,,43862,,14426,,1237,,1225,,13189,,12247,,634,,-,Nothing exists,8374,,6667,,16,,-,Nothing exists,1691,,98072,
2001-02,110799,,91297,,31956,,1922,,5706,,6844,,5231,,44869,,42774,,19501,,1237,,1225,,18264,,12247,,5710,,-,Nothing exists,8398,,6697,,9,,-,Nothing exists,1692,,102401,
