名目原系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Original Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
7- 9.,"128,695.9 ","69,473.2 ","68,281.7 ","59,070.1 ","7,339.4 ","21,702.2 ",88.4 ,"17,386.6 ","11,156.9 ",-8.9 ,"1,558.2 ","11,668.1 ","10,110.0 ",,"1,119.4 ","4,956.6 ","3,837.2 ","129,815.3 ",,"127,137.7 ","98,603.2 ","28,534.5 ",,"40,198.5 ",,"128,616.4 ",,,,,,
10-12.,"140,948.6 ","71,559.9 ","69,863.2 ","60,561.1 ","7,467.5 ","21,507.8 ","2,566.0 ","21,955.2 ","14,329.9 ",197.1 ,"1,365.2 ","12,407.0 ","11,041.9 ",,"1,107.6 ","4,736.1 ","3,628.5 ","142,056.2 ",,"139,583.4 ","103,101.2 ","36,482.2 ",,"43,305.2 ",,"138,185.5 ",,,,,,
1996/ 1- 3.,"128,185.5 ","68,016.3 ","67,305.5 ","57,930.3 ","7,309.8 ","23,061.8 ","-3,191.9 ","18,813.6 ","13,272.1 ",117.8 ,786.0 ,"12,146.2 ","11,360.2 ",,"1,679.1 ","3,505.6 ","1,826.5 ","129,864.6 ",,"127,399.5 ","95,196.1 ","32,203.5 ",,"43,643.7 ",,"131,259.6 ",,,,,,
4- 6.,"131,517.9 ","68,950.7 ","67,574.4 ","58,076.0 ","7,687.0 ","20,525.6 ","2,429.6 ","21,715.0 ","10,091.6 ",-39.0 ,157.5 ,"11,904.7 ","11,747.3 ",,"1,744.2 ","3,208.1 ","1,463.8 ","133,262.2 ",,"131,360.5 ","99,592.9 ","31,767.6 ",,"38,304.2 ",,"129,127.3 ",,,,,,
7- 9.,"131,443.7 ","70,809.4 ","69,598.3 ","59,980.8 ","8,568.8 ","22,729.6 ",-53.1 ,"17,963.7 ","11,068.6 ",-8.2 ,365.0 ,"12,402.8 ","12,037.8 ",,"1,570.4 ","3,068.3 ","1,497.9 ","133,014.2 ",,"131,078.8 ","102,054.6 ","29,024.2 ",,"42,367.0 ",,"131,505.0 ",,,,,,
10-12.,"144,414.9 ","73,123.3 ","71,412.5 ","61,687.2 ","8,747.5 ","22,183.1 ","2,979.7 ","22,623.5 ","13,861.9 ",181.9 ,714.0 ,"13,437.8 ","12,723.8 ",,"1,463.7 ","2,863.8 ","1,400.1 ","145,878.6 ",,"143,700.9 ","107,033.6 ","36,667.3 ",,"44,792.5 ",,"141,253.3 ",,,,,,
1997/ 1- 3.,"131,281.8 ","70,880.8 ","70,116.0 ","60,304.2 ","7,968.1 ","24,254.3 ","-3,816.5 ","19,504.1 ","12,065.6 ",38.2 ,387.3 ,"13,629.1 ","13,241.8 ",,"2,027.2 ","3,679.9 ","1,652.7 ","133,309.1 ",,"130,894.5 ","99,286.7 ","31,607.9 ",,"44,288.0 ",,"135,060.2 ",,,,,,
4- 6.,"133,764.1 ","69,956.9 ","68,573.5 ","58,640.1 ","7,394.1 ","20,876.3 ","2,445.2 ","22,405.1 ","9,428.0 ",-37.7 ,"1,296.3 ","13,935.2 ","12,638.9 ",,"1,866.2 ","3,357.3 ","1,491.1 ","135,630.3 ",,"132,467.8 ","100,672.4 ","31,795.4 ",,"37,698.4 ",,"131,356.6 ",,,,,,
7- 9.,"133,438.7 ","71,918.4 ","70,717.2 ","60,678.9 ","7,349.8 ","23,081.2 ",673.0 ,"18,219.0 ","10,853.5 ",-17.9 ,"1,361.7 ","13,879.1 ","12,517.4 ",,"1,586.9 ","3,131.9 ","1,545.1 ","135,025.6 ",,"132,077.1 ","103,022.4 ","29,054.7 ",,"41,284.5 ",,"132,783.6 ",,,,,,
10-12.,"145,060.7 ","73,169.4 ","71,470.5 ","61,353.2 ","6,936.3 ","22,939.8 ","3,382.1 ","23,044.8 ","13,089.5 ",196.2 ,"2,302.5 ","14,996.7 ","12,694.2 ",,"1,653.6 ","3,257.4 ","1,603.7 ","146,714.3 ",,"142,758.2 ","106,427.6 ","36,330.5 ",,"42,965.6 ",,"141,482.4 ",,,,,,
1998/ 1- 3.,"130,236.9 ","69,744.2 ","68,976.7 ","58,778.2 ","6,310.9 ","24,513.9 ","-2,955.3 ","19,721.8 ","10,959.4 ",73.9 ,"1,868.2 ","13,997.4 ","12,129.2 ",,"2,058.8 ","3,725.3 ","1,666.5 ","132,295.7 ",,"128,368.8 ","97,613.6 ","30,755.1 ",,"41,784.2 ",,"133,118.4 ",,,,,,
4- 6.,"131,957.6 ","69,697.0 ","68,119.5 ","57,866.2 ","6,217.4 ","20,568.9 ","2,364.8 ","22,457.6 ","8,272.8 ",-15.5 ,"2,394.6 ","13,965.8 ","11,571.2 ",,"1,499.9 ","3,179.5 ","1,679.6 ","133,457.5 ",,"129,563.0 ","98,848.1 ","30,714.9 ",,"35,059.1 ",,"129,608.3 ",,,,,,
7- 9.,"130,938.3 ","71,637.6 ","70,276.9 ","59,940.1 ","6,455.8 ","22,687.0 ",-668.8 ,"18,408.8 ","9,906.7 ",-59.5 ,"2,570.7 ","14,428.7 ","11,858.0 ",,"1,711.7 ","3,159.9 ","1,448.3 ","132,650.0 ",,"128,367.6 ","100,111.5 ","28,256.0 ",,"39,049.5 ",,"131,666.6 ",,,,,,
10-12.,"143,364.5 ","73,261.2 ","71,361.4 ","61,007.1 ","6,204.0 ","21,215.9 ","2,994.7 ","23,456.4 ","13,787.6 ",-80.5 ,"2,525.3 ","13,263.4 ","10,738.1 ",,"1,355.2 ","2,462.6 ","1,107.4 ","144,719.8 ",,"140,839.2 ","103,675.8 ","37,163.4 ",,"41,207.5 ",,"140,450.4 ",,,,,,
1999/ 1- 3.,"128,306.8 ","70,108.5 ","69,165.6 ","58,786.4 ","5,749.0 ","22,536.9 ","-4,709.6 ","20,144.1 ","12,419.5 ",13.7 ,"2,044.8 ","12,471.5 ","10,426.7 ",,"1,610.0 ","2,914.4 ","1,304.3 ","129,916.9 ",,"126,262.1 ","93,684.7 ","32,577.3 ",,"40,705.4 ",,"133,002.8 ",,,,,,
4- 6.,"130,496.3 ","70,138.4 ","68,477.5 ","58,037.6 ","6,186.3 ","18,929.4 ","1,081.1 ","23,099.3 ","9,183.9 ",-40.4 ,"1,918.3 ","12,786.3 ","10,867.9 ",,"1,636.9 ","2,731.7 ","1,094.8 ","132,133.3 ",,"128,578.0 ","96,335.2 ","32,242.8 ",,"34,299.6 ",,"129,455.6 ",,,,,,
7- 9.,"129,480.5 ","72,027.4 ","70,561.7 ","60,054.5 ","6,658.6 ","21,108.3 ","-1,450.0 ","18,904.6 ","10,245.6 ",-33.5 ,"2,019.5 ","13,212.3 ","11,192.8 ",,"1,704.5 ","2,645.7 ",941.1 ,"131,185.1 ",,"127,461.1 ","98,344.3 ","29,116.8 ",,"38,012.5 ",,"130,964.0 ",,,,,,
10-12.,"139,786.2 ","73,397.6 ","71,436.2 ","60,879.1 ","6,283.1 ","20,496.1 ","1,493.0 ","23,487.8 ","12,826.4 ",-59.5 ,"1,861.6 ","13,310.0 ","11,448.4 ",,"1,532.2 ","2,431.6 ",899.5 ,"141,318.4 ",,"137,924.6 ","101,669.9 ","36,254.8 ",,"39,605.7 ",,"138,352.7 ",,,,,,
2000/ 1- 3.,"130,534.4 ","71,074.7 ","70,018.2 ","59,415.5 ","5,999.9 ","23,678.5 ","-4,248.1 ","20,663.5 ","11,267.7 ",81.4 ,"2,017.0 ","13,518.5 ","11,501.4 ",,"1,972.5 ","3,091.4 ","1,119.0 ","132,506.9 ",,"128,517.4 ","96,504.9 ","32,012.6 ",,"40,946.0 ",,"134,701.2 ",,,,,,
4- 6.,"132,184.2 ","70,486.4 ","69,029.5 ","58,358.8 ","6,172.8 ","19,090.5 ","2,408.9 ","23,719.8 ","8,312.2 ",-20.3 ,"2,013.9 ","13,755.9 ","11,742.0 ",,"1,985.0 ","3,008.3 ","1,023.3 ","134,169.2 ",,"130,170.3 ","98,158.6 ","32,011.7 ",,"33,575.5 ",,"129,795.6 ",,,,,,
7- 9.,"131,083.7 ","71,921.9 ","70,592.1 ","59,868.8 ","6,484.0 ","22,373.4 ",-891.2 ,"19,842.3 ","9,376.8 ",-33.8 ,"2,010.2 ","14,277.2 ","12,267.0 ",,"2,066.1 ","3,031.7 ",965.6 ,"133,149.8 ",,"129,073.5 ","99,888.1 ","29,185.3 ",,"38,234.2 ",,"132,008.6 ",,,,,,
10-12.,"141,615.4 ","73,869.2 ","72,144.6 ","61,365.2 ","6,507.1 ","21,964.1 ","2,345.0 ","24,381.7 ","11,298.4 ",-15.3 ,"1,265.2 ","14,471.8 ","13,206.6 ",,"1,722.2 ","2,793.9 ","1,071.8 ","143,337.5 ",,"140,350.1 ","104,685.3 ","35,664.8 ",,"39,769.5 ",,"139,285.6 ",,,,,,
2001/ 1- 3.,"132,733.0 ","71,708.7 ","70,791.1 ","59,989.2 ","6,110.7 ","24,538.3 ","-3,325.7 ","21,547.5 ","11,165.4 ",52.9 ,935.3 ,"13,963.4 ","13,028.1 ",,"2,457.4 ","3,537.9 ","1,080.4 ","135,190.4 ",,"131,797.6 ","99,031.9 ","32,765.7 ",,"41,814.3 ",,"136,005.8 ",,,,,,
4- 6.,"132,059.9 ","71,667.0 ","70,163.5 ","59,274.1 ","5,791.8 ","19,316.9 ","2,682.0 ","24,480.4 ","7,696.0 ",-64.7 ,490.4 ,"13,391.6 ","12,901.1 ",,"1,934.2 ","3,085.3 ","1,151.1 ","133,994.0 ",,"131,569.4 ","99,457.7 ","32,111.8 ",,"32,804.6 ",,"129,442.5 ",,,,,,
7- 9.,"129,138.1 ","72,558.9 ","71,164.4 ","60,221.8 ","6,113.0 ","21,577.3 ","-1,085.4 ","20,498.1 ","8,767.5 ",-70.4 ,779.0 ,"13,170.7 ","12,391.7 ",,"2,067.7 ","3,033.5 ",965.7 ,"131,205.8 ",,"128,359.1 ","99,163.8 ","29,195.2 ",,"36,457.8 ",,"130,293.9 ",,,,,,
10-12.,"137,722.9 ","73,402.4 ","71,609.3 ","60,619.5 ","6,067.3 ","19,700.2 ","1,957.2 ","25,072.6 ","10,588.5 ",-18.4 ,953.2 ,"13,048.0 ","12,094.8 ",,"1,806.2 ","2,675.9 ",869.7 ,"139,529.2 ",,"136,769.8 ","101,127.1 ","35,642.7 ",,"36,356.0 ",,"135,784.2 ",,,,,,
2002/ 1- 3.,"128,487.5 ","71,271.2 ","70,239.7 ","59,221.3 ","5,632.9 ","21,904.9 ","-4,567.0 ","22,303.2 ","10,347.1 ",17.0 ,"1,578.2 ","13,668.6 ","12,090.4 ",,"2,418.1 ","3,149.0 ",730.9 ,"130,905.6 ",,"126,909.3 ","94,242.1 ","32,667.3 ",,"37,884.9 ",,"133,037.5 ",,,,,,
4- 6.,"129,861.6 ","71,474.2 ","70,086.7 ","59,059.0 ","5,619.4 ","17,398.3 ","1,452.9 ","24,841.3 ","7,237.8 ",-17.2 ,"1,854.9 ","14,222.8 ","12,368.0 ",,"1,742.9 ","2,682.9 ",940.0 ,"131,604.4 ",,"128,006.7 ","95,944.8 ","32,061.9 ",,"30,255.5 ",,"128,425.9 ",,,,,,
7- 9.,"128,467.2 ","72,533.4 ","71,209.1 ","60,146.5 ","6,028.1 ","20,118.5 ",-850.0 ,"20,874.6 ","8,237.8 ",-21.0 ,"1,545.9 ","14,018.2 ","12,472.4 ",,"1,974.8 ","2,799.2 ",824.4 ,"130,442.0 ",,"126,921.3 ","97,829.9 ","29,091.4 ",,"34,384.3 ",,"129,338.2 ",,,,,,
10-12.,"137,662.4 ","73,512.1 ","71,814.0 ","60,720.9 ","5,904.3 ","19,246.5 ","2,150.4 ","25,206.5 ","10,054.8 ",-61.4 ,"1,649.3 ","15,024.9 ","13,375.6 ",,"1,518.8 ","2,371.7 ",853.0 ,"139,181.2 ",,"136,013.1 ","100,813.3 ","35,199.9 ",,"35,205.6 ",,"135,573.5 ",,,,,,
2003/ 1- 3.,"127,474.8 ","71,320.2 ","70,343.2 ","59,215.1 ","5,503.0 ","21,458.6 ","-3,709.0 ","21,740.3 ","9,612.1 ",18.0 ,"1,531.5 ","14,613.8 ","13,082.3 ",,"2,303.6 ","3,005.7 ",702.1 ,"129,778.4 ",,"125,943.2 ","94,572.8 ","31,370.4 ",,"36,573.8 ",,"131,165.8 ",,,,,,
4- 6.,"130,109.5 ","70,822.0 ","69,348.0 ","58,172.5 ","5,494.8 ","17,668.1 ","1,774.1 ","25,405.6 ","6,834.2 ",12.6 ,"2,098.1 ","14,618.6 ","12,520.5 ",,"1,860.5 ","2,735.2 ",874.6 ,"131,970.1 ",,"128,011.4 ","95,759.0 ","32,252.4 ",,"29,997.1 ",,"128,322.9 ",,,,,,
7- 9.,"128,457.6 ","71,682.1 ","70,271.2 ","59,048.3 ","6,071.5 ","19,696.3 ",70.7 ,"21,091.9 ","7,592.9 ",-23.9 ,"2,276.1 ","15,157.2 ","12,881.1 ",,"2,489.3 ","3,146.0 ",656.7 ,"130,946.9 ",,"126,181.5 ","97,520.6 ","28,660.9 ",,"33,360.7 ",,"128,410.8 ",,,,,,
10-12.,"137,926.7 ","73,819.4 ","72,013.7 ","60,759.9 ","5,949.9 ","19,646.0 ","1,687.4 ","25,219.6 ","9,202.5 ",-104.4 ,"2,506.4 ","15,687.5 ","13,181.1 ",,"1,812.2 ","2,515.0 ",702.8 ,"139,738.9 ",,"135,420.3 ","101,102.7 ","34,317.7 ",,"34,798.3 ",,"136,343.7 ",,,,,,
2004/ 1- 3.,"129,728.7 ","71,740.3 ","70,676.7 ","59,346.9 ","5,639.6 ","21,785.9 ","-2,759.5 ","21,785.2 ","8,862.7 ",-51.5 ,"2,726.0 ","16,113.2 ","13,387.2 ",,"2,746.3 ","3,322.1 ",575.7 ,"132,475.0 ",,"127,002.7 ","96,406.3 ","30,596.4 ",,"36,288.2 ",,"132,539.7 ",,,,,,
4- 6.,"130,853.8 ","71,315.7 ","69,870.0 ","58,490.6 ","5,704.4 ","17,837.5 ","2,041.3 ","25,171.2 ","6,142.4 ",19.6 ,"2,621.8 ","16,662.6 ","14,040.9 ",,"2,373.6 ","3,267.8 ",894.2 ,"133,227.4 ",,"128,232.1 ","96,898.9 ","31,333.2 ",,"29,684.2 ",,"128,792.9 ",,,,,,
7- 9.,"129,991.6 ","72,787.2 ","71,398.2 ","59,974.9 ","6,192.4 ","20,355.3 ",209.7 ,"21,105.7 ","6,859.7 ",22.4 ,"2,459.3 ","17,195.9 ","14,736.6 ",,"2,772.1 ","3,455.6 ",683.5 ,"132,763.7 ",,"127,532.3 ","99,544.6 ","27,987.7 ",,"33,407.4 ",,"129,759.6 ",,,,,,
10-12.,"138,826.7 ","73,899.3 ","72,080.1 ","60,597.9 ","6,191.5 ","19,992.9 ","2,157.0 ","25,765.5 ","8,500.9 ",24.8 ,"2,294.8 ","17,718.8 ","15,424.0 ",,"2,327.9 ","3,206.5 ",878.6 ,"141,154.6 ",,"136,531.9 ","102,240.6 ","34,291.2 ",,"34,685.3 ",,"136,644.9 ",,,,,,
2005/ 1- 3.,"129,961.4 ","71,848.6 ","70,813.0 ","59,276.4 ","5,684.8 ","22,852.1 ","-2,967.6 ","21,909.9 ","8,516.5 ",66.8 ,"2,050.3 ","16,926.6 ","14,876.3 ",,"3,083.1 ","3,893.1 ",810.0 ,"133,044.5 ",,"127,911.1 ","97,417.9 ","30,493.1 ",,"37,053.4 ",,"132,862.2 ",,,,,,
4- 6.,"131,631.0 ","71,765.0 ","70,294.4 ","58,707.5 ","5,611.7 ","19,563.1 ","2,049.4 ","25,412.8 ","5,444.1 ",-7.0 ,"1,791.9 ","17,632.8 ","15,840.9 ",,"2,636.7 ","3,950.1 ","1,313.4 ","134,267.7 ",,"129,839.1 ","98,989.2 ","30,849.9 ",,"30,618.9 ",,"129,588.6 ",,,,,,
7- 9.,"130,895.3 ","73,293.0 ","71,859.4 ","60,220.1 ","6,183.1 ","22,362.1 ",-66.4 ,"21,254.4 ","6,306.6 ",4.5 ,"1,558.0 ","18,663.0 ","17,105.0 ",,"3,335.8 ","4,201.3 ",865.6 ,"134,231.1 ",,"129,337.3 ","101,771.8 ","27,565.5 ",,"34,851.8 ",,"130,957.2 ",,,,,,
10-12.,"140,027.8 ","74,922.4 ","73,023.2 ","61,304.7 ","6,278.4 ","21,283.3 ","1,730.2 ","25,911.9 ","7,841.2 ",-4.3 ,"2,064.7 ","20,349.3 ","18,284.7 ",,"2,752.8 ","4,058.5 ","1,305.7 ","142,780.6 ",,"137,963.1 ","104,214.3 ","33,748.8 ",,"35,403.0 ",,"138,301.9 ",,,,,,
2006/ 1- 3.,"131,555.5 ","73,114.7 ","72,037.1 ","60,272.2 ","5,822.6 ","23,800.7 ","-3,201.9 ","21,902.5 ","8,387.1 ",28.3 ,"1,701.5 ","20,100.7 ","18,399.2 ",,"4,154.1 ","5,171.1 ","1,016.9 ","135,709.7 ",,"129,854.0 ","99,536.2 ","30,317.9 ",,"38,010.4 ",,"134,729.1 ",,,,,,
4- 6.,"131,960.2 ","72,505.7 ","71,022.0 ","59,210.8 ","5,773.1 ","19,979.9 ","1,638.7 ","25,353.8 ","5,403.0 ",-14.2 ,"1,320.2 ","20,117.6 ","18,797.3 ",,"3,080.9 ","4,875.0 ","1,794.1 ","135,041.1 ",,"130,639.9 ","99,897.4 ","30,742.5 ",,"31,155.9 ",,"130,335.7 ",,,,,,
7- 9.,"130,219.4 ","73,109.8 ","71,650.0 ","59,812.6 ","6,271.9 ","22,317.1 ",-119.1 ,"21,189.2 ","5,819.8 ",-0.9 ,"1,631.7 ","21,315.3 ","19,683.6 ",,"4,004.3 ","5,133.7 ","1,129.3 ","134,223.7 ",,"128,587.8 ","101,579.8 ","27,008.0 ",,"34,408.8 ",,"130,339.4 ",,,,,,
10-12.,"141,435.1 ","75,768.5 ","73,794.9 ","61,904.7 ","6,313.2 ","21,991.5 ","1,860.2 ","25,718.1 ","7,503.6 ",-15.2 ,"2,295.1 ","22,260.0 ","19,964.9 ",,"3,061.5 ","4,861.2 ","1,799.7 ","144,496.6 ",,"139,140.0 ","105,933.4 ","33,206.6 ",,"35,808.3 ",,"139,590.0 ",,,,,,
2007/ 1- 3.,"133,646.3 ","73,253.2 ","72,174.7 ","60,225.2 ","5,863.4 ","24,793.7 ","-2,454.0 ","21,836.7 ","7,817.9 ",3.1 ,"2,532.4 ","22,273.2 ","19,740.9 ",,"4,938.7 ","6,205.9 ","1,267.1 ","138,585.1 ",,"131,114.0 ","101,456.2 ","29,657.7 ",,"38,475.0 ",,"136,097.3 ",,,,,,
4- 6.,"133,678.7 ","73,152.2 ","71,723.9 ","59,729.7 ","5,704.5 ","20,212.7 ","1,874.8 ","25,608.8 ","5,069.5 ",34.7 ,"2,021.7 ","22,848.0 ","20,826.3 ",,"3,831.5 ","5,889.3 ","2,057.8 ","137,510.2 ",,"131,657.1 ","100,944.2 ","30,712.9 ",,"30,986.7 ",,"131,769.3 ",,,,,,
7- 9.,"131,291.6 ","73,615.8 ","72,155.2 ","60,113.0 ","5,645.4 ","22,173.0 ",97.8 ,"21,399.4 ","5,694.8 ",-3.0 ,"2,668.4 ","23,651.1 ","20,982.8 ",,"4,416.8 ","5,989.9 ","1,573.1 ","135,708.4 ",,"128,623.3 ","101,532.0 ","27,091.3 ",,"33,513.2 ",,"131,196.8 ",,,,,,
10-12.,"140,665.0 ","75,695.5 ","73,787.0 ","61,691.3 ","5,080.8 ","21,532.9 ","2,394.2 ","26,253.7 ","7,416.6 ",13.4 ,"2,277.9 ","24,464.8 ","22,186.9 ",,"3,338.6 ","5,403.7 ","2,065.1 ","144,003.7 ",,"138,387.1 ","104,703.5 ","33,683.7 ",,"34,030.4 ",,"138,257.5 ",,,,,,
2008/ 1- 3.,"132,848.6 ","73,967.4 ","72,886.5 ","60,733.0 ","4,961.3 ","24,599.3 ","-2,553.3 ","22,320.0 ","7,630.8 ",57.9 ,"1,865.3 ","23,638.2 ","21,772.9 ",,"4,986.7 ","6,108.3 ","1,121.6 ","137,835.4 ",,"130,983.3 ","100,974.7 ","30,008.6 ",,"37,191.4 ",,"135,344.0 ",,,,,,
4- 6.,"131,383.4 ","72,534.5 ","71,137.1 ","58,945.0 ","5,120.1 ","19,898.3 ","2,703.7 ","25,457.2 ","4,943.5 ",-6.0 ,732.0 ,"23,373.6 ","22,641.5 ",,"2,846.5 ","4,859.8 ","2,013.3 ","134,229.9 ",,"130,651.3 ","100,256.7 ","30,394.7 ",,"29,961.9 ",,"128,685.7 ",,,,,,
7- 9.,"128,169.2 ","74,025.7 ","72,568.8 ","60,317.0 ","5,695.3 ","21,818.7 ",-411.7 ,"21,384.2 ","5,691.1 ",-41.5 ,7.6 ,"24,634.9 ","24,627.3 ",,"3,976.6 ","5,054.2 ","1,077.6 ","132,145.8 ",,"128,161.6 ","101,127.9 ","27,033.7 ",,"33,205.0 ",,"128,622.5 ",,,,,,
10-12.,"135,422.6 ","73,807.0 ","71,938.5 ","59,675.5 ","5,669.9 ","20,375.5 ","3,268.1 ","25,979.1 ","7,097.9 ",27.0 ,-801.9 ,"19,326.6 ","20,128.4 ",,"2,369.3 ","3,901.8 ","1,532.4 ","137,791.9 ",,"136,224.4 ","103,120.5 ","33,104.0 ",,"33,143.2 ",,"132,127.5 ",,,,,,
2009/ 1- 3.,"121,198.8 ","70,327.7 ","69,270.4 ","57,005.0 ","4,847.2 ","21,402.9 ","-4,072.5 ","22,072.8 ","7,507.1 ",-1.5 ,-884.9 ,"13,316.2 ","14,201.0 ",,"3,489.2 ","4,295.8 ",806.6 ,"124,688.0 ",,"122,083.7 ","92,505.2 ","29,578.4 ",,"33,757.2 ",,"125,272.8 ",,,,,,
4- 6.,"122,759.8 ","70,138.6 ","68,740.7 ","56,460.1 ","4,185.2 ","16,707.8 ",340.4 ,"25,500.7 ","5,329.7 ",10.8 ,546.6 ,"14,551.2 ","14,004.6 ",,"3,010.9 ","4,350.3 ","1,339.4 ","125,770.7 ",,"122,213.2 ","91,372.0 ","30,841.2 ",,"26,222.7 ",,"122,408.6 ",,,,,,
7- 9.,"120,874.3 ","71,579.3 ","70,100.5 ","57,809.6 ","4,150.3 ","17,900.6 ","-1,609.4 ","21,955.8 ","5,952.5 ",-8.6 ,953.9 ,"16,178.4 ","15,224.5 ",,"3,504.4 ","4,239.8 ",735.4 ,"124,378.6 ",,"119,920.4 ","92,020.7 ","27,899.7 ",,"28,003.3 ",,"122,492.3 ",,,,,,
10-12.,"130,105.5 ","73,108.8 ","71,258.3 ","58,953.5 ","4,079.7 ","17,321.5 ",273.8 ,"26,160.8 ","7,541.3 ",13.2 ,"1,606.5 ","17,423.3 ","15,816.9 ",,"2,435.0 ","3,472.5 ","1,037.5 ","132,540.5 ",,"128,499.1 ","94,783.8 ","33,715.3 ",,"28,942.4 ",,"129,818.5 ",,,,,,
2010/ 1- 3.,"123,627.1 ","70,955.4 ","69,845.3 ","57,540.2 ","4,086.1 ","19,883.3 ","-3,585.7 ","22,458.6 ","7,899.1 ",38.3 ,"1,892.0 ","18,195.8 ","16,303.8 ",,"3,853.8 ","4,566.8 ",713.0 ,"127,480.9 ",,"121,735.1 ","91,339.1 ","30,396.0 ",,"31,868.5 ",,"127,174.5 ",,,,,,
4- 6.,"124,552.6 ","70,722.3 ","69,279.5 ","56,968.0 ","3,951.8 ","16,234.0 ","1,068.4 ","25,963.2 ","5,028.5 ",-2.1 ,"1,586.5 ","19,045.9 ","17,459.5 ",,"3,017.8 ","4,468.5 ","1,450.7 ","127,570.4 ",,"122,966.1 ","91,976.4 ","30,989.7 ",,"25,214.3 ",,"123,486.2 ",,,,,,
