名目原系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Original Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/ 1- 3.,"123,456.1 ","65,261.6 ","64,645.5 ","56,047.5 ","6,916.4 ","21,459.7 ","-2,340.7 ","17,345.4 ","12,207.3 ",-110.8 ,"2,717.3 ","11,251.8 ","8,534.5 ",,"1,219.6 ","4,340.0 ","3,120.4 ","124,675.7 ",,"120,738.8 ","91,297.0 ","29,441.8 ",,"40,583.4 ",,"125,907.6 ",,,,,,
4- 6.,"124,896.6 ","66,067.9 ","64,799.4 ","56,098.6 ","7,251.8 ","18,624.9 ",759.3 ,"20,180.0 ","9,697.5 ",28.9 ,"2,286.2 ","10,983.3 ","8,697.1 ",,"1,209.3 ","3,871.2 ","2,661.9 ","126,105.8 ",,"122,610.3 ","92,703.9 ","29,906.4 ",,"35,574.2 ",,"124,108.3 ",,,,,,
7- 9.,"125,738.4 ","68,203.2 ","67,059.7 ","58,246.0 ","8,363.3 ","20,077.6 ",-472.5 ,"16,689.2 ","10,616.0 ",114.5 ,"2,147.1 ","11,236.9 ","9,089.8 ",,920.2 ,"3,957.5 ","3,037.3 ","126,658.6 ",,"123,591.3 ","96,171.5 ","27,419.7 ",,"39,056.9 ",,"126,096.4 ",,,,,,
10-12.,"136,825.0 ","69,872.5 ","68,233.9 ","59,299.8 ","7,992.9 ","19,874.3 ","1,856.2 ","21,136.9 ","13,367.6 ",324.4 ,"2,400.2 ","11,692.2 ","9,292.0 ",,899.0 ,"3,797.4 ","2,898.4 ","137,724.0 ",,"134,424.8 ","99,595.9 ","34,828.8 ",,"41,234.7 ",,"134,644.4 ",,,,,,
1995/ 1- 3.,"124,494.6 ","66,805.5 ","66,153.6 ","57,149.0 ","7,208.8 ","21,907.8 ","-2,860.0 ","18,322.2 ","11,274.3 ",-43.1 ,"1,879.2 ","11,247.0 ","9,367.8 ",,"1,171.2 ","4,657.3 ","3,486.1 ","125,665.7 ",,"122,615.3 ","93,062.0 ","29,553.4 ",,"40,390.8 ",,"127,397.7 ",,,,,,
4- 6.,"127,474.6 ","67,280.3 ","65,936.3 ","56,836.1 ","7,016.1 ","19,625.7 ","1,802.5 ","20,993.9 ","9,107.9 ",-32.1 ,"1,680.2 ","10,665.7 ","8,985.6 ",,"1,033.7 ","3,935.5 ","2,901.8 ","128,508.3 ",,"125,794.4 ","95,724.6 ","30,069.8 ",,"35,749.7 ",,"125,704.2 ",,,,,,
