é¿éøãGêﬂí≤êÆånóÒ,,,,,,,,,,,,,,,,,,,,,,,,(íPà :2015óÔîNòAçΩâøäiÅA10â≠â~)
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,,,,,,,,,(Billions of Chained (2015) Yen)
,â∆åvç≈èIè¡îÔéxèoÅiçƒåfÅj,,,,,,,,,å`ë‘ï ëçå≈íËéëñ{å`ê¨,,,,,ëçéëñ{å`ê¨,,,ç‡â›ÅEÉTÅ[ÉrÉX,,,,,,
,,ãèèZé“â∆åvÇÃäCäOÇ≈ÇÃíºê⁄çwì¸,ÅiçTèúÅjîÒãèèZé“â∆åvÇÃçëì‡Ç≈ÇÃíºê⁄çwì¸,çëì‡â∆åvç≈èIè¡îÔéxèo,,,,,,èZëÓ,ÇªÇÃëºÇÃåöï®ÅEç\ízï®,óAëóópã@äB,ÇªÇÃëºÇÃã@äBê›îıìô,ímìIç‡éYê∂éYï®,,Ç§Çøç›å…ïœìÆ,,èÉóAèoÅiçƒåfÅj,óAèoÅiçƒåfÅj,,,óAì¸ÅiçƒåfÅj,,
,,,,,ëœãvç‡,îºëœãvç‡,îÒëœãvç‡,ÉTÅ[ÉrÉX,,,,,,,,,,,,ç‡â›,ÉTÅ[ÉrÉXÅiä‹ÇﬁîÒãèèZé“â∆åvÇÃçëì‡Ç≈ÇÃíºê⁄çwì¸Åj,,ç‡â›,ÉTÅ[ÉrÉXÅiä‹ÇﬁãèèZé“â∆åvÇÃäCäOÇ≈ÇÃíºê⁄çwì¸Åj
,"Consumptionof Households(id, at ÅòÇh)",DirectPurchasesAbroad byResidentHouseholds,(Less) DirectPurchases inthe DomesticMarket byNon-ResidentHouseholds ,Domestic FinalConsumptionExpenditure ofHouseholds,DurableGoods,Semi-DurableGoods,Non-DurableGoods,Services,,Gross Fixed Capital Formation by Type,,,,,Gross CapitalFormation,Of WhichChange inInventories,,Goods & Services,,,,,,
,,,,,,,,,,ResidentialInvestment,Other Buildingsand Structures,TransportEquipment,OtherMachinery andEquipment etc.,IntellectualPropertyProducts,,,,"Net Exports(id, at ÅòÇh)","Exports(id, at ÅòÇh)",,,"Imports(id, at ÅòÇh)",,
,,,,,,,,,,,,,,,,,,,,Goods,ServicesÅiIncluding DirectPurchases in theDomestic Marketby Non-ResidentHouseholds),,Goods,ServicesÅiIncluding DirectPurchasesAbroad byResidentHouseholds)
1994/ 1- 3.,"243,622.8 ","5,873.1 ",275.2 ,"239,766.6 ","6,855.6 ","20,869.5 ","81,193.6 ","142,037.2 ",,"31,296.6 ","65,936.1 ","6,723.5 ","23,697.8 ","18,487.2 ","143,887.0 ","3,825.1 ",,"-7,719.5 ","37,756.3 ","31,797.3 ","6,032.9 ","45,475.8 ","30,861.4 ","13,835.1 "
4- 6.,"244,885.7 ","5,873.2 ",275.7 ,"241,020.9 ","7,098.4 ","21,455.5 ","81,302.5 ","141,906.9 ",,"32,492.6 ","65,792.3 ","6,671.5 ","24,349.9 ","18,484.0 ","139,563.9 ","-2,395.9 ",,"-8,363.6 ","37,964.2 ","31,906.8 ","6,147.1 ","46,327.8 ","31,619.6 ","13,923.3 "
7- 9.,"246,652.1 ","5,802.2 ",230.7 ,"242,762.9 ","7,411.5 ","20,974.9 ","82,323.7 ","142,408.3 ",,"35,050.3 ","62,230.5 ","6,892.9 ","24,606.9 ","18,810.5 ","142,837.6 ",395.3 ,,"-9,066.7 ","38,658.7 ","32,801.2 ","5,873.7 ","47,725.3 ","32,870.2 ","14,061.3 "
10-12.,"246,735.6 ","5,718.5 ",224.5 ,"242,874.0 ","7,589.7 ","20,901.0 ","81,877.2 ","142,460.5 ",,"33,666.1 ","61,444.2 ","6,854.9 ","25,366.6 ","18,890.5 ","140,834.9 ",-903.0 ,,"-9,378.2 ","38,820.9 ","33,046.3 ","5,764.5 ","48,199.1 ","33,854.4 ","13,575.8 "
1995/ 1- 3.,"248,825.5 ","6,043.0 ",191.3 ,"244,787.8 ","7,996.2 ","21,426.6 ","83,163.2 ","141,526.0 ",,"32,598.3 ","61,845.1 ","7,053.4 ","25,434.9 ","18,572.3 ","143,012.7 ","2,258.7 ",,"-10,499.5 ","39,312.0 ","33,577.8 ","5,695.6 ","49,811.5 ","34,627.8 ","14,371.1 "
