実質原系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Original Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
7- 9.,"115,232.2 ","64,827.2 ","63,676.5 ","54,612.9 ","7,706.5 ","18,331.1 ",124.5 ,"18,659.1 ","11,433.3 ",-24.8 ,"-3,565.0 ","10,076.0 ","13,641.0 ","-2,259.6 ",,"5,261.9 ","120,494.2 ","1,059.6 ","4,691.9 ","3,632.2 ","121,553.8 ",,"120,347.3 ","90,754.6 ","29,576.9 ",,"36,781.8 ",,"115,015.5 ",,,
10-12.,"121,667.7 ","66,126.7 ","64,796.9 ","55,674.1 ","7,821.3 ","18,164.7 ","2,497.8 ","19,011.5 ","14,607.3 ",224.0 ,"-4,010.9 ","10,375.0 ","14,385.9 ","-2,774.8 ",,"5,452.5 ","127,120.1 ","1,010.5 ","4,320.8 ","3,310.3 ","128,130.6 ",,"127,343.2 ","94,284.8 ","33,142.8 ",,"39,520.9 ",,"119,022.8 ",,,
1996/ 1- 3.,"114,432.4 ","63,570.9 ","62,925.7 ","53,780.6 ","7,682.9 ","19,607.3 ","-3,031.4 ","19,167.6 ","13,638.6 ",174.6 ,"-4,278.4 ","10,058.9 ","14,337.3 ","-2,099.7 ",,"5,094.1 ","119,526.5 ","1,581.7 ","3,302.2 ","1,720.5 ","121,108.2 ",,"120,005.9 ","87,797.4 ","32,338.8 ",,"40,102.9 ",,"117,019.3 ",,,
4- 6.,"114,532.4 ","63,702.8 ","62,556.0 ","53,365.0 ","8,068.7 ","17,545.5 ","2,356.6 ","19,206.8 ","10,394.7 ",-52.7 ,"-4,740.9 ","9,978.7 ","14,719.6 ","-1,949.0 ",,"4,905.3 ","119,437.7 ","1,599.5 ","2,941.8 ","1,342.4 ","121,037.2 ",,"120,458.7 ","91,292.7 ","29,132.1 ",,"35,313.8 ",,"112,240.1 ",,,
7- 9.,"118,192.9 ","65,904.8 ","64,751.5 ","55,486.3 ","8,952.8 ","19,514.9 ",-45.3 ,"18,958.6 ","11,380.4 ",-9.8 ,"-4,438.4 ","10,506.9 ","14,945.2 ","-2,025.1 ",,"4,818.4 ","123,011.3 ","1,484.5 ","2,900.5 ","1,416.0 ","124,495.9 ",,"123,911.2 ","94,028.0 ","29,841.0 ",,"39,101.0 ",,"118,120.5 ",,,
10-12.,"125,474.2 ","67,379.4 ","66,053.0 ","56,723.6 ","8,998.3 ","18,997.6 ","2,906.2 ","19,529.3 ","14,101.5 ",210.8 ,"-3,967.4 ","11,300.5 ","15,267.9 ","-2,681.6 ",,"4,692.5 ","130,166.7 ","1,334.0 ","2,610.0 ","1,276.0 ","131,500.7 ",,"130,968.0 ","97,846.2 ","33,155.2 ",,"41,013.6 ",,"122,470.8 ",,,
1997/ 1- 3.,"117,605.5 ","66,049.9 ","65,364.3 ","55,996.7 ","8,226.5 ","20,836.4 ","-3,675.9 ","19,508.7 ","12,341.1 ",56.0 ,"-3,983.6 ","11,117.6 ","15,101.2 ","-1,753.6 ",,"4,361.5 ","121,967.0 ","1,901.2 ","3,451.1 ","1,549.9 ","123,868.2 ",,"122,756.6 ","91,442.8 ","31,357.7 ",,"40,735.2 ",,"120,853.8 ",,,
4- 6.,"115,580.2 ","63,647.5 ","62,509.7 ","53,113.9 ","7,518.5 ","17,910.4 ","2,373.2 ","19,629.2 ","9,512.1 ",-63.1 ,"-3,256.0 ","11,506.5 ","14,762.5 ","-1,691.6 ",,"4,537.4 ","120,117.6 ","1,689.6 ","3,039.6 ","1,350.0 ","121,807.2 ",,"119,931.8 ","91,159.6 ","28,733.0 ",,"34,428.5 ",,"113,295.9 ",,,
7- 9.,"119,179.3 ","65,867.2 ","64,728.4 ","55,276.2 ","7,545.7 ","19,893.1 ",652.3 ,"19,271.6 ","11,038.2 ",-20.8 ,"-3,310.6 ","11,633.3 ","14,943.9 ","-1,757.4 ",,"4,681.6 ","123,860.9 ","1,486.2 ","2,933.4 ","1,447.1 ","125,347.1 ",,"123,703.4 ","93,836.7 ","29,834.6 ",,"37,956.3 ",,"118,462.8 ",,,
10-12.,"124,904.5 ","66,438.0 ","65,131.5 ","55,634.8 ","7,127.6 ","19,740.2 ","3,296.7 ","19,663.5 ","13,269.7 ",228.9 ,"-2,539.6 ","12,226.0 ","14,765.6 ","-2,320.5 ",,"4,784.0 ","129,688.6 ","1,493.4 ","2,941.7 ","1,448.3 ","131,182.0 ",,"128,925.1 ","96,425.6 ","32,527.6 ",,"39,426.7 ",,"121,535.2 ",,,
1998/ 1- 3.,"115,546.7 ","64,180.0 ","63,485.8 ","53,960.2 ","6,559.5 ","21,204.4 ","-2,862.8 ","19,604.7 ","11,231.1 ",89.3 ,"-2,983.7 ","11,379.5 ","14,363.2 ","-1,475.8 ",,"4,824.4 ","120,371.1 ","1,920.3 ","3,474.7 ","1,554.4 ","122,291.4 ",,"119,732.3 ","89,321.1 ","30,446.7 ",,"38,640.8 ",,"117,977.1 ",,,
4- 6.,"114,270.7 ","63,596.3 ","62,264.8 ","52,703.6 ","6,496.9 ","17,815.4 ","2,304.9 ","19,846.0 ","8,516.8 ",-17.9 ,"-2,553.2 ","11,083.3 ","13,636.5 ","-1,734.6 ",,"4,871.2 ","119,141.9 ","1,367.7 ","2,899.3 ","1,531.6 ","120,509.6 ",,"118,146.2 ","90,035.1 ","28,061.9 ",,"32,516.6 ",,"112,025.5 ",,,
7- 9.,"117,458.5 ","65,992.1 ","64,670.3 ","55,051.9 ","6,770.2 ","19,720.0 ",-634.4 ,"19,608.6 ","10,242.6 ",-71.3 ,"-2,410.0 ","11,409.6 ","13,819.7 ","-1,759.2 ",,"4,877.4 ","122,335.9 ","1,617.0 ","2,985.1 ","1,368.2 ","123,952.8 ",,"121,266.4 ","91,851.2 ","29,390.2 ",,"36,351.7 ",,"117,969.9 ",,,
10-12.,"123,930.7 ","66,539.5 ","65,048.1 ","55,384.7 ","6,497.9 ","18,584.0 ","2,987.3 ","20,030.2 ","14,260.2 ",-93.2 ,"-2,216.2 ","11,484.4 ","13,700.6 ","-2,659.1 ",,"4,866.0 ","128,796.7 ","1,230.5 ","2,236.0 ","1,005.4 ","130,027.2 ",,"127,877.3 ","94,406.8 ","33,554.5 ",,"38,523.2 ",,"121,126.4 ",,,
1999/ 1- 3.,"114,850.3 ","64,820.6 ","63,930.4 ","54,220.1 ","6,088.3 ","19,861.2 ","-4,721.8 ","20,209.8 ","13,007.0 ",17.7 ,"-2,807.1 ","11,014.3 ","13,821.5 ","-1,625.3 ",,"5,024.9 ","119,875.3 ","1,517.0 ","2,745.9 ","1,229.0 ","121,392.2 ",,"118,963.7 ","86,458.0 ","32,651.5 ",,"38,392.5 ",,"118,918.7 ",,,
4- 6.,"114,139.9 ","64,282.1 ","62,858.6 ","53,088.3 ","6,557.4 ","16,751.3 ","1,115.4 ","20,516.3 ","9,686.8 ",-48.8 ,"-2,931.2 ","11,053.5 ","13,984.7 ","-1,789.4 ",,"4,961.8 ","119,101.7 ","1,506.2 ","2,513.5 ","1,007.3 ","120,607.9 ",,"118,306.0 ","88,507.6 ","29,823.8 ",,"32,487.1 ",,"113,030.8 ",,,
7- 9.,"117,740.4 ","66,615.3 ","65,177.5 ","55,337.0 ","7,055.3 ","18,727.5 ","-1,460.2 ","20,404.3 ","10,792.3 ",-41.2 ,"-2,699.5 ","11,836.7 ","14,536.2 ","-1,653.4 ",,"4,881.8 ","122,622.2 ","1,626.6 ","2,524.8 ",898.1 ,"124,248.9 ",,"121,636.8 ","90,928.8 ","30,738.7 ",,"36,039.5 ",,"118,946.7 ",,,
10-12.,"122,902.4 ","67,369.2 ","65,805.0 ","55,901.7 ","6,630.3 ","18,235.5 ","1,543.6 ","20,753.5 ","13,441.2 ",-74.6 ,"-2,873.3 ","12,359.8 ","15,233.1 ","-2,122.9 ",,"4,948.1 ","127,850.5 ","1,411.0 ","2,239.3 ",828.3 ,"129,261.4 ",,"127,015.2 ","93,588.3 ","33,525.2 ",,"37,523.2 ",,"121,442.7 ",,,
2000/ 1- 3.,"118,536.2 ","66,223.8 ","65,210.8 ","55,253.5 ","6,337.1 ","21,051.6 ","-4,332.7 ","20,992.7 ","11,815.1 ",98.1 ,"-2,359.1 ","12,500.8 ","14,859.9 ","-1,290.3 ",,"4,564.8 ","123,101.1 ","1,872.7 ","2,935.1 ","1,062.4 ","124,973.8 ",,"122,018.1 ","89,722.1 ","32,401.2 ",,"38,804.9 ",,"122,153.7 ",,,
4- 6.,"117,397.9 ","65,182.5 ","63,941.3 ","53,925.5 ","6,568.6 ","17,065.8 ","2,478.3 ","21,349.9 ","8,781.0 ",-24.2 ,"-2,532.8 ","12,840.8 ","15,373.6 ","-1,471.2 ",,"4,761.2 ","122,159.1 ","1,842.6 ","2,792.5 ",949.9 ,"124,001.7 ",,"120,834.8 ","90,965.9 ","29,854.4 ",,"32,019.8 ",,"115,099.1 ",,,
7- 9.,"120,530.7 ","67,161.4 ","65,868.5 ","55,783.1 ","6,876.2 ","20,079.6 ",-874.9 ,"21,164.2 ","9,877.6 ",-41.9 ,"-2,539.2 ","13,380.0 ","15,919.2 ","-1,172.4 ",,"4,758.0 ","125,288.7 ","1,984.1 ","2,911.4 ",927.2 ,"127,272.9 ",,"123,951.7 ","93,271.6 ","30,668.1 ",,"36,503.6 ",,"121,205.6 ",,,
10-12.,"126,152.0 ","68,571.1 ","67,189.3 ","57,035.5 ","6,882.2 ","19,807.2 ","2,471.8 ","21,550.4 ","11,880.1 ",-17.1 ,"-3,360.5 ","13,567.9 ","16,928.4 ","-1,633.3 ",,"4,754.5 ","130,906.5 ","1,599.8 ","2,595.5 ",995.6 ,"132,506.4 ",,"130,379.4 ","97,465.8 ","32,938.2 ",,"38,023.0 ",,"123,847.4 ",,,
2001/ 1- 3.,"121,544.2 ","67,405.2 ","66,540.1 ","56,332.8 ","6,507.4 ","22,356.4 ","-3,418.2 ","21,587.7 ","11,854.5 ",60.1 ,"-3,832.5 ","12,614.6 ","16,447.1 ",-976.3 ,,"4,839.6 ","126,383.9 ","2,352.7 ","3,387.0 ","1,034.4 ","128,736.5 ",,"126,179.0 ","93,237.2 ","33,021.4 ",,"40,376.3 ",,"124,385.7 ",,,
4- 6.,"118,626.9 ","67,169.9 ","65,868.2 ","55,604.1 ","6,190.9 ","17,701.2 ","2,777.6 ","21,858.7 ","8,218.9 ",-79.2 ,"-3,980.8 ","12,079.0 ","16,059.8 ","-1,230.3 ",,"4,505.7 ","123,132.6 ","1,813.9 ","2,893.5 ","1,079.6 ","124,946.5 ",,"123,390.9 ","93,549.7 ","29,799.6 ",,"31,847.6 ",,"116,104.7 ",,,
7- 9.,"120,257.2 ","68,745.6 ","67,371.5 ","57,044.1 ","6,587.9 ","19,884.1 ","-1,128.0 ","21,563.7 ","9,421.1 ",-84.2 ,"-3,579.3 ","12,062.8 ","15,642.0 ","-1,153.7 ",,"4,423.6 ","124,680.7 ","2,010.5 ","2,949.5 ",939.0 ,"126,691.2 ",,"124,806.4 ","94,176.1 ","30,609.1 ",,"35,618.9 ",,"121,190.5 ",,,
10-12.,"124,052.0 ","69,296.3 ","67,834.2 ","57,447.7 ","6,512.2 ","18,251.8 ","2,048.3 ","22,074.3 ","11,331.1 ",-18.7 ,"-3,601.3 ","12,064.5 ","15,665.8 ","-1,842.0 ",,"4,652.6 ","128,704.6 ","1,700.8 ","2,519.6 ",818.9 ,"130,405.3 ",,"128,785.2 ","95,870.4 ","32,955.3 ",,"35,547.3 ",,"122,122.2 ",,,
2002/ 1- 3.,"119,175.5 ","68,279.9 ","67,283.5 ","56,844.8 ","6,086.9 ","20,392.2 ","-4,804.0 ","22,115.3 ","11,167.3 ",26.7 ,"-3,059.5 ","12,199.0 ","15,258.5 ","-1,029.3 ",,"4,741.7 ","123,917.2 ","2,348.2 ","3,058.0 ",709.8 ,"126,265.5 ",,"123,243.0 ","90,436.8 ","32,881.7 ",,"37,282.7 ",,"123,235.8 ",,,
4- 6.,"118,292.3 ","68,031.3 ","66,803.2 ","56,307.8 ","6,117.2 ","16,307.3 ","1,562.0 ","22,243.6 ","7,880.7 ",-18.5 ,"-2,682.6 ","13,026.1 ","15,708.7 ","-1,148.7 ",,"4,687.0 ","122,979.3 ","1,658.3 ","2,552.7 ",894.4 ,"124,637.6 ",,"121,794.3 ","91,818.0 ","29,971.4 ",,"29,995.9 ",,"116,804.3 ",,,
7- 9.,"121,385.9 ","69,643.7 ","68,315.6 ","57,764.1 ","6,561.9 ","18,961.1 ",-880.2 ,"22,087.4 ","8,980.8 ",-27.7 ,"-2,955.3 ","13,332.9 ","16,288.2 ",-985.8 ,,"4,683.8 ","126,069.8 ","1,947.1 ","2,759.9 ",812.8 ,"128,016.9 ",,"125,141.4 ","94,332.3 ","30,802.8 ",,"34,213.4 ",,"122,050.5 ",,,
10-12.,"125,829.7 ","70,175.1 ","68,749.0 ","58,141.6 ","6,391.1 ","18,177.1 ","2,347.5 ","22,299.0 ","10,886.3 ",-71.3 ,"-2,945.8 ","14,115.9 ","17,061.7 ","-1,429.2 ",,"4,756.4 ","130,586.1 ","1,446.6 ","2,259.0 ",812.4 ,"132,032.7 ",,"129,547.6 ","96,849.7 ","32,716.2 ",,"34,964.1 ",,"123,694.2 ",,,
2003/ 1- 3.,"121,037.6 ","69,002.6 ","68,044.2 ","57,386.8 ","5,979.1 ","20,482.4 ","-3,964.0 ","22,471.9 ","10,455.0 ",24.8 ,"-2,741.1 ","13,844.0 ","16,585.1 ",-673.2 ,,"4,423.8 ","125,461.4 ","2,276.6 ","2,970.5 ",693.9 ,"127,738.0 ",,"124,467.2 ","91,923.0 ","32,585.8 ",,"36,627.4 ",,"124,349.8 ",,,
4- 6.,"119,974.0 ","68,156.9 ","66,833.4 ","56,118.3 ","6,001.0 ","16,988.5 ","1,912.1 ","22,685.4 ","7,490.5 ",13.0 ,"-2,221.7 ","13,800.2 ","16,021.9 ","-1,051.8 ",,"4,527.2 ","124,501.2 ","1,787.4 ","2,627.6 ",840.2 ,"126,288.6 ",,"122,978.1 ","92,862.6 ","30,116.4 ",,"30,252.7 ",,"118,161.8 ",,,
7- 9.,"122,907.7 ","69,516.9 ","68,089.0 ","57,305.8 ","6,605.6 ","18,984.9 ",75.3 ,"22,444.2 ","8,298.0 ",-27.8 ,"-2,023.5 ","14,478.5 ","16,502.0 ",-966.0 ,,"4,538.4 ","127,446.1 ","2,479.8 ","3,134.0 ",654.2 ,"129,925.9 ",,"125,698.5 ","95,134.5 ","30,561.0 ",,"33,651.0 ",,"122,732.6 ",,,
10-12.,"128,204.8 ","71,204.6 ","69,664.7 ","58,851.0 ","6,456.6 ","18,993.2 ","1,897.1 ","22,799.9 ","9,982.3 ",-134.7 ,"-1,767.7 ","15,623.3 ","17,391.0 ","-1,226.6 ",,"4,634.0 ","132,838.9 ","1,749.2 ","2,427.5 ",678.3 ,"134,588.0 ",,"130,710.3 ","98,363.8 ","32,354.8 ",,"35,064.6 ",,"126,519.0 ",,,
2004/ 1- 3.,"124,838.7 ","69,963.2 ","68,896.2 ","58,024.4 ","6,123.7 ","21,229.1 ","-2,947.2 ","22,976.3 ","9,642.7 ",-47.1 ,"-1,477.2 ","15,855.5 ","17,332.7 ",-624.6 ,,"4,544.0 ","129,382.7 ","2,744.8 ","3,320.2 ",575.4 ,"132,127.5 ",,"126,932.2 ","94,651.2 ","32,306.7 ",,"36,786.3 ",,"127,353.4 ",,,
4- 6.,"122,557.2 ","69,088.9 ","67,773.9 ","56,862.0 ","6,213.8 ","17,403.5 ","2,241.5 ","22,863.0 ","6,704.6 ",10.4 ,"-1,296.9 ","16,274.3 ","17,571.1 ",-671.7 ,,"4,186.9 ","126,744.1 ","2,301.1 ","3,168.0 ",866.9 ,"129,045.2 ",,"124,318.0 ","94,732.4 ","29,568.6 ",,"30,155.5 ",,"120,443.1 ",,,
7- 9.,"125,923.5 ","71,022.7 ","69,600.8 ","58,649.4 ","6,740.7 ","19,865.0 ",254.1 ,"22,631.1 ","7,469.4 ",14.8 ,"-1,493.2 ","16,611.3 ","18,104.5 ",-581.2 ,,"4,166.8 ","130,090.3 ","2,779.8 ","3,465.2 ",685.4 ,"132,870.1 ",,"127,887.8 ","97,829.4 ","30,032.9 ",,"33,928.6 ",,"125,547.1 ",,,
10-12.,"129,563.0 ","71,478.7 ","69,914.5 ","58,924.5 ","6,693.5 ","19,560.6 ","2,397.3 ","22,915.5 ","9,150.9 ",6.6 ,"-1,843.4 ","17,303.5 ","19,146.9 ",-796.8 ,,"4,367.2 ","133,930.2 ","2,246.7 ","3,094.6 ",847.9 ,"136,176.9 ",,"131,767.6 ","99,908.8 ","31,850.8 ",,"35,122.3 ",,"127,287.3 ",,,
2005/ 1- 3.,"126,221.4 ","70,560.5 ","69,505.2 ","58,494.7 ","6,181.3 ","22,430.4 ","-3,174.9 ","23,212.7 ","9,232.4 ",86.3 ,"-1,868.6 ","16,594.6 ","18,463.2 ",-438.6 ,,"4,128.8 ","130,350.2 ","3,097.0 ","3,910.7 ",813.7 ,"133,447.3 ",,"128,490.2 ","96,200.0 ","32,304.2 ",,"37,705.3 ",,"128,917.3 ",,,
4- 6.,"124,611.2 ","70,098.5 ","68,765.8 ","57,716.0 ","6,091.9 ","19,191.9 ","2,160.9 ","23,075.8 ","5,884.2 ",-13.6 ,"-1,541.9 ","17,145.2 ","18,687.1 ",-336.5 ,,"3,460.1 ","128,071.3 ","2,567.8 ","3,846.9 ","1,279.1 ","130,639.2 ",,"126,446.9 ","97,410.8 ","29,001.4 ",,"31,131.2 ",,"122,544.2 ",,,
7- 9.,"128,462.0 ","72,090.1 ","70,631.8 ","59,544.8 ","6,711.3 ","21,959.9 ",-59.6 ,"22,706.9 ","6,792.3 ",3.7 ,"-1,461.6 ","17,919.1 ","19,380.7 ",-281.0 ,,"3,086.3 ","131,548.4 ","3,358.1 ","4,229.4 ",871.4 ,"134,906.4 ",,"130,201.6 ","100,685.8 ","29,473.7 ",,"35,437.2 ",,"128,378.7 ",,,
10-12.,"132,659.3 ","73,113.9 ","71,492.9 ","60,368.5 ","6,754.2 ","20,816.4 ","1,909.1 ","23,115.7 ","8,358.9 ",-24.8 ,-826.6 ,"19,087.8 ","19,914.5 ",-557.5 ,,"2,911.0 ","135,570.3 ","2,669.5 ","3,935.7 ","1,266.2 ","138,239.8 ",,"133,790.3 ","102,461.2 ","31,303.9 ",,"35,754.9 ",,"130,802.0 ",,,
2006/ 1- 3.,"129,405.1 ","72,064.5 ","70,946.7 ","59,798.9 ","6,280.2 ","23,311.6 ","-3,296.0 ","23,109.0 ","8,962.7 ",42.7 ,-787.9 ,"18,938.3 ","19,726.1 ",-281.8 ,,"2,496.6 ","131,901.7 ","4,172.8 ","5,194.3 ","1,021.5 ","136,074.5 ",,"130,436.3 ","98,501.0 ","31,924.9 ",,"38,464.8 ",,"132,335.0 ",,,
4- 6.,"126,297.3 ","70,884.0 ","69,543.7 ","58,348.1 ","6,199.0 ","19,566.7 ","1,714.7 ","23,177.6 ","5,752.8 ",-14.9 ,-851.5 ,"18,983.7 ","19,835.2 ",-131.1 ,,"2,168.4 ","128,465.7 ","3,001.7 ","4,749.7 ","1,748.0 ","131,467.5 ",,"127,283.9 ","98,285.9 ","28,967.1 ",,"31,488.0 ",,"124,600.4 ",,,
7- 9.,"128,656.8 ","71,660.1 ","70,175.5 ","58,941.9 ","6,694.0 ","21,824.0 ",-91.4 ,"22,851.7 ","6,170.1 ",4.3 ,-328.7 ,"19,651.4 ","19,980.1 ",-127.4 ,,"1,905.9 ","130,562.8 ","4,021.5 ","5,155.7 ","1,134.2 ","134,584.3 ",,"129,140.9 ","100,065.5 ","29,040.8 ",,"34,684.1 ",,"128,612.9 ",,,
10-12.,"134,620.5 ","73,908.3 ","72,236.1 ","60,971.8 ","6,673.2 ","21,475.8 ","1,894.7 ","23,179.2 ","7,913.9 ",-17.4 ,-35.6 ,"20,464.5 ","20,500.2 ",-371.6 ,,"2,262.2 ","136,882.7 ","2,967.6 ","4,712.1 ","1,744.5 ","139,850.2 ",,"134,870.7 ","103,874.9 ","30,965.6 ",,"35,950.5 ",,"132,723.3 ",,,
2007/ 1- 3.,"132,213.0 ","72,589.1 ","71,464.6 ","60,159.4 ","6,191.7 ","24,353.7 ","-2,473.2 ","23,338.5 ","8,274.0 ",2.4 ,162.8 ,"20,333.6 ","20,170.9 ",-226.1 ,,"2,278.6 ","134,491.6 ","4,980.9 ","6,258.8 ","1,277.9 ","139,472.5 ",,"132,232.6 ","100,725.2 ","31,491.2 ",,"38,807.6 ",,"134,498.5 ",,,
4- 6.,"128,519.5 ","71,764.3 ","70,475.2 ","59,124.1 ","5,990.4 ","19,809.9 ","1,887.3 ","23,521.5 ","5,336.4 ",29.6 ,187.2 ,"20,483.5 ","20,296.2 ",-7.2 ,,"1,700.5 ","130,220.0 ","3,737.4 ","5,744.6 ","2,007.3 ","133,957.4 ",,"128,422.8 ","99,431.7 ","28,955.3 ",,"31,144.6 ",,"126,548.0 ",,,
7- 9.,"130,503.1 ","72,514.8 ","71,037.3 ","59,660.0 ","5,909.4 ","21,696.4 ",145.0 ,"23,141.8 ","5,972.1 ",-2.6 ,"1,097.8 ","21,399.3 ","20,301.4 ",28.4 ,,"1,395.2 ","131,898.3 ","4,446.0 ","6,029.5 ","1,583.5 ","136,344.2 ",,"129,473.2 ","100,306.7 ","29,129.4 ",,"33,617.1 ",,"130,239.1 ",,,
10-12.,"135,445.6 ","73,827.4 ","72,204.8 ","60,805.7 ","5,286.1 ","21,038.8 ","2,406.7 ","23,689.3 ","7,700.9 ",11.2 ,"1,522.7 ","22,613.3 ","21,090.6 ",-37.5 ,,611.3 ,"136,056.9 ","3,232.0 ","5,231.2 ","1,999.1 ","139,289.0 ",,"133,968.6 ","102,617.7 ","31,326.7 ",,"33,992.0 ",,"132,965.5 ",,,
2008/ 1- 3.,"132,801.8 ","72,818.8 ","71,707.8 ","60,273.1 ","5,157.5 ","24,056.7 ","-2,519.2 ","23,704.3 ","7,922.6 ",46.6 ,"1,653.6 ","22,496.3 ","20,842.8 ",-39.2 ,,126.6 ,"132,928.4 ","4,993.9 ","6,117.1 ","1,123.2 ","137,922.3 ",,"131,171.8 ","99,560.3 ","31,598.8 ",,"37,172.3 ",,"135,187.0 ",,,
4- 6.,"128,002.2 ","70,574.6 ","69,310.7 ","57,821.3 ","5,244.6 ","19,354.9 ","2,626.4 ","23,375.0 ","5,064.8 ",-11.0 ,"1,646.9 ","21,697.9 ","20,050.9 ",125.8 ,,-982.8 ,"127,019.5 ","2,753.2 ","4,700.5 ","1,947.3 ","129,772.7 ",,"126,370.2 ","97,856.1 ","28,478.7 ",,"29,704.2 ",,"125,311.3 ",,,
7- 9.,"129,200.9 ","71,986.8 ","70,510.9 ","58,987.5 ","5,763.8 ","21,082.4 ",-301.4 ,"23,031.2 ","5,736.2 ",-31.0 ,"1,829.8 ","22,183.8 ","20,354.0 ",103.1 ,,"-1,823.2 ","127,377.7 ","3,951.3 ","5,022.1 ","1,070.8 ","131,328.9 ",,"127,346.1 ","98,563.8 ","28,747.3 ",,"32,617.6 ",,"129,428.5 ",,,
