実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/ 1- 3.,"446,281.9 ","247,505.4 ","243,622.8 ","208,577.0 ","29,812.0 ","66,259.2 ","4,229.0 ","71,357.6 ","47,111.0 ",-542.3 ,"-7,719.5 ","37,756.3 ","45,475.8 ","-11,730.5 ",,"19,377.9 ","465,659.8 ","4,211.1 ","14,617.7 ","10,406.6 ","469,870.9 ",,"462,319.0 ","346,442.5 ","115,950.5 ",,"139,775.4 ",,"442,229.4 ",,,
4- 6.,"443,805.8 ","248,824.6 ","244,885.7 ","209,636.6 ","31,118.5 ","66,065.0 ","-2,884.5 ","72,244.0 ","48,021.6 ",622.8 ,"-8,363.6 ","37,964.2 ","46,327.8 ","-11,842.7 ",,"18,741.9 ","462,547.7 ","3,835.8 ","14,508.9 ","10,673.2 ","466,383.5 ",,"460,074.0 ","341,667.2 ","118,665.1 ",,"141,505.8 ",,"445,603.0 ",,,
7- 9.,"448,941.2 ","250,613.3 ","246,652.1 ","211,187.4 ","33,628.1 ","65,999.2 ",-280.5 ,"72,789.3 ","46,306.6 ",806.2 ,"-9,066.7 ","38,658.7 ","47,725.3 ","-11,854.2 ",,"18,142.1 ","467,083.3 ","3,813.1 ","14,740.2 ","10,927.1 ","470,896.4 ",,"465,724.8 ","348,115.9 ","117,736.5 ",,"142,089.2 ",,"448,138.4 ",,,
10-12.,"447,126.3 ","250,741.6 ","246,735.6 ","211,094.1 ","32,218.2 ","67,028.9 ","-1,601.9 ","72,950.3 ","45,583.4 ",853.3 ,"-9,378.2 ","38,820.9 ","48,199.1 ","-11,269.2 ",,"18,529.1 ","465,655.3 ","3,817.2 ","15,229.4 ","11,412.2 ","469,472.5 ",,"463,964.4 ","346,838.4 ","117,251.7 ",,"141,344.8 ",,"447,537.8 ",,,
1995/ 1- 3.,"452,085.2 ","252,898.4 ","248,825.5 ","212,981.7 ","31,121.5 ","68,647.7 ","2,253.7 ","74,470.7 ","43,644.3 ",-27.7 ,"-10,499.5 ","39,312.0 ","49,811.5 ","-10,424.1 ",,"18,954.6 ","471,039.7 ","4,044.4 ","15,695.4 ","11,651.0 ","475,084.1 ",,"469,802.0 ","353,574.5 ","116,214.5 ",,"140,433.9 ",,"449,508.5 ",,,
4- 6.,"456,347.7 ","254,959.1 ","250,803.6 ","214,768.3 ","30,381.5 ","71,088.0 ","1,116.7 ","74,611.6 ","45,424.9 ",199.2 ,"-11,408.0 ","39,898.0 ","51,306.0 ","-10,025.3 ",,"19,769.1 ","476,116.8 ","3,216.1 ","14,837.4 ","11,621.3 ","479,332.9 ",,"474,714.3 ","356,513.5 ","118,232.5 ",,"144,027.6 ",,"454,670.8 ",,,
