実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
7- 9.,"461,707.7 ","256,353.4 ","252,124.0 ","215,908.8 ","29,741.6 ","72,334.5 ","2,105.5 ","75,543.3 ","48,929.9 ",173.1 ,"-13,893.1 ","40,274.0 ","54,167.1 ","-9,580.4 ",,"20,654.1 ","482,361.9 ","4,573.4 ","18,547.8 ","13,974.4 ","486,935.2 ",,"481,968.9 ","359,664.7 ","122,471.4 ",,"147,939.5 ",,"459,110.9 ",,,
10-12.,"462,809.6 ","258,124.1 ","253,857.7 ","217,443.2 ","30,431.2 ","73,525.1 ","1,032.7 ","75,789.4 ","49,129.9 ",235.2 ,"-16,596.1 ","40,158.3 ","56,754.3 ","-8,861.9 ",,"21,316.5 ","484,126.1 ","4,840.7 ","19,156.5 ","14,315.8 ","488,966.8 ",,"485,063.7 ","362,257.5 ","122,954.0 ",,"150,010.5 ",,"461,177.2 ",,,
1996/ 1- 3.,"466,647.6 ","257,439.4 ","253,165.9 ","216,572.1 ","31,805.6 ","73,285.0 ","1,643.0 ","76,459.3 ","51,648.9 ",596.8 ,"-17,003.7 ","40,800.9 ","57,804.6 ","-9,226.6 ",,"20,783.4 ","487,431.0 ","5,680.6 ","11,884.1 ","6,203.5 ","493,111.7 ",,"489,143.6 ","363,115.1 ","126,285.0 ",,"153,195.5 ",,"464,174.8 ",,,
4- 6.,"472,545.6 ","260,565.4 ","256,287.5 ","219,465.5 ","33,278.5 ","75,804.0 ","2,978.7 ","76,392.0 ","50,921.7 ",190.8 ,"-18,807.1 ","40,752.1 ","59,559.2 ","-8,778.3 ",,"19,949.1 ","492,494.8 ","6,331.4 ","12,060.0 ","5,728.6 ","498,826.2 ",,"496,625.2 ","371,533.0 ","125,203.1 ",,"156,559.3 ",,"469,109.3 ",,,
7- 9.,"473,151.5 ","260,794.9 ","256,488.3 ","219,453.1 ","34,510.5 ","76,855.0 ","1,475.3 ","76,725.2 ","48,655.8 ",226.9 ,"-17,523.2 ","41,971.9 ","59,495.1 ","-8,568.8 ",,"18,950.3 ","492,101.9 ","5,940.9 ","11,454.9 ","5,514.0 ","498,042.8 ",,"495,909.0 ","372,509.7 ","123,433.1 ",,"156,750.9 ",,"471,097.2 ",,,
10-12.,"478,418.1 ","263,354.6 ","259,050.2 ","221,784.3 ","35,106.5 ","76,900.7 ","2,464.6 ","77,853.8 ","47,476.8 ",259.0 ,"-16,495.6 ","43,759.5 ","60,255.1 ","-8,502.3 ",,"18,452.7 ","496,870.8 ","6,124.9 ","11,618.7 ","5,493.8 ","502,995.7 ",,"500,079.0 ","376,577.7 ","123,490.8 ",,"156,270.5 ",,"475,407.8 ",,,
1997/ 1- 3.,"479,668.2 ","267,252.7 ","262,977.4 ","225,492.8 ","34,090.2 ","77,660.5 ",-355.8 ,"77,863.7 ","46,631.3 ",139.4 ,"-15,674.9 ","45,099.6 ","60,774.5 ","-7,938.9 ",,"17,905.0 ","497,573.2 ","6,751.0 ","12,442.9 ","5,691.9 ","504,324.2 ",,"500,294.7 ","377,630.6 ","122,619.6 ",,"155,437.9 ",,"479,372.0 ",,,
4- 6.,"476,053.4 ","260,274.3 ","256,080.1 ","218,456.6 ","30,911.8 ","77,803.8 ","2,476.8 ","78,053.1 ","46,676.8 ",79.0 ,"-12,734.0 ","47,011.9 ","59,745.9 ","-7,488.3 ",,"18,272.1 ","494,325.5 ","6,817.5 ","12,388.3 ","5,570.8 ","501,143.0 ",,"493,593.1 ","370,822.8 ","122,810.0 ",,"152,827.4 ",,"473,173.0 ",,,
7- 9.,"477,006.4 ","260,617.0 ","256,492.7 ","218,702.7 ","29,063.5 ","78,230.0 ","4,545.5 ","77,975.8 ","47,119.4 ",164.4 ,"-13,215.8 ","46,383.2 ","59,599.0 ","-7,493.4 ",,"18,321.1 ","495,327.4 ","5,853.4 ","11,572.5 ","5,719.1 ","501,180.8 ",,"495,165.1 ","371,988.0 ","123,219.4 ",,"152,044.0 ",,"472,138.2 ",,,
10-12.,"477,176.6 ","260,083.0 ","255,864.3 ","217,915.0 ","27,891.6 ","79,911.8 ","3,757.9 ","78,392.7 ","44,821.1 ",457.2 ,"-10,848.9 ","47,396.0 ","58,245.0 ","-7,289.6 ",,"19,004.7 ","496,181.3 ","6,986.2 ","13,190.2 ","6,204.0 ","503,167.4 ",,"493,186.9 ","371,451.7 ","121,733.5 ",,"150,744.1 ",,"472,822.7 ",,,
1998/ 1- 3.,"471,357.7 ","259,744.4 ","255,274.4 ","217,158.9 ","27,185.8 ","78,679.2 ","3,511.3 ","78,280.6 ","42,229.6 ",242.4 ,"-11,533.2 ","46,178.7 ","57,711.8 ","-6,982.3 ",,"19,765.7 ","491,123.4 ","6,678.0 ","12,521.7 ","5,843.7 ","497,801.3 ",,"488,000.4 ","368,920.0 ","119,015.0 ",,"146,434.5 ",,"467,405.2 ",,,
4- 6.,"469,301.6 ","259,518.0 ","254,764.2 ","216,489.8 ","26,659.3 ","77,937.9 ","1,599.7 ","78,886.9 ","41,865.4 ",172.5 ,"-9,905.4 ","45,262.3 ","55,167.6 ","-7,432.9 ",,"19,527.7 ","488,829.3 ","5,656.1 ","11,755.9 ","6,099.9 ","494,485.4 ",,"484,848.0 ","365,595.5 ","119,228.8 ",,"144,828.4 ",,"467,169.0 ",,,
7- 9.,"470,145.5 ","261,368.0 ","256,402.4 ","217,944.1 ","26,054.0 ","77,402.5 ",-403.9 ,"79,314.4 ","43,803.0 ",-81.8 ,"-9,825.8 ","45,432.7 ","55,258.5 ","-7,485.0 ",,"19,070.3 ","489,215.8 ","6,306.0 ","11,781.3 ","5,475.2 ","495,521.9 ",,"485,612.9 ","364,404.1 ","121,265.3 ",,"145,456.3 ",,"470,051.2 ",,,
10-12.,"473,924.8 ","260,972.7 ","255,861.9 ","217,236.7 ","25,483.2 ","75,354.6 ","2,429.0 ","79,870.2 ","48,311.6 ",-601.5 ,"-9,331.3 ","44,608.0 ","53,939.3 ","-8,563.8 ",,"19,521.5 ","493,446.3 ","5,771.4 ","10,071.0 ","4,299.6 ","499,217.7 ",,"489,466.7 ","364,050.4 ","125,621.3 ",,"146,828.9 ",,"471,604.2 ",,,
1999/ 1- 3.,"467,396.8 ","261,981.6 ","256,795.9 ","217,944.0 ","25,239.7 ","73,232.5 ","-3,512.9 ","80,736.1 ","48,487.3 ",-88.0 ,"-10,892.5 ","44,708.1 ","55,600.6 ","-7,787.1 ",,"20,446.8 ","487,843.5 ","5,188.0 ","9,891.9 ","4,703.9 ","493,031.5 ",,"483,791.0 ","357,071.8 ","127,060.7 ",,"144,502.4 ",,"470,048.9 ",,,
4- 6.,"469,185.5 ","262,257.6 ","256,910.1 ","217,809.5 ","26,877.7 ","73,817.0 ","-3,777.3 ","81,532.4 ","47,701.4 ",-7.6 ,"-11,523.2 ","45,111.1 ","56,634.3 ","-7,692.5 ",,"19,923.7 ","489,109.2 ","6,259.9 ","10,181.0 ","3,921.1 ","495,369.1 ",,"486,030.8 ","359,154.4 ","127,202.5 ",,"145,877.6 ",,"472,012.2 ",,,
7- 9.,"471,673.5 ","264,067.4 ","258,536.2 ","219,184.3 ","27,140.0 ","73,391.8 ","-3,443.1 ","82,478.3 ","46,232.6 ",-9.8 ,"-11,019.2 ","47,049.2 ","58,068.4 ","-7,164.6 ",,"18,977.7 ","490,651.2 ","6,303.8 ","9,922.7 ","3,618.9 ","496,954.9 ",,"487,567.5 ","361,059.6 ","126,798.7 ",,"144,333.1 ",,"474,197.5 ",,,
10-12.,"471,837.9 ","264,792.7 ","259,289.6 ","219,697.1 ","26,009.4 ","74,183.8 ","-3,570.0 ","82,804.2 ","46,017.2 ",-387.8 ,"-11,686.0 ","48,123.1 ","59,809.2 ","-6,325.6 ",,"20,090.5 ","491,928.4 ","6,646.8 ","10,154.1 ","3,507.3 ","498,575.1 ",,"487,870.7 ","361,510.5 ","126,638.0 ",,"143,981.5 ",,"474,744.0 ",,,
2000/ 1- 3.,"479,896.6 ","266,326.9 ","261,075.8 ","221,236.2 ","26,274.4 ","76,969.7 ","-1,610.0 ","83,857.3 ","43,492.8 ",179.8 ,"-9,120.2 ","50,708.5 ","59,828.6 ","-6,474.2 ",,"18,315.6 ","498,212.2 ","6,377.3 ","10,553.3 ","4,176.0 ","504,589.6 ",,"493,644.5 ","367,968.4 ","125,828.9 ",,"144,922.3 ",,"480,649.2 ",,,
4- 6.,"482,132.0 ","265,903.3 ","260,987.8 ","220,906.3 ","26,955.1 ","75,878.9 ","1,321.9 ","84,867.3 ","43,199.5 ",40.0 ,"-9,887.1 ","52,332.8 ","62,219.9 ","-6,146.8 ",,"19,086.3 ","501,218.3 ","7,712.4 ","11,335.3 ","3,623.0 ","508,930.7 ",,"496,002.6 ","369,685.7 ","126,470.8 ",,"144,100.1 ",,"480,400.0 ",,,
7- 9.,"482,256.8 ","266,401.3 ","261,727.0 ","221,395.8 ","26,428.5 ","78,476.9 ","-1,031.7 ","85,491.5 ","42,393.6 ",-47.8 ,"-10,673.3 ","53,199.5 ","63,872.8 ","-5,182.2 ",,"18,697.8 ","500,954.6 ","7,634.4 ","11,383.8 ","3,749.4 ","508,589.1 ",,"496,414.6 ","370,268.7 ","126,285.5 ",,"145,675.8 ",,"482,670.5 ",,,
10-12.,"486,934.0 ","269,677.6 ","265,037.3 ","224,443.2 ","26,973.0 ","80,839.1 ",268.1 ,"86,040.5 ","41,067.3 ",-73.5 ,"-13,226.8 ","52,968.8 ","66,195.6 ","-4,631.2 ",,"19,350.5 ","506,284.5 ","7,664.5 ","11,811.7 ","4,147.1 ","513,949.0 ",,"503,238.9 ","377,664.8 ","125,590.4 ",,"147,486.1 ",,"486,216.8 ",,,
2001/ 1- 3.,"490,547.5 ","271,282.8 ","266,470.8 ","225,633.0 ","26,979.6 ","81,265.8 ","2,148.9 ","86,182.5 ","43,075.8 ",17.8 ,"-15,263.2 ","51,054.3 ","66,317.5 ","-5,142.5 ",,"19,233.2 ","509,780.7 ","7,960.7 ","12,181.4 ","4,220.7 ","517,741.4 ",,"509,050.8 ","381,432.5 ","127,672.8 ",,"149,756.9 ",,"488,092.3 ",,,
4- 6.,"486,865.4 ","273,493.5 ","268,468.7 ","227,398.6 ","25,460.9 ","79,098.7 ","2,335.4 ","86,935.5 ","40,513.7 ",-213.9 ,"-15,717.4 ","49,154.0 ","64,871.4 ","-5,041.2 ",,"17,984.4 ","504,849.8 ","7,753.6 ","11,773.2 ","4,019.6 ","512,603.4 ",,"506,082.4 ","380,232.2 ","125,856.1 ",,"143,760.0 ",,"484,437.6 ",,,
7- 9.,"481,583.2 ","273,354.7 ","268,204.6 ","226,901.8 ","25,326.8 ","77,644.1 ","-2,165.2 ","87,082.9 ","40,519.3 ",-243.2 ,"-14,883.3 ","48,073.7 ","62,956.9 ","-5,053.0 ",,"17,668.4 ","499,251.5 ","7,658.3 ","11,470.8 ","3,812.5 ","506,909.8 ",,"500,268.6 ","374,359.9 ","125,988.1 ",,"142,095.5 ",,"483,162.5 ",,,
10-12.,"479,921.5 ","272,907.0 ","267,735.8 ","226,207.4 ","25,452.9 ","74,594.7 ","-1,116.1 ","88,175.4 ","39,550.0 ",-24.6 ,"-13,939.7 ","47,152.2 ","61,092.0 ","-5,678.1 ",,"18,824.0 ","498,745.4 ","8,152.2 ","11,497.5 ","3,345.3 ","506,897.6 ",,"498,105.8 ","371,825.2 ","126,398.9 ",,"138,088.6 ",,"480,395.6 ",,,
2002/ 1- 3.,"480,724.3 ","274,472.5 ","269,390.5 ","227,626.6 ","25,206.8 ","73,956.7 ","-3,495.8 ","88,206.7 ","40,042.1 ",-81.5 ,"-12,308.3 ","49,302.6 ","61,610.9 ","-5,274.9 ",,"18,744.2 ","499,468.6 ","7,964.9 ","11,007.1 ","3,042.2 ","507,433.5 ",,"497,081.3 ","370,367.9 ","126,842.0 ",,"137,643.0 ",,"483,328.9 ",,,
4- 6.,"484,618.8 ","276,736.5 ","271,807.3 ","229,818.2 ","25,278.5 ","72,927.1 ","-2,443.7 ","88,525.8 ","38,950.8 ",-24.4 ,"-10,534.1 ","52,916.8 ","63,451.0 ","-4,797.6 ",,"18,719.8 ","503,338.6 ","7,189.9 ","10,397.9 ","3,208.0 ","510,528.5 ",,"498,752.8 ","372,611.9 ","126,231.7 ",,"135,628.3 ",,"486,246.8 ",,,
7- 9.,"486,175.0 ","276,985.4 ","272,159.4 ","229,958.7 ","25,217.7 ","74,123.9 ","-1,522.9 ","89,209.9 ","38,805.7 ",-65.6 ,"-12,267.8 ","53,286.1 ","65,553.9 ","-4,311.4 ",,"18,812.6 ","504,987.7 ","7,359.5 ","10,714.1 ","3,354.6 ","512,347.2 ",,"501,571.0 ","374,883.5 ","126,771.2 ",,"136,710.3 ",,"487,025.6 ",,,
10-12.,"487,503.8 ","276,304.3 ","271,448.3 ","229,033.3 ","24,894.1 ","74,180.2 ",490.3 ,"89,070.9 ","38,224.4 ",-171.5 ,"-11,388.7 ","55,127.7 ","66,516.4 ","-4,100.1 ",,"19,154.6 ","506,658.4 ","7,018.7 ","10,284.5 ","3,265.7 ","513,677.1 ",,"501,757.7 ","375,808.0 ","126,010.9 ",,"135,947.4 ",,"486,672.3 ",,,
2003/ 1- 3.,"487,794.0 ","277,446.3 ","272,431.4 ","229,789.8 ","24,752.0 ","74,469.2 ",-471.6 ,"89,547.7 ","36,982.7 ",-72.2 ,"-11,133.7 ","55,864.5 ","66,998.3 ","-3,726.4 ",,"17,510.4 ","505,304.4 ","7,622.7 ","10,722.0 ","3,099.3 ","512,927.1 ",,"501,656.6 ","376,244.8 ","125,469.2 ",,"134,987.8 ",,"487,725.1 ",,,
4- 6.,"491,150.2 ","276,956.1 ","271,747.9 ","228,883.3 ","24,892.1 ","75,611.8 ",-651.9 ,"90,342.9 ","37,127.2 ",74.6 ,"-8,772.2 ","55,995.9 ","64,768.1 ","-4,430.4 ",,"18,136.0 ","509,286.2 ","7,825.1 ","10,715.6 ","2,890.5 ","517,111.3 ",,"503,346.9 ","376,876.0 ","126,546.2 ",,"136,451.0 ",,"491,117.8 ",,,
7- 9.,"492,637.7 ","276,871.1 ","271,524.7 ","228,396.8 ","25,390.9 ","74,433.4 ","1,815.7 ","90,679.1 ","36,100.9 ",-98.3 ,"-8,353.5 ","57,995.9 ","66,349.4 ","-4,201.8 ",,"18,255.0 ","510,892.7 ","9,337.2 ","12,133.6 ","2,796.4 ","520,229.9 ",,"504,018.4 ","378,266.3 ","125,811.5 ",,"134,720.7 ",,"490,592.7 ",,,
10-12.,"497,969.2 ","280,592.6 ","275,194.7 ","231,953.9 ","25,070.6 ","77,427.0 ",-705.5 ,"91,066.7 ","35,265.8 ",-393.6 ,"-6,894.9 ","60,960.3 ","67,855.2 ","-3,459.5 ",,"18,588.8 ","516,558.0 ","8,366.9 ","11,038.8 ","2,671.9 ","524,924.9 ",,"507,646.6 ","382,482.9 ","125,193.0 ",,"136,818.3 ",,"498,370.4 ",,,
2004/ 1- 3.,"501,662.9 ","280,512.3 ","275,149.6 ","231,646.5 ","25,344.8 ","77,359.4 ","2,902.8 ","91,484.9 ","33,614.0 ",-341.2 ,"-5,973.6 ","63,963.3 ","69,936.9 ","-3,240.3 ",,"17,887.0 ","519,549.9 ","9,359.1 ","12,021.9 ","2,662.8 ","528,909.1 ",,"510,037.5 ","385,873.2 ","124,158.0 ",,"135,467.3 ",,"498,835.8 ",,,
4- 6.,"501,698.6 ","280,898.5 ","275,585.4 ","231,936.2 ","25,842.3 ","77,084.9 ","1,227.1 ","91,095.1 ","33,440.0 ",63.4 ,"-5,053.9 ","66,068.4 ","71,122.3 ","-2,898.8 ",,"16,887.2 ","518,585.8 ","10,036.3 ","12,895.3 ","2,859.0 ","528,622.2 ",,"508,855.6 ","384,892.0 ","123,957.8 ",,"135,472.0 ",,"500,009.6 ",,,
7- 9.,"504,807.2 ","283,035.4 ","277,738.1 ","233,937.5 ","25,915.8 ","78,066.1 ","2,130.5 ","91,479.9 ","32,806.5 ",54.6 ,"-6,045.2 ","66,640.0 ","72,685.2 ","-2,636.4 ",,"16,850.0 ","521,657.1 ","10,338.4 ","13,425.9 ","3,087.5 ","531,995.5 ",,"512,717.6 ","388,922.5 ","123,765.0 ",,"135,975.7 ",,"502,325.9 ",,,
10-12.,"503,799.4 ","281,491.6 ","276,169.4 ","232,221.5 ","25,953.9 ","79,785.2 ","1,890.5 ","91,492.3 ","32,400.5 ",152.8 ,"-7,337.3 ","67,514.9 ","74,852.2 ","-2,030.1 ",,"17,347.9 ","521,147.3 ","10,790.1 ","14,034.2 ","3,244.1 ","531,937.4 ",,"512,447.4 ","388,917.6 ","123,495.3 ",,"137,430.1 ",,"501,446.8 ",,,
2005/ 1- 3.,"506,372.0 ","283,167.2 ","277,795.3 ","233,738.9 ","25,561.2 ","81,795.3 ","1,172.6 ","92,380.5 ","31,698.0 ",188.0 ,"-7,516.3 ","66,832.5 ","74,348.8 ","-2,074.5 ",,"16,171.5 ","522,543.5 ","10,324.6 ","14,207.2 ","3,882.6 ","532,868.1 ",,"515,427.7 ","391,593.6 ","123,792.1 ",,"138,492.4 ",,"504,634.9 ",,,
4- 6.,"510,337.7 ","285,017.8 ","279,578.6 ","235,386.1 ","25,350.4 ","84,634.3 ","1,303.4 ","91,986.3 ","29,702.5 ",-19.2 ,"-5,972.3 ","69,716.9 ","75,689.2 ","-1,665.7 ",,"14,127.5 ","524,465.2 ","11,534.7 ","15,623.2 ","4,088.5 ","535,999.9 ",,"517,699.4 ","396,235.8 ","121,368.7 ",,"139,379.1 ",,"508,657.0 ",,,
7- 9.,"515,561.1 ","287,742.7 ","282,244.2 ","237,901.4 ","25,866.4 ","86,517.2 ",772.4 ,"91,823.0 ","30,170.7 ",17.7 ,"-5,939.7 ","71,907.6 ","77,847.3 ","-1,409.3 ",,"12,643.8 ","528,204.9 ","12,250.4 ","16,386.8 ","4,136.3 ","540,455.3 ",,"522,608.5 ","400,835.2 ","121,663.8 ",,"142,252.3 ",,"514,328.2 ",,,
10-12.,"516,410.9 ","287,787.5 ","282,252.1 ","237,757.0 ","26,153.6 ","85,113.2 ",460.9 ,"92,236.2 ","29,556.8 ",-2.6 ,"-3,516.5 ","74,396.7 ","77,913.2 ","-1,378.3 ",,"11,486.4 ","527,897.3 ","13,163.8 ","17,826.0 ","4,662.2 ","541,061.1 ",,"521,040.0 ","399,435.0 ","121,502.2 ",,"140,485.6 ",,"515,483.3 ",,,
2006/ 1- 3.,"517,177.3 ","288,775.4 ","283,231.1 ","238,624.2 ","25,894.1 ","84,756.6 ",-231.4 ,"91,970.6 ","30,340.6 ",32.5 ,"-3,186.1 ","76,104.8 ","79,290.9 ","-1,175.1 ",,"9,359.9 ","526,537.2 ","13,871.3 ","18,955.7 ","5,084.5 ","540,408.5 ",,"521,250.4 ","399,166.6 ","121,988.8 ",,"140,610.4 ",,"516,869.5 ",,,
4- 6.,"518,055.0 ","288,473.4 ","282,898.1 ","238,136.3 ","25,830.3 ","86,146.4 ",-83.7 ,"92,403.0 ","29,171.3 ",-24.6 ,"-2,961.0 ","77,394.2 ","80,355.3 ",-899.9 ,,"9,216.4 ","527,271.4 ","13,751.2 ","19,205.5 ","5,454.3 ","541,022.6 ",,"521,729.0 ","400,342.3 ","121,285.7 ",,"140,885.9 ",,"517,671.8 ",,,
7- 9.,"517,076.6 ","286,259.8 ","280,641.5 ","235,711.5 ","25,881.9 ","86,302.0 ",758.9 ,"92,455.0 ","27,587.5 ",43.8 ,"-1,463.3 ","78,832.7 ","80,296.0 ",-749.0 ,,"7,949.6 ","525,026.3 ","14,352.3 ","19,949.5 ","5,597.3 ","539,378.5 ",,"519,178.1 ","399,128.1 ","119,942.6 ",,"139,601.6 ",,"515,839.7 ",,,
10-12.,"523,932.7 ","290,573.0 ","284,959.3 ","239,890.8 ","25,821.3 ","87,879.1 ",649.7 ,"92,401.8 ","28,015.1 ",-10.4 ,-526.0 ,"79,739.5 ","80,265.5 ",-871.0 ,,"8,683.2 ","532,615.9 ","15,194.0 ","21,401.1 ","6,207.1 ","547,809.9 ",,"525,243.1 ","404,900.4 ","120,222.5 ",,"141,580.2 ",,"522,843.8 ",,,
2007/ 1- 3.,"527,366.0 ","290,783.8 ","285,214.3 ","239,978.0 ","25,419.4 ","88,204.2 ","2,415.2 ","92,931.5 ","27,797.0 ",-108.7 ,652.4 ,"81,650.5 ","80,998.1 ",-728.6 ,,"8,392.0 ","535,758.1 ","16,278.3 ","22,909.3 ","6,631.0 ","552,036.4 ",,"527,374.2 ","406,813.0 ","120,435.2 ",,"141,328.9 ",,"524,674.3 ",,,
4- 6.,"527,674.1 ","292,406.4 ","286,891.2 ","241,515.1 ","24,986.4 ","87,221.6 ","1,000.5 ","93,781.3 ","27,151.3 ",139.7 ,"1,361.1 ","83,647.4 ","82,286.3 ",-374.2 ,,"7,700.2 ","535,374.3 ","16,981.3 ","23,158.9 ","6,177.5 ","552,355.6 ",,"526,771.2 ","405,667.1 ","120,985.0 ",,"139,289.6 ",,"526,059.2 ",,,
7- 9.,"524,882.3 ","289,559.8 ","284,080.1 ","238,575.1 ","22,947.6 ","86,151.9 ","1,663.2 ","93,633.6 ","26,761.1 ",46.5 ,"4,235.1 ","85,731.8 ","81,496.7 ",-116.5 ,,"5,925.7 ","530,808.1 ","15,244.1 ","23,188.7 ","7,944.6 ","546,052.2 ",,"520,962.1 ","400,495.3 ","120,356.7 ",,"135,883.9 ",,"522,735.6 ",,,
10-12.,"526,991.3 ","290,002.6 ","284,547.8 ","238,930.6 ","20,439.1 ","86,066.2 ","2,967.6 ","94,379.4 ","27,321.0 ",74.5 ,"5,569.2 ","88,164.2 ","82,595.0 ",171.8 ,,"1,905.5 ","528,896.8 ","16,974.7 ","23,955.8 ","6,981.1 ","545,871.5 ",,"521,579.2 ","399,809.6 ","121,673.2 ",,"133,947.9 ",,"523,551.1 ",,,
2008/ 1- 3.,"528,876.7 ","291,309.0 ","285,863.5 ","240,108.6 ","21,056.9 ","86,764.3 ","1,666.6 ","94,446.9 ","26,632.2 ",89.2 ,"6,619.3 ","90,365.4 ","83,746.1 ",292.4 ,,-283.2 ,"528,593.5 ","16,439.6 ","22,478.4 ","6,038.8 ","545,033.1 ",,"522,280.0 ","401,068.5 ","121,106.5 ",,"134,580.2 ",,"526,719.4 ",,,
4- 6.,"525,909.5 ","287,996.7 ","282,589.3 ","236,667.6 ","21,920.3 ","85,371.5 ","4,360.6 ","93,189.4 ","25,703.6 ",-40.8 ,"7,225.7 ","88,613.1 ","81,387.4 ",182.5 ,,"-2,902.8 ","523,006.7 ","12,951.5 ","18,843.2 ","5,891.8 ","535,958.2 ",,"518,775.1 ","399,864.9 ","118,787.9 ",,"133,082.4 ",,"521,213.0 ",,,
7- 9.,"519,427.3 ","287,125.9 ","281,760.5 ","235,668.7 ","22,465.7 ","84,000.5 ",-287.3 ,"93,178.3 ","25,619.5 ",-42.5 ,"7,129.7 ","88,709.0 ","81,579.2 ",237.4 ,,"-7,010.5 ","512,416.8 ","13,715.1 ","19,167.4 ","5,452.4 ","526,131.9 ",,"512,245.2 ","393,447.1 ","118,695.1 ",,"132,117.5 ",,"519,344.8 ",,,
