名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/ 1- 3.,"510,113.2 ","266,592.3 ","262,028.9 ","227,585.5 ","28,673.8 ","80,433.4 ","3,822.2 ","73,546.9 ","46,407.7 ",-417.7 ,"11,054.6 ","44,988.0 ","33,933.4 ",,"4,544.7 ","15,806.6 ","11,261.9 ","514,657.9 ",,"499,058.6 ","379,521.6 ","119,536.9 ",,"155,514.9 ",,"506,708.7 ",,,,,,
4- 6.,"508,973.8 ","269,112.1 ","264,475.6 ","229,660.4 ","29,969.8 ","79,979.9 ","-3,045.2 ","75,112.5 ","47,379.8 ",489.0 ,"9,975.9 ","45,500.1 ","35,524.1 ",,"4,175.1 ","15,676.5 ","11,501.4 ","513,148.8 ",,"498,997.9 ","376,016.5 ","122,981.3 ",,"157,329.5 ",,"511,530.1 ",,,,,,
7- 9.,"513,046.1 ","270,724.6 ","266,058.3 ","230,835.7 ","32,363.1 ","79,430.6 ",-138.1 ,"75,898.3 ","45,544.1 ",656.8 ,"8,566.6 ","45,053.8 ","36,487.2 ",,"4,116.8 ","15,944.2 ","11,827.4 ","517,162.9 ",,"504,479.4 ","382,380.2 ","122,099.3 ",,"157,337.8 ",,"512,527.3 ",,,,,,
10-12.,"511,528.7 ","271,199.9 ","266,480.7 ","230,776.7 ","30,940.0 ","80,298.5 ","-1,605.1 ","76,696.6 ","44,707.9 ",706.3 ,"8,584.6 ","45,109.8 ","36,525.2 ",,"4,142.6 ","16,496.7 ","12,354.1 ","515,671.3 ",,"502,944.1 ","380,833.4 ","122,110.7 ",,"155,946.4 ",,"512,427.6 ",,,,,,
1995/ 1- 3.,"514,908.4 ","272,728.7 ","267,940.8 ","231,869.0 ","29,884.3 ","82,049.8 ","2,064.8 ","77,678.5 ","42,842.0 ",-147.4 ,"7,807.7 ","45,054.0 ","37,246.3 ",,"4,358.7 ","16,959.6 ","12,601.0 ","519,267.0 ",,"507,100.6 ","386,727.6 ","120,373.0 ",,"154,776.0 ",,"512,991.0 ",,,,,,
4- 6.,"518,736.5 ","274,151.1 ","269,287.8 ","232,876.2 ","28,982.9 ","84,418.3 ",956.1 ,"78,137.1 ","44,468.2 ",220.5 ,"7,402.3 ","44,073.6 ","36,671.3 ",,"3,485.9 ","15,933.9 ","12,448.0 ","522,222.4 ",,"511,334.2 ","388,508.5 ","122,825.7 ",,"157,869.4 ",,"517,559.9 ",,,,,,
