Value;Year;Region;Chapter;Table;Indicator;Energy Source
836.727;2015-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
501977.0;2007-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Electricity
837.22;2016-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
;2020-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Natural Gas
874208.5665;2013-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Electricity
232.864798;2015-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Crude Oil
713.389;2012-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
43.155;2016-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
52.5128551574423;2015-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Natural Gas
;2005-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Coal
46.313;2012-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Lignite
32.989;2008-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Natural Gas
60.7943879625495;2018-01-01;India;Consumption Of Energy Resources;6.1: Trends in Consumption of Conventional Sources of Energy;Trends in Consumption of Energy Sources;Natural Gas
