Value;Year;Region;Chapter;Table;Indicator;Energy Source
;2005-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
689780.0;2007-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
1104228.3316495;2015-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
921229.0;2012-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
1307684.57121994;2018-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
811635.0;2010-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
639008.0;2006-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
974436.0;2013-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
1054354.92;2014-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
1232505.29786395;2017-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
;2020-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
763519.0;2009-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
1163290.2191602;2016-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
881466.0;2011-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
1311175.61502285;2019-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
707945.0;2008-01-01;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
