File or Sheet,base year,last updated
07221 Price for existing dwellings,2015.0,2022-06-30
03013 Consumer Price Index by Divisions,2015.0,2022-06-30
08183 Consumer Price Index,2015.0,2022-06-30
03700 Harmonized index of consumer prices,2015.0,2022-06-30
08651 Construction cost index for residential buildings,2015.0,2022-06-30
07095 Index of production by Main Industrial Groupring,2005.0,2022-06-30
07095 Index of production by Industry,2005.0,2022-06-30
07095 Index of production by contents Total,2005.0,2022-06-30
12462 Producer price index,2015.0,2022-06-30
07129 The Index of wholesale and retail trade,2015,2022-06-30
12462 Producer price index Industry combined,2015.0,2022-06-30
