Date;4189 - Interest rate - Selic accumulated in the month in annual terms (basis 252) - % p.y.;4390 - Interest rate - Selic accumulated in the month - % p.m.;7813 - Base financial rate (TBF) - First day of the month - % p.m.;7815 - Interest rate - TJLP in monthly terms - % p.m.
01/2010;8.65 ;0.66 ;0.6485 ;0.49
02/2010;8.65 ;0.59 ;0.5749 ;0.49
03/2010;8.65 ;0.76 ;0.7497 ;0.49
04/2010;8.72 ;0.67 ;0.6289 ;0.49
05/2010;9.40 ;0.75 ;0.7113 ;0.49
06/2010;9.94 ;0.79 ;0.7293 ;0.49
07/2010;10.32 ;0.86 ;0.8259 ;0.49
08/2010;10.66 ;0.89 ;0.8616 ;0.49
09/2010;10.66 ;0.85 ;0.8407 ;0.49
10/2010;10.66 ;0.81 ;0.7875 ;0.49
11/2010;10.66 ;0.81 ;0.7738 ;0.49
12/2010;10.66 ;0.93 ;0.8716 ;0.49
01/2011;10.85 ;0.86 ;0.8320 ;0.49
02/2011;11.17 ;0.84 ;0.8128 ;0.49
03/2011;11.62 ;0.92 ;0.9222 ;0.49
04/2011;11.74 ;0.84 ;0.7872 ;0.49
05/2011;11.92 ;0.99 ;0.9683 ;0.49
06/2011;12.10 ;0.96 ;0.9023 ;0.49
07/2011;12.25 ;0.97 ;0.9139 ;0.49
08/2011;12.42 ;1.07 ;1.0493 ;0.49
09/2011;11.91 ;0.94 ;0.8911 ;0.49
10/2011;11.70 ;0.88 ;0.8325 ;0.49
11/2011;11.40 ;0.86 ;0.8250 ;0.49
12/2011;10.90 ;0.91 ;0.8544 ;0.49
01/2012;10.70 ;0.89 ;0.8571 ;0.49
02/2012;10.40 ;0.75 ;0.7287 ;0.49
03/2012;9.82 ;0.82 ;0.7875 ;0.49
04/2012;9.35 ;0.71 ;0.6828 ;0.49
05/2012;8.87 ;0.74 ;0.7071 ;0.49
06/2012;8.39 ;0.64 ;0.6087 ;0.49
07/2012;8.07 ;0.68 ;0.6745 ;0.45
08/2012;7.85 ;0.69 ;0.6624 ;0.45
09/2012;7.39 ;0.54 ;0.5089 ;0.45
10/2012;7.23 ;0.61 ;0.6153 ;0.45
11/2012;7.14 ;0.55 ;0.5268 ;0.45
12/2012;7.16 ;0.55 ;0.5088 ;0.45
01/2013;7.11 ;0.60 ;0.5707 ;0.41
02/2013;7.12 ;0.49 ;0.4727 ;0.41
03/2013;7.15 ;0.55 ;0.4984 ;0.41
04/2013;7.26 ;0.61 ;0.5598 ;0.41
05/2013;7.42 ;0.60 ;0.5716 ;0.41
06/2013;7.90 ;0.61 ;0.5739 ;0.41
07/2013;8.23 ;0.72 ;0.6810 ;0.41
08/2013;8.45 ;0.71 ;0.6480 ;0.41
09/2013;8.90 ;0.71 ;0.6580 ;0.41
10/2013;9.25 ;0.81 ;0.7726 ;0.41
11/2013;9.45 ;0.72 ;0.6808 ;0.41
12/2013;9.90 ;0.79 ;0.7197 ;0.41
01/2014;10.17 ;0.85 ;0.7934 ;0.41
02/2014;10.43 ;0.79 ;0.7441 ;0.41
03/2014;10.65 ;0.77 ;0.7068 ;0.41
04/2014;10.87 ;0.82 ;0.7362 ;0.41
05/2014;10.90 ;0.87 ;0.8109 ;0.41
06/2014;10.90 ;0.82 ;0.7968 ;0.41
07/2014;10.90 ;0.95 ;0.8762 ;0.41
08/2014;10.90 ;0.87 ;0.8107 ;0.41
09/2014;10.90 ;0.91 ;0.8480 ;0.41
10/2014;10.92 ;0.95 ;0.8746 ;0.41
11/2014;11.15 ;0.84 ;0.7887 ;0.41
12/2014;11.58 ;0.96 ;0.8961 ;0.41
01/2015;11.82 ;0.94 ;0.8685 ;0.45
02/2015;12.15 ;0.82 ;0.7669 ;0.45
03/2015;12.58 ;1.04 ;0.9206 ;0.45
04/2015;12.68 ;0.95 ;0.8982 ;0.49
05/2015;13.15 ;0.99 ;0.9062 ;0.49
06/2015;13.58 ;1.07 ;1.0028 ;0.49
07/2015;13.69 ;1.18 ;1.0825 ;0.53
08/2015;14.15 ;1.11 ;1.0183 ;0.53
09/2015;14.15 ;1.11 ;1.0236 ;0.53
10/2015;14.15 ;1.11 ;1.0606 ;0.57
11/2015;14.15 ;1.06 ;0.9808 ;0.57
12/2015;14.15 ;1.16 ;1.0669 ;0.57
01/2016;14.15 ;1.06 ;0.9831 ;0.60
