Date;27786 - Money supply - Currency outside banks (working day balance average) - New - c.m.u. (thousand);27787 - Money supply - Demand deposits (working day balance average) - New - c.m.u. (thousand);27788 - Money supply - M1 (working day balance average) - New - c.m.u. (thousand);27789 - Money supply - Currency outside banks (end-of-period balance) - New - c.m.u. (thousand);27790 - Money supply - Demand deposits (end-of-period balance) - New - c.m.u. (thousand);27791 - Money supply - M1 (end-of-period balance) - New - c.m.u. (thousand);27810 - Broad money supply - M2 (end-of-periodo balance) - New - c.m.u. (thousand);27813 - Broad money supply - M3 (end-of-period balance) - New - c.m.u. (thousand);27815 - Broad money supply - M4 (end-of-period balance) - New - c.m.u. (thousand)
07/2003;33,767,279 ;55,099,280 ;88,866,559 ;32,442,835 ;54,607,293 ;87,050,128 ;388,813,938 ;749,105,032 ;856,697,017
08/2003;33,897,702 ;54,827,955 ;88,725,657 ;33,249,694 ;54,069,043 ;87,318,737 ;390,970,738 ;766,249,499 ;871,210,770
09/2003;34,199,626 ;55,014,417 ;89,214,043 ;32,474,440 ;55,976,215 ;88,450,654 ;392,149,375 ;779,958,060 ;888,610,164
10/2003;34,182,730 ;56,063,353 ;90,246,083 ;33,326,398 ;55,206,881 ;88,533,279 ;390,099,002 ;791,844,332 ;894,333,590
11/2003;34,801,764 ;58,415,146 ;93,216,911 ;35,229,376 ;60,000,748 ;95,230,124 ;401,818,084 ;814,963,841 ;921,918,579
12/2003;41,573,099 ;66,436,536 ;108,009,635 ;42,992,662 ;69,773,208 ;112,765,870 ;416,247,543 ;841,738,413 ;953,804,538
01/2004;40,267,754 ;65,606,534 ;105,874,287 ;38,282,671 ;62,924,185 ;101,206,857 ;408,357,097 ;850,484,302 ;968,637,026
02/2004;39,000,462 ;64,613,313 ;103,613,775 ;37,618,176 ;65,239,476 ;102,857,652 ;411,584,365 ;860,505,531 ;981,337,578
03/2004;37,874,278 ;64,572,120 ;102,446,398 ;36,125,291 ;65,156,928 ;101,282,219 ;413,528,931 ;870,826,987 ;989,838,137
04/2004;38,130,077 ;65,960,335 ;104,090,412 ;36,863,148 ;64,958,452 ;101,821,601 ;415,095,168 ;876,412,419 ;995,559,726
05/2004;38,622,303 ;65,758,006 ;104,380,309 ;37,234,567 ;65,839,915 ;103,074,482 ;429,712,981 ;908,888,294 ;1,012,425,016
06/2004;39,736,384 ;65,922,806 ;105,659,189 ;37,829,098 ;66,353,551 ;104,182,650 ;437,868,637 ;916,975,348 ;1,024,499,285
07/2004;40,887,752 ;67,323,519 ;108,211,272 ;39,488,556 ;65,368,248 ;104,856,804 ;443,323,859 ;927,486,531 ;1,038,909,105
08/2004;41,025,623 ;66,881,365 ;107,906,988 ;39,046,661 ;68,370,508 ;107,417,168 ;451,798,704 ;939,986,824 ;1,047,129,333
09/2004;41,599,069 ;69,739,308 ;111,338,377 ;40,367,978 ;71,352,499 ;111,720,476 ;458,676,647 ;949,435,412 ;1,061,114,243
10/2004;42,702,577 ;72,285,032 ;114,987,609 ;41,498,381 ;70,104,053 ;111,602,434 ;464,622,126 ;959,613,747 ;1,072,347,469
11/2004;42,945,303 ;71,941,767 ;114,887,070 ;42,094,944 ;73,045,476 ;115,140,420 ;472,370,296 ;974,733,631 ;1,087,722,745
12/2004;50,947,706 ;77,895,015 ;128,842,721 ;51,942,749 ;77,716,947 ;129,659,697 ;495,042,691 ;990,547,645 ;1,104,058,299
01/2005;48,940,114 ;77,111,971 ;126,052,085 ;45,276,520 ;75,218,161 ;120,494,681 ;490,235,409 ;995,464,144 ;1,108,249,718
02/2005;46,680,930 ;75,736,521 ;122,417,451 ;43,828,891 ;75,698,564 ;119,527,456 ;493,606,417 ;1,008,398,675 ;1,124,314,202
03/2005;45,488,352 ;76,031,533 ;121,519,884 ;42,784,832 ;75,776,042 ;118,560,874 ;503,251,673 ;1,027,786,068 ;1,145,318,592
04/2005;44,803,647 ;74,683,351 ;119,486,999 ;43,102,057 ;72,395,984 ;115,498,041 ;503,512,158 ;1,033,637,671 ;1,152,572,654
05/2005;44,763,156 ;73,351,352 ;118,114,508 ;42,443,495 ;75,113,374 ;117,556,869 ;505,887,925 ;1,040,046,083 ;1,161,520,593
06/2005;45,461,371 ;74,561,855 ;120,023,226 ;43,504,601 ;75,288,887 ;118,793,487 ;513,644,026 ;1,050,018,485 ;1,174,288,144
07/2005;46,470,736 ;75,848,553 ;122,319,288 ;44,870,424 ;73,692,328 ;118,562,751 ;518,947,452 ;1,070,923,797 ;1,195,820,490
08/2005;46,400,140 ;75,523,316 ;121,923,455 ;44,150,933 ;74,610,871 ;118,761,803 ;527,379,554 ;1,087,502,947 ;1,213,930,778
09/2005;45,680,939 ;78,288,945 ;123,969,884 ;45,680,939 ;78,288,945 ;123,969,884 ;537,869,645 ;1,109,859,415 ;1,234,582,849
10/2005;47,238,635 ;76,849,402 ;124,088,037 ;45,137,713 ;76,449,964 ;121,587,677 ;538,102,576 ;1,114,684,624 ;1,243,711,933
11/2005;47,849,619 ;78,539,957 ;126,389,576 ;47,137,388 ;81,279,829 ;128,417,217 ;548,097,119 ;1,138,403,099 ;1,267,334,878
12/2005;56,958,508 ;87,459,497 ;144,418,005 ;58,179,315 ;88,565,816 ;146,745,131 ;580,696,410 ;1,166,453,388 ;1,298,800,583
01/2006;54,424,680 ;85,389,438 ;139,814,118 ;49,904,427 ;81,960,310 ;131,864,737 ;565,857,853 ;1,182,375,081 ;1,310,962,889
02/2006;51,954,037 ;81,738,392 ;133,692,429 ;51,178,720 ;81,915,411 ;133,094,132 ;573,618,535 ;1,204,760,611 ;1,330,324,436
03/2006;50,533,151 ;83,489,827 ;134,022,978 ;48,628,660 ;82,149,357 ;130,778,017 ;577,567,486 ;1,217,947,577 ;1,338,582,920
04/2006;50,651,871 ;82,429,838 ;133,081,709 ;48,993,331 ;80,547,724 ;129,541,055 ;578,426,578 ;1,225,507,675 ;1,344,867,247
05/2006;51,096,844 ;83,008,416 ;134,105,261 ;48,562,760 ;84,400,264 ;132,963,024 ;592,703,839 ;1,245,562,990 ;1,368,336,835
06/2006;52,312,686 ;83,674,054 ;135,986,740 ;50,652,361 ;83,593,603 ;134,245,964 ;599,137,480 ;1,251,909,775 ;1,374,954,765
07/2006;53,751,858 ;85,593,723 ;139,345,581 ;51,242,097 ;84,529,383 ;135,771,480 ;603,661,585 ;1,263,276,121 ;1,396,099,933
08/2006;54,481,130 ;85,757,674 ;140,238,803 ;52,054,839 ;86,598,257 ;138,653,095 ;605,988,723 ;1,274,572,866 ;1,411,523,726
09/2006;57,399,131 ;88,636,994 ;146,036,125 ;56,057,682 ;89,541,543 ;145,599,225 ;610,457,741 ;1,292,498,222 ;1,430,836,318
10/2006;57,885,431 ;90,887,099 ;148,772,530 ;55,079,075 ;92,472,265 ;147,551,340 ;620,241,096 ;1,309,590,910 ;1,449,901,658
11/2006;58,552,533 ;94,142,138 ;152,694,671 ;57,494,944 ;96,945,902 ;154,440,846 ;634,750,381 ;1,340,098,738 ;1,484,533,006
12/2006;66,957,712 ;102,776,221 ;169,733,934 ;68,810,851 ;108,078,762 ;176,889,613 ;657,427,293 ;1,365,957,852 ;1,506,072,045
01/2007;65,028,877 ;101,645,129 ;166,674,006 ;59,945,896 ;98,241,034 ;158,186,929 ;641,559,137 ;1,381,091,644 ;1,529,980,880
02/2007;62,667,046 ;97,597,870 ;160,264,916 ;58,655,943 ;97,676,339 ;156,332,282 ;642,580,488 ;1,395,941,954 ;1,549,641,416
03/2007;61,417,726 ;98,530,721 ;159,948,447 ;58,994,611 ;99,404,163 ;158,398,773 ;646,115,709 ;1,403,437,444 ;1,568,197,310
04/2007;61,252,193 ;100,426,282 ;161,678,475 ;58,592,917 ;100,718,056 ;159,310,973 ;652,641,668 ;1,432,743,929 ;1,603,344,646
05/2007;61,687,882 ;99,657,553 ;161,345,435 ;59,215,195 ;101,610,122 ;160,825,317 ;659,908,686 ;1,448,292,815 ;1,622,667,259
06/2007;62,836,772 ;102,746,494 ;165,583,266 ;61,275,981 ;105,868,554 ;167,144,535 ;673,213,592 ;1,468,643,962 ;1,648,374,413
07/2007;64,299,000 ;106,357,671 ;170,656,672 ;61,182,567 ;108,686,777 ;169,869,344 ;679,342,235 ;1,451,583,471 ;1,674,030,797
08/2007;65,133,973 ;109,017,138 ;174,151,111 ;63,107,254 ;110,373,399 ;173,480,653 ;695,368,107 ;1,461,790,549 ;1,679,999,281
09/2007;68,034,131 ;111,324,461 ;179,358,592 ;66,158,600 ;112,221,174 ;178,379,774 ;709,585,174 ;1,498,606,015 ;1,755,455,817
10/2007;68,356,668 ;114,405,954 ;182,762,622 ;65,378,078 ;116,202,772 ;181,580,850 ;720,078,486 ;1,522,132,734 ;1,782,867,774
11/2007;69,241,541 ;118,000,318 ;187,241,859 ;69,336,167 ;121,973,280 ;191,309,446 ;732,920,543 ;1,569,704,721 ;1,803,115,915
12/2007;79,109,319 ;135,046,018 ;214,155,337 ;82,095,431 ;152,979,688 ;235,075,119 ;779,565,807 ;1,600,005,607 ;1,827,747,528
01/2008;76,522,774 ;126,425,682 ;202,948,456 ;73,038,131 ;120,700,544 ;193,738,675 ;755,191,254 ;1,601,688,950 ;1,837,638,125
02/2008;73,208,506 ;117,742,993 ;190,951,499 ;71,433,164 ;116,264,488 ;187,697,652 ;758,572,363 ;1,618,982,555 ;1,861,261,987
03/2008;72,625,899 ;116,733,524 ;189,359,423 ;70,084,180 ;117,618,217 ;187,702,397 ;780,089,115 ;1,636,587,622 ;1,882,375,451
04/2008;72,911,170 ;118,133,679 ;191,044,848 ;70,955,716 ;120,003,337 ;190,959,053 ;815,392,374 ;1,675,853,648 ;1,921,808,985
05/2008;73,193,517 ;118,689,175 ;191,882,691 ;72,029,267 ;115,492,925 ;187,522,192 ;846,322,011 ;1,706,968,916 ;1,958,889,483
06/2008;74,360,560 ;116,268,604 ;190,629,165 ;72,744,870 ;117,807,002 ;190,551,872 ;870,906,826 ;1,721,026,840 ;1,977,271,695
07/2008;75,893,822 ;118,180,480 ;194,074,302 ;73,905,889 ;116,080,696 ;189,986,585 ;919,095,072 ;1,764,903,833 ;2,017,769,516
08/2008;76,755,247 ;115,545,323 ;192,300,570 ;76,082,990 ;114,912,688 ;190,995,678 ;964,017,755 ;1,801,310,760 ;2,054,588,149
09/2008;79,687,422 ;118,341,727 ;198,029,149 ;77,450,507 ;121,931,736 ;199,382,244 ;1,003,158,652 ;1,825,938,710 ;2,082,000,869
10/2008;80,413,936 ;119,480,666 ;199,894,602 ;78,939,071 ;114,710,960 ;193,650,031 ;1,027,541,803 ;1,833,678,890 ;2,087,059,318
11/2008;80,989,064 ;118,141,168 ;199,130,232 ;81,964,552 ;119,894,037 ;201,858,589 ;1,048,357,196 ;1,868,278,256 ;2,127,012,844
12/2008;90,390,586 ;131,618,354 ;222,008,940 ;92,181,718 ;134,985,099 ;227,166,817 ;1,086,785,083 ;1,894,808,837 ;2,165,026,979
01/2009;86,688,183 ;126,066,430 ;212,754,612 ;82,862,993 ;116,952,314 ;199,815,307 ;1,068,177,739 ;1,896,403,733 ;2,167,907,278
02/2009;83,874,479 ;118,704,420 ;202,578,899 ;81,203,008 ;116,876,546 ;198,079,554 ;1,074,117,820 ;1,911,377,234 ;2,185,998,463
03/2009;81,814,537 ;116,418,569 ;198,233,106 ;78,847,370 ;117,318,742 ;196,166,112 ;1,073,712,242 ;1,922,395,330 ;2,201,970,399
04/2009;81,957,516 ;117,935,233 ;199,892,749 ;80,753,429 ;117,597,123 ;198,350,552 ;1,077,756,632 ;1,950,835,852 ;2,224,228,662
05/2009;82,893,152 ;118,693,050 ;201,586,202 ;81,500,292 ;118,154,447 ;199,654,739 ;1,091,164,504 ;1,981,875,506 ;2,254,370,643
06/2009;83,954,152 ;120,660,944 ;204,615,096 ;81,542,120 ;124,949,831 ;206,491,951 ;1,112,294,167 ;1,997,955,514 ;2,261,608,856
07/2009;85,017,003 ;122,738,001 ;207,755,005 ;83,668,460 ;118,838,033 ;202,506,493 ;1,115,662,312 ;2,035,540,975 ;2,321,899,332
08/2009;85,878,474 ;120,824,508 ;206,702,982 ;84,541,996 ;122,298,409 ;206,840,405 ;1,121,786,452 ;2,069,824,769 ;2,355,008,902
09/2009;89,086,177 ;123,936,350 ;213,022,527 ;85,769,234 ;128,696,321 ;214,465,555 ;1,139,974,843 ;2,108,364,057 ;2,391,092,564
10/2009;89,370,912 ;126,746,889 ;216,117,801 ;88,764,034 ;125,764,653 ;214,528,687 ;1,135,682,421 ;2,129,862,633 ;2,427,046,587
11/2009;91,374,364 ;128,503,577 ;219,877,940 ;92,502,123 ;132,771,238 ;225,273,361 ;1,150,559,910 ;2,158,865,053 ;2,458,339,280
12/2009;103,045,886 ;141,851,135 ;244,897,021 ;105,573,929 ;149,140,190 ;254,714,119 ;1,185,866,143 ;2,196,530,424 ;2,497,479,450
01/2010;100,264,672 ;139,863,848 ;240,128,519 ;96,458,008 ;135,496,822 ;231,954,830 ;1,164,959,304 ;2,322,483,632 ;2,605,840,471
02/2010;98,443,613 ;135,844,532 ;234,288,145 ;95,549,619 ;133,990,063 ;229,539,682 ;1,168,268,490 ;2,331,431,779 ;2,623,278,526
03/2010;96,682,028 ;135,776,534 ;232,458,562 ;94,575,451 ;139,746,208 ;234,321,660 ;1,183,495,173 ;2,363,486,147 ;2,659,498,428
04/2010;96,409,432 ;137,827,168 ;234,236,600 ;95,104,206 ;138,583,896 ;233,688,103 ;1,179,396,787 ;2,371,436,991 ;2,670,103,559
05/2010;96,992,686 ;139,510,613 ;236,503,300 ;95,036,580 ;141,194,428 ;236,231,009 ;1,193,103,293 ;2,402,387,178 ;2,707,324,124
06/2010;98,121,877 ;141,500,524 ;239,622,402 ;95,800,804 ;144,262,764 ;240,063,569 ;1,213,647,686 ;2,429,332,137 ;2,741,751,027
07/2010;100,060,067 ;143,859,850 ;243,919,917 ;98,736,209 ;142,448,893 ;241,185,103 ;1,224,429,731 ;2,470,349,066 ;2,777,583,916
08/2010;101,699,177 ;144,063,518 ;245,762,694 ;100,075,605 ;148,020,454 ;248,096,060 ;1,248,586,797 ;2,519,676,850 ;2,824,549,127
09/2010;105,272,116 ;147,769,951 ;253,042,067 ;103,808,803 ;150,821,245 ;254,630,048 ;1,280,552,635 ;2,567,999,140 ;2,872,131,561
10/2010;106,249,439 ;151,547,998 ;257,797,436 ;104,813,221 ;150,789,085 ;255,602,306 ;1,292,953,330 ;2,620,660,155 ;2,943,842,406
11/2010;107,182,059 ;151,974,654 ;259,156,712 ;107,519,070 ;157,534,763 ;265,053,833 ;1,324,903,932 ;2,643,539,508 ;2,973,395,179
12/2010;119,322,825 ;166,172,226 ;285,495,051 ;121,706,380 ;166,032,777 ;287,739,157 ;1,387,911,551 ;2,681,421,355 ;2,976,783,487
01/2011;115,066,720 ;159,038,955 ;274,105,675 ;109,180,112 ;154,131,680 ;263,311,792 ;1,373,573,507 ;2,692,091,783 ;2,999,789,901
02/2011;111,149,611 ;151,952,489 ;263,102,101 ;106,944,772 ;153,399,980 ;260,344,752 ;1,393,166,332 ;2,746,372,688 ;3,075,998,853
03/2011;108,690,841 ;150,544,006 ;259,234,847 ;105,471,446 ;152,946,557 ;258,418,003 ;1,421,898,024 ;2,774,165,612 ;3,096,759,658
04/2011;108,508,919 ;149,400,350 ;257,909,268 ;105,758,926 ;149,122,567 ;254,881,493 ;1,429,732,032 ;2,802,614,210 ;3,133,705,266
05/2011;107,710,183 ;148,681,857 ;256,392,040 ;104,751,911 ;151,393,660 ;256,145,571 ;1,455,032,495 ;2,837,176,945 ;3,166,562,726
06/2011;109,017,827 ;148,924,943 ;257,942,770 ;106,135,493 ;154,364,464 ;260,499,957 ;1,483,845,139 ;2,859,691,238 ;3,188,121,318
07/2011;110,230,443 ;149,881,378 ;260,111,822 ;108,442,845 ;150,832,033 ;259,274,878 ;1,504,654,844 ;2,917,116,204 ;3,236,156,038
08/2011;110,625,908 ;146,506,674 ;257,132,582 ;108,222,859 ;146,827,417 ;255,050,276 ;1,530,671,978 ;2,973,056,786 ;3,267,212,177
09/2011;113,557,273 ;147,305,110 ;260,862,382 ;112,364,900 ;150,158,812 ;262,523,711 ;1,564,422,897 ;3,009,561,825 ;3,300,817,548
10/2011;114,503,095 ;148,701,759 ;263,204,853 ;112,413,134 ;147,891,957 ;260,305,090 ;1,571,741,588 ;3,033,171,871 ;3,332,368,524
11/2011;115,587,711 ;147,137,667 ;262,725,379 ;116,232,959 ;152,457,744 ;268,690,702 ;1,602,533,597 ;3,058,534,253 ;3,344,917,083
12/2011;128,687,804 ;158,595,084 ;287,282,888 ;131,375,615 ;160,792,831 ;292,168,445 ;1,649,901,271 ;3,126,468,029 ;3,420,779,729
01/2012;124,009,551 ;152,130,010 ;276,139,561 ;118,163,021 ;148,461,917 ;266,624,937 ;1,624,306,909 ;3,183,704,028 ;3,467,874,222
02/2012;121,412,203 ;146,729,205 ;268,141,408 ;116,524,975 ;147,175,679 ;263,700,653 ;1,630,953,144 ;3,215,823,078 ;3,501,666,521
03/2012;119,395,202 ;145,577,897 ;264,973,099 ;116,998,568 ;148,173,897 ;265,172,466 ;1,648,106,102 ;3,280,594,773 ;3,560,241,315
04/2012;119,018,892 ;146,781,992 ;265,800,884 ;116,360,833 ;150,133,418 ;266,494,252 ;1,643,620,310 ;3,311,417,702 ;3,572,707,204
05/2012;119,445,581 ;147,097,454 ;266,543,035 ;117,391,087 ;149,788,445 ;267,179,533 ;1,668,158,595 ;3,358,168,535 ;3,625,970,074
06/2012;121,345,410 ;149,653,665 ;270,999,075 ;120,691,223 ;152,913,772 ;273,604,994 ;1,691,859,070 ;3,378,112,765 ;3,643,522,442
07/2012;123,867,747 ;152,975,135 ;276,842,883 ;121,307,638 ;152,516,010 ;273,823,647 ;1,701,379,607 ;3,428,574,172 ;3,678,241,870
08/2012;124,702,359 ;149,612,846 ;274,315,205 ;125,020,953 ;150,475,668 ;275,496,620 ;1,717,369,610 ;3,486,156,088 ;3,737,939,097
09/2012;129,716,562 ;153,610,997 ;283,327,559 ;128,434,260 ;155,189,755 ;283,624,015 ;1,737,700,016 ;3,509,444,353 ;3,757,564,160
10/2012;130,681,865 ;153,862,418 ;284,544,283 ;126,915,309 ;154,978,708 ;281,894,017 ;1,742,734,111 ;3,560,256,027 ;3,806,703,466
11/2012;130,500,285 ;156,418,119 ;286,918,403 ;133,496,640 ;163,382,994 ;296,879,634 ;1,759,318,172 ;3,595,180,344 ;3,833,305,417
12/2012;145,124,842 ;176,396,684 ;321,521,526 ;149,638,726 ;183,846,901 ;333,485,628 ;1,792,891,488 ;3,609,680,508 ;3,860,098,790
01/2013;139,314,891 ;169,618,751 ;308,933,642 ;133,237,620 ;162,718,149 ;295,955,770 ;1,750,647,756 ;3,641,468,977 ;3,876,730,386
02/2013;135,250,669 ;163,707,404 ;298,958,073 ;131,237,482 ;164,228,182 ;295,465,665 ;1,749,820,224 ;3,656,344,131 ;3,905,533,529
03/2013;135,058,079 ;164,205,481 ;299,263,560 ;133,353,634 ;169,180,350 ;302,533,983 ;1,784,054,636 ;3,690,666,043 ;3,937,286,921
04/2013;133,943,661 ;165,522,322 ;299,465,983 ;130,626,544 ;166,393,966 ;297,020,509 ;1,781,381,964 ;3,718,643,709 ;3,977,938,892
05/2013;134,957,133 ;164,917,324 ;299,874,457 ;133,657,251 ;169,194,913 ;302,852,163 ;1,808,987,072 ;3,763,267,815 ;4,039,567,474
06/2013;136,118,137 ;170,053,202 ;306,171,339 ;134,955,444 ;175,804,388 ;310,759,832 ;1,847,726,382 ;3,781,611,175 ;4,076,016,558
07/2013;138,430,917 ;172,438,147 ;310,869,063 ;135,350,614 ;169,590,819 ;304,941,433 ;1,854,519,202 ;3,814,726,306 ;4,092,715,829
08/2013;139,756,137 ;167,912,251 ;307,668,388 ;138,957,075 ;169,254,733 ;308,211,808 ;1,874,736,680 ;3,834,189,886 ;4,126,641,494
09/2013;144,219,467 ;169,761,564 ;313,981,031 ;140,713,932 ;171,086,110 ;311,800,042 ;1,892,308,996 ;3,856,984,371 ;4,161,521,066
10/2013;144,113,300 ;168,983,698 ;313,096,998 ;140,822,497 ;167,540,939 ;308,363,436 ;1,903,729,843 ;3,885,993,526 ;4,201,617,658
11/2013;145,671,346 ;171,308,235 ;316,979,581 ;147,994,979 ;177,403,957 ;325,398,936 ;1,940,434,536 ;3,897,745,977 ;4,234,749,839
12/2013;161,404,274 ;187,720,429 ;349,124,704 ;163,879,089 ;190,771,859 ;354,650,948 ;1,985,467,611 ;3,947,967,099 ;4,267,350,449
01/2014;155,220,074 ;178,135,098 ;333,355,173 ;149,973,789 ;173,300,906 ;323,274,695 ;1,971,127,279 ;3,956,852,345 ;4,302,958,043
02/2014;151,500,111 ;170,502,813 ;322,002,925 ;151,218,362 ;175,170,967 ;326,389,329 ;1,989,751,973 ;3,973,241,537 ;4,308,697,091
03/2014;149,976,200 ;171,493,823 ;321,470,023 ;146,575,525 ;174,460,885 ;321,036,411 ;2,004,771,520 ;3,987,162,587 ;4,323,341,813
04/2014;150,078,328 ;173,361,474 ;323,439,802 ;145,412,910 ;174,919,967 ;320,332,877 ;2,018,409,621 ;4,024,128,054 ;4,353,875,595
05/2014;148,588,402 ;168,669,379 ;317,257,781 ;146,283,564 ;168,512,887 ;314,796,451 ;2,037,576,287 ;4,071,238,100 ;4,391,423,444
06/2014;150,882,982 ;167,876,969 ;318,759,951 ;147,571,632 ;169,699,057 ;317,270,689 ;2,061,091,340 ;4,101,325,335 ;4,428,178,547
07/2014;151,811,462 ;168,514,546 ;320,326,008 ;148,429,400 ;165,291,106 ;313,720,506 ;2,068,935,938 ;4,169,700,240 ;4,489,161,835
08/2014;153,062,503 ;164,860,460 ;317,922,963 ;151,792,352 ;166,100,565 ;317,892,917 ;2,087,372,837 ;4,271,481,439 ;4,570,292,750
09/2014;158,178,152 ;169,747,226 ;327,925,378 ;155,524,579 ;170,413,242 ;325,937,821 ;2,110,060,143 ;4,306,043,943 ;4,641,249,955
10/2014;159,004,028 ;170,030,185 ;329,034,213 ;157,290,347 ;167,492,124 ;324,782,470 ;2,121,339,527 ;4,349,931,096 ;4,677,624,437
11/2014;161,053,993 ;170,204,683 ;331,258,675 ;162,762,344 ;175,547,059 ;338,309,402 ;2,146,852,154 ;4,390,074,190 ;4,718,034,618
12/2014;176,443,174 ;185,709,702 ;362,152,876 ;178,251,606 ;185,109,929 ;363,361,535 ;2,186,471,965 ;4,438,289,475 ;4,774,925,265
01/2015;169,323,158 ;174,473,980 ;343,797,138 ;162,568,095 ;170,885,983 ;333,454,078 ;2,164,354,124 ;4,446,980,401 ;4,777,616,433
02/2015;165,175,402 ;168,915,450 ;334,090,852 ;161,992,735 ;168,715,875 ;330,708,611 ;2,168,510,301 ;4,446,708,674 ;4,793,695,676
03/2015;165,172,321 ;163,630,081 ;328,802,402 ;161,628,667 ;166,300,293 ;327,928,960 ;2,183,104,350 ;4,475,838,274 ;4,836,693,747
04/2015;163,748,410 ;160,163,995 ;323,912,405 ;160,208,092 ;159,236,641 ;319,444,733 ;2,178,077,343 ;4,493,113,529 ;4,850,532,086
05/2015;162,139,075 ;156,775,452 ;318,914,527 ;159,713,114 ;158,728,623 ;318,441,737 ;2,193,636,407 ;4,554,350,444 ;4,908,824,344
06/2015;162,875,372 ;154,041,828 ;316,917,201 ;158,752,497 ;159,866,795 ;318,619,292 ;2,200,717,397 ;4,563,586,143 ;4,951,069,509
07/2015;163,335,284 ;154,932,930 ;318,268,214 ;160,948,154 ;151,094,978 ;312,043,132 ;2,210,374,249 ;4,597,352,502 ;4,989,008,758
08/2015;162,382,131 ;150,008,445 ;312,390,576 ;158,744,305 ;151,353,295 ;310,097,600 ;2,212,621,000 ;4,591,457,079 ;5,022,943,900
09/2015;162,205,501 ;148,631,156 ;310,836,657 ;159,475,550 ;149,465,996 ;308,941,546 ;2,233,749,004 ;4,636,253,676 ;5,087,639,840
10/2015;167,946,537 ;147,438,122 ;315,384,658 ;165,411,401 ;146,448,053 ;311,859,455 ;2,252,120,829 ;4,677,523,145 ;5,114,530,928
11/2015;167,586,639 ;147,516,131 ;315,102,771 ;168,742,696 ;155,124,287 ;323,866,983 ;2,269,537,065 ;4,716,993,314 ;5,163,315,756
