Date;27786 - Money supply - Currency outside banks (working day balance average) - New - c.m.u. (thousand);27787 - Money supply - Demand deposits (working day balance average) - New - c.m.u. (thousand);27788 - Money supply - M1 (working day balance average) - New - c.m.u. (thousand);27789 - Money supply - Currency outside banks (end-of-period balance) - New - c.m.u. (thousand);27790 - Money supply - Demand deposits (end-of-period balance) - New - c.m.u. (thousand);27791 - Money supply - M1 (end-of-period balance) - New - c.m.u. (thousand);27810 - Broad money supply - M2 (end-of-periodo balance) - New - c.m.u. (thousand);27813 - Broad money supply - M3 (end-of-period balance) - New - c.m.u. (thousand);27815 - Broad money supply - M4 (end-of-period balance) - New - c.m.u. (thousand)
12/2001;30,596,094 ;49,959,508 ;80,555,602 ;32,584,045 ;52,735,716 ;85,319,761 ;324,300,744 ;627,745,633 ;752,263,393
01/2002;29,377,681 ;49,637,691 ;79,015,372 ;27,239,411 ;49,052,110 ;76,291,521 ;317,273,183 ;628,602,077 ;754,307,152
02/2002;27,893,036 ;48,293,053 ;76,186,089 ;26,732,167 ;48,947,550 ;75,679,717 ;318,151,239 ;630,499,541 ;753,801,974
03/2002;27,674,304 ;47,486,504 ;75,160,808 ;27,191,413 ;47,804,589 ;74,996,003 ;327,125,313 ;642,165,859 ;758,774,257
04/2002;27,102,527 ;47,839,712 ;74,942,239 ;26,006,602 ;50,621,914 ;76,628,516 ;325,806,655 ;641,769,220 ;761,658,308
05/2002;27,168,039 ;48,371,400 ;75,539,439 ;26,996,297 ;48,677,872 ;75,674,168 ;328,168,352 ;641,898,836 ;762,389,232
06/2002;28,184,365 ;52,247,411 ;80,431,777 ;28,281,540 ;53,466,496 ;81,748,036 ;345,210,126 ;641,695,390 ;766,298,588
07/2002;29,348,180 ;54,928,661 ;84,276,840 ;28,880,966 ;56,163,685 ;85,044,651 ;356,786,925 ;644,127,849 ;767,858,197
08/2002;30,587,478 ;56,373,667 ;86,961,145 ;30,785,260 ;57,122,287 ;87,907,547 ;372,657,923 ;652,106,074 ;762,569,898
09/2002;32,023,022 ;57,544,203 ;89,567,225 ;31,449,398 ;59,285,035 ;90,734,433 ;379,257,449 ;661,980,677 ;771,166,619
10/2002;33,765,471 ;58,897,360 ;92,662,831 ;33,073,425 ;58,399,744 ;91,473,169 ;385,844,150 ;669,613,766 ;782,406,103
11/2002;34,463,183 ;59,509,074 ;93,972,257 ;34,709,343 ;59,888,618 ;94,597,962 ;389,214,301 ;678,988,616 ;791,892,090
12/2002;40,343,693 ;64,452,381 ;104,796,074 ;42,281,023 ;68,053,220 ;110,334,243 ;400,341,786 ;691,107,613 ;800,035,851
01/2003;39,336,747 ;61,908,166 ;101,244,913 ;36,950,119 ;58,027,664 ;94,977,783 ;391,237,088 ;696,054,502 ;810,272,451
02/2003;36,537,385 ;58,003,213 ;94,540,598 ;36,187,874 ;57,415,063 ;93,602,937 ;393,976,058 ;706,788,435 ;815,745,074
03/2003;34,806,980 ;57,321,715 ;92,128,694 ;33,135,343 ;56,687,240 ;89,822,584 ;388,142,457 ;710,712,013 ;820,859,498
04/2003;34,065,936 ;56,328,954 ;90,394,890 ;32,455,460 ;54,955,139 ;87,410,599 ;385,467,653 ;712,800,120 ;823,489,095
05/2003;33,265,757 ;54,720,953 ;87,986,711 ;32,518,855 ;53,712,908 ;86,231,763 ;388,490,690 ;721,321,334 ;833,412,205
06/2003;33,397,111 ;54,841,937 ;88,239,048 ;31,923,287 ;56,543,028 ;88,466,315 ;386,338,027 ;731,530,105 ;840,397,699
