類・品目,持家の帰属家賃を除く総合
Group/Item,"All items, less imputed rent"
類・品目符号(Group/Item code),0163
含類総連番(Serial number),735
ウエイト(Weight),218455127
ウエイト１万分比(Weight per 10000),8000
194601,
194602,
194603,
194604,
194605,
194606,
194607,
194608,3.1
194609,2.8
194610,2.4
194611,2.5
194612,2.9
194701,3.3
194702,3.6
194703,3.9
194704,3.9
194705,5.2
194706,5.7
194707,7.1
194708,7.3
194709,8.0
194710,7.9
194711,7.5
194712,7.7
194801,8.1
194802,7.9
194803,8.8
194804,9.3
194805,9.6
194806,10.7
194807,10.5
194808,11.6
194809,12.1
194810,11.3
194811,11.5
194812,12.0
194901,12.8
194902,12.9
194903,13.2
194904,13.4
194905,13.7
194906,13.4
194907,12.8
194908,12.5
194909,12.7
194910,12.5
194911,12.3
194912,12.6
195001,12.9
195002,12.3
195003,12.0
195004,11.7
195005,11.8
195006,11.4
195007,11.7
195008,11.8
195009,12.0
195010,11.7
195011,11.8
195012,12.3
195101,12.9
195102,13.5
195103,13.8
195104,13.9
195105,13.8
195106,13.7
195107,13.5
195108,14.0
195109,14.2
195110,14.3
195111,14.4
195112,14.4
195201,14.5
195202,14.5
195203,14.6
195204,14.6
195205,14.4
195206,14.3
195207,14.5
195208,14.5
195209,14.4
195210,14.4
195211,14.4
195212,14.4
195301,14.7
195302,14.9
195303,14.9
195304,15.2
195305,15.2
195306,15.3
195307,15.5
195308,15.6
195309,15.9
195310,16.5
195311,16.3
195312,16.3
195401,16.5
195402,16.5
195403,16.5
195404,16.5
195405,16.5
195406,16.5
195407,16.5
195408,16.3
195409,16.3
195410,16.5
195411,16.2
195412,16.0
195501,16.1
195502,16.1
195503,16.0
195504,16.4
195505,16.2
195506,16.0
195507,15.9
195508,15.9
195509,16.1
195510,16.3
195511,16.1
195512,16.0
195601,16.0
195602,16.2
195603,16.3
195604,16.2
195605,16.2
195606,16.5
195607,15.9
195608,16.2
195609,16.4
195610,16.5
195611,16.4
195612,16.5
195701,16.5
195702,16.5
195703,16.5
195704,16.6
195705,16.8
195706,16.9
195707,16.9
195708,17.0
195709,17.0
195710,17.0
195711,16.7
195712,16.7
195801,16.7
195802,16.7
195803,16.5
195804,16.7
195805,16.7
195806,17.0
195807,16.8
195808,17.0
195809,17.0
195810,17.5
195811,17.2
195812,17.1
195901,17.1
195902,17.0
195903,17.0
195904,17.1
195905,17.0
195906,17.0
195907,17.0
195908,17.3
195909,17.1
195910,17.4
195911,17.4
195912,17.5
196001,17.5
196002,17.6
196003,17.6
196004,17.7
196005,17.8
196006,17.8
196007,17.7
196008,18.0
196009,18.0
196010,18.0
196011,17.8
196012,17.9
196101,18.1
196102,18.2
196103,18.3
196104,18.5
196105,18.3
196106,18.6
196107,18.7
196108,18.9
196109,18.9
196110,19.4
196111,19.4
196112,19.5
196201,19.6
196202,19.5
196203,19.7
196204,19.9
196205,20.1
196206,20.1
196207,20.2
196208,20.0
196209,19.8
196210,20.2
