SGS Prices and Yields - Benchmark Issues (2005 to 2007)

Jan 1988 to Dec 2022 (Monthly)

,,Average Buying Rates of Govt Securities Dealers 5-Year Bond Yield
1988,Jan,4.95
,Feb,4.97
,Mar,4.82
,Apr,4.86
,May,4.96
,Jun,5.14
,Jul,5.32
,Aug,5.74
,Sep,5.62
,Oct,5.38
,Nov,5.47
,Dec,5.44
1989,Jan,5.42
,Feb,5.5
,Mar,5.45
,Apr,5.43
,May,5.34
,Jun,5.28
,Jul,5.14
,Aug,5.13
,Sep,5.13
,Oct,5.11
,Nov,5.15
,Dec,5.15
1990,Jan,5.22
,Feb,5.16
,Mar,5.22
,Apr,5.34
,May,5.25
,Jun,5.19
,Jul,5.22
,Aug,5.48
,Sep,5.49
,Oct,5.42
,Nov,5.22
,Dec,5.19
1991,Jan,5.2
,Feb,5.11
,Mar,5.03
,Apr,5.02
,May,5.03
,Jun,5.08
,Jul,5.08
,Aug,5.15
,Sep,4.98
,Oct,4.82
,Nov,4.72
,Dec,4.68
1992,Jan,4.27
,Feb,4.08
,Mar,4.06
,Apr,4.26
,May,4.14
,Jun,4.08
,Jul,3.99
,Aug,4.01
,Sep,3.8
,Oct,3.67
,Nov,3.82
,Dec,3.79
1993,Jan,3.73
,Feb,3.57
,Mar,3.11
,Apr,3.07
,May,3.15
,Jun,2.9
,Jul,2.88
,Aug,2.9
,Sep,2.94
,Oct,2.69
,Nov,2.67
,Dec,2.94
1994,Jan,3.17
,Feb,3.19
,Mar,3.24
,Apr,3.39
,May,3.49
,Jun,3.65
,Jul,3.71
,Aug,3.73
,Sep,3.7
,Oct,3.86
,Nov,3.93
,Dec,3.92
1995,Jan,4.01
,Feb,3.91
,Mar,3.29
,Apr,2.82
,May,2.45
,Jun,2.57
,Jul,3.15
,Aug,3.07
,Sep,2.96
,Oct,2.86
,Nov,2.83
,Dec,2.75
1996,Jan,2.74
,Feb,2.7
,Mar,2.29
,Apr,2.29
,May,2.29
,Jun,2.32
,Jul,2.51
,Aug,2.45
,Sep,2.53
,Oct,2.84
,Nov,3.03
,Dec,2.98
1997,Jan,2.94
,Feb,2.95
,Mar,3.18
,Apr,3.15
,May,3.46
,Jun,3.39
,Jul,3.4
,Aug,3.61
,Sep,3.59
,Oct,3.56
