File or Sheet,base year,last updated
Index of production in construction,2015.0,2022-04-29
Gross domestic product and expenditure components chain linked,2015.0,2022-04-29
National Accounts quarterly main aggregates Value added by industry chain linked,2015.0,2022-04-29
Gross Domestic Product and main components chain linked,2015.0,2022-04-29
Gross fixed capital formation by asset chain linked,2015.0,2022-04-29
Consumer Price Index,2015.0,2022-04-29
Consumer Price Index of Blue- and White-Collar Families,2015.0,2022-04-29
Harmonized CPI,2015.0,2022-04-29
Industrial Producer Price Index,2015.0,2022-04-29
Industrial Production Index SA,2015.0,2022-04-29
Industrial Production Index CA,2015.0,2022-04-29
Industrial Production Index NSA1,2015.0,2022-04-29
Industrial Production Index NSA2,2015.0,2022-04-29
Industrial Production Index NSA3,2015.0,2022-04-29
Industrial Production Index NSA4,2015.0,2022-04-29
Industrial Turnover Index total market,2015.0,2022-04-29
Industrial Turnover Index domestic market,2015.0,2022-04-29
Industrial Turnover Index foreign market,2015.0,2022-04-29
Industrial Turnover Index SA,2015.0,2022-04-29
Index of Hours worked per employee,2015.0,2022-04-29
Hourly Gross Earnings Index,2015.0,2022-04-29
Index of Gross Earning per Employee,2015.0,2022-04-29
Index of Labour Cost per Employee,2015.0,2022-04-29
Hourly Labour Cost Indice,2015.0,2022-04-29
Indice of Salary per Employee,2015.0,2022-04-29
Labour positions,2015.0,2022-04-29
Business confidence Index in the manufacturing sector,2010.0,2022-04-29
Business confidence Index in the construction sector,2010.0,2022-04-29
Consumer confidence Index NSA,2010.0,2022-04-29
Consumer confidence Index SA,2010.0,2022-04-29
Business confidence Index in the retail trade sector,2010.0,2022-04-29
Business confidence Index in the market services sector total,2010.0,2022-04-29
Business confidence Index in the market services sector local,2010.0,2022-04-29
Index of Wages according to collective labour agreements by economic sector,2015.12,2022-04-29
Hourly Wages by Contract public administration,2015.12,2022-04-29
Construction costs Index,2015.0,2022-04-29
Index of retail trade sales by type of product and type of sales,2015.0,2022-04-29
Index of retail trade sales by type of product and enterprises size class,2015,2022-04-29
istat_discontinued_M,2015.0,2021/12/26
