[a],Average of amounts outstanding at close of business on Wednesdays within the calendar month.
[b],"From November 2009 notes and coin in circulation represents all holdings outside the Bank of England (including those in banks' and building societies' tills), but excluding backing assets for commercial banknote issue in Scotland and Northern Ireland. The effects of the change in definition have been removed from the flows (changes) data. For details, see the October 2009 article in Monetary & Financial Statistics at http://www.bankofengland.co.uk/statistics/documents/ms/articles/art1oct09.pdf."
[c],"The seasonal adjustment of this series is under review due to changes in patterns of trading day and holiday effects, particularly from 2013 onwards."
[d],"Changes to the method of seasonal adjustment took effect from the publication of July 2019 data. For further details, see: https://www.bankofengland.co.uk/statistics/details/further-details-about-notes-and-coin-and-reserves-balances-data. (31 Jan 2009 onward)"
[e],"All seasonal adjustment methods are subject to regular review and the methodology for the Notes & Coins data was updated in June 2021. Historical data has been revised for the new methodology applied. For further details, see https://www.bankofengland.co.uk/statistics/details/further-details-about-seasonal-adjustment-data (30 Jun 2021)"
