Date;1389 - Petroleum derivatives production - Crude oil - Barrels/day (thousand)
01/1979;155
02/1979;161
03/1979;159
04/1979;160
05/1979;160
06/1979;160
07/1979;165
08/1979;163
09/1979;170
10/1979;174
11/1979;179
12/1979;180
01/1980;182
02/1980;188
03/1980;179
04/1980;185
05/1980;186
06/1980;201
07/1980;195
08/1980;197
09/1980;168
10/1980;168
11/1980;176
12/1980;176
01/1981;183
02/1981;215
03/1981;219
04/1981;204
05/1981;219
06/1981;211
07/1981;212
08/1981;223
09/1981;202
10/1981;224
11/1981;227
12/1981;223
01/1982;239
02/1982;246
03/1982;252
04/1982;261
05/1982;257
06/1982;244
07/1982;262
08/1982;255
09/1982;258
10/1982;272
11/1982;281
12/1982;290
01/1983;315
02/1983;306
03/1983;310
04/1983;310
05/1983;317
06/1983;317
07/1983;318
08/1983;315
09/1983;332
10/1983;340
11/1983;374
12/1983;401
01/1984;430
02/1984;429
03/1984;428
04/1984;441
05/1984;449
06/1984;447
07/1984;486
08/1984;449
09/1984;469
10/1984;496
11/1984;500
12/1984;509
01/1985;519
02/1985;503
03/1985;525
04/1985;532
05/1985;544
06/1985;545
07/1985;548
08/1985;551
09/1985;555
10/1985;578
11/1985;574
12/1985;579
01/1986;579
02/1986;574
03/1986;582
04/1986;580
05/1986;573
06/1986;578
07/1986;570
08/1986;584
09/1986;568
10/1986;564
11/1986;556
12/1986;565
01/1987;571
02/1987;562
03/1987;562
04/1987;562
05/1987;567
06/1987;561
07/1987;551
08/1987;559
09/1987;566
10/1987;598
11/1987;571
12/1987;581
01/1988;584
02/1988;590
03/1988;590
04/1988;578
05/1988;523
06/1988;557
07/1988;555
08/1988;543
09/1988;545
10/1988;541
11/1988;502
12/1988;544
01/1989;551
02/1989;558
03/1989;559
04/1989;574
05/1989;571
06/1989;593
07/1989;606
08/1989;622
09/1989;627
10/1989;624
11/1989;625
12/1989;632
01/1990;616
02/1990;637
03/1990;635
04/1990;642
05/1990;631
06/1990;621
07/1990;612
08/1990;625
09/1990;632
10/1990;610
11/1990;654
12/1990;652
01/1991;649
02/1991;654
03/1991;613
04/1991;645
05/1991;649
06/1991;648
07/1991;646
08/1991;629
09/1991;436
10/1991;632
11/1991;637
12/1991;634
01/1992;640
02/1992;620
03/1992;627
04/1992;617
05/1992;629
06/1992;619
07/1992;629
08/1992;645
09/1992;619
10/1992;624
11/1992;626
12/1992;626
01/1993;627
02/1993;636
03/1993;621
04/1993;617
05/1993;625
06/1993;625
07/1993;631
08/1993;638
09/1993;642
10/1993;665
11/1993;663
12/1993;670
01/1994;657
02/1994;672
03/1994;650
04/1994;669
05/1994;680
06/1994;676
07/1994;664
08/1994;703
09/1994;635
10/1994;625
11/1994;636
12/1994;709
01/1995;708
02/1995;709
03/1995;703
04/1995;705
05/1995;313
06/1995;713
07/1995;749
08/1995;763
09/1995;728
10/1995;754
11/1995;744
12/1995;692
01/1996;771
02/1996;781
03/1996;753
04/1996;772
05/1996;770
06/1996;758
07/1996;754
08/1996;747
09/1996;785
10/1996;799
11/1996;813
12/1996;860
01/1997;836
02/1997;826
03/1997;854
04/1997;847
05/1997;864
06/1997;856
07/1997;855
08/1997;836
09/1997;826
10/1997;736
11/1997;804
12/1997;917
01/1998;886
02/1998;918
03/1998;931
04/1998;921
05/1998;959
06/1998;956
07/1998;974
08/1998;990
09/1998;964
10/1998;991
11/1998;1,069
12/1998;1,138
01/1999;1,128
02/1999;1,085
03/1999;1,077
04/1999;1,090
05/1999;1,070
06/1999;1,060
07/1999;1,081
08/1999;1,095
09/1999;1,110
10/1999;1,097
11/1999;1,139
12/1999;1,185
01/2000;1,155
02/2000;1,121
03/2000;1,189
04/2000;1,161
05/2000;1,159
06/2000;1,209
07/2000;1,187
08/2000;1,192
09/2000;1,299
10/2000;1,314
11/2000;1,366
12/2000;1,419
01/2001;1,319
02/2001;1,341
03/2001;1,260
04/2001;1,269
05/2001;1,201
06/2001;1,294
07/2001;1,304
08/2001;1,286
09/2001;1,305
10/2001;1,178
11/2001;1,339
12/2001;1,423
01/2002;1,442
02/2002;1,435
03/2002;1,457
04/2002;1,469
05/2002;1,482
06/2002;1,503
07/2002;1,454
08/2002;1,504
09/2002;1,486
10/2002;1,478
11/2002;1,400
12/2002;1,342
01/2003;1,503
02/2003;1,544
03/2003;1,512
