Exp or Imp,Year & Month,Grand Total,FOODSTUFF,,RAW MATERIALS,,MINERAL FUELS,,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,, PLASTIC MATERIALS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, RUBBER MANUFACTURED,, PAPER & PAPER MANUFACTURES,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,, METALWORKING MACHINERY,, PUMP AND CENTRIFUGES,, CONSTRUCTION MACHINES,, MECHANICAL HANDLING EQUIP,, HEATING OR COOLING MACHINE,, TEXTILE MACHINES,, BALL OR ROLLER BEARINGS,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, (TV RECEIVER),, AUDIO APPARATUS,," PARTS OF AUDIO, VISUAL APP.",, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,, ELECTRICAL APPARATUS,, BATTERIES AND ACCUMULATORS,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, (CAR),, (BUS&TRUCK),, PARTS OF MOTOR VEHICLES,," MOTORCYCLES, AUTOCYCLES",, SHIPS,,OTHERS,," SCIENTIFIC, OPTICAL INST",, PHOTOGRAPHIC SUPPLIES,, BLANK/RECORDED MEDIA,
,,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value,TMT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,MNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value, NO  ,Value, NO  ,Value, MT  ,Value,TNO  ,Value, GT  ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value
1,2013,69774192950,0,435772712,0,1206274429,0,1532920215,0,7507352993,0,2520412113,0,359630923,5794731,2259311100,0,9176839838,43069,3793052438,1354165,1421054176,0,1138223445,0,657261760,0,881297100,0,1037832873,1366090,230707324,0,13359014905,0,2519640256,16325,360459230,0,1202250675,0,1137715736,0,1193116427,0,904290762,0,607987797,0,400667624,0,253333749,0,425768810,0,12051642495,0,3552558864,58379,2431377809,18446,676232887,13141,586767180,5305,89465707,139259,49010131,0,396243551,0,864235186,0,531405121,0,1313972632,0,1724087687,0,405673485,0,16332053388,5817513,10412512272,4981698,8931517271,754116,1338500765,2830853,3476190415,803,276947850,14390470,1451844024,0,8172321975,0,2222744408,0,439648930,409312,207143540
1,2014,73093028311,0,481525958,0,1193838926,0,1516915571,0,7817652010,0,2439581311,0,353006220,5877102,2412916594,0,9463740757,41701,3958410450,1332293,1454000225,0,1185730840,0,694819996,0,877506721,0,1022569592,1486636,252102364,0,14218412283,0,2539737537,19346,361136188,0,1193965439,0,1339339528,0,1252897972,0,989239856,0,668791689,0,419628080,0,252776146,0,474435526,0,12650038774,0,3690833445,57847,2491950507,14462,597158741,9056,491914471,5405,105244270,144694,52371706,0,339357675,0,965291473,0,620739645,0,1408929827,0,1835309565,0,430796004,0,16906974556,5737705,10919446722,4867637,9366991713,812043,1466426363,2739822,3475032168,865,316187759,12719224,1299452032,0,8843929476,0,2436347311,0,462501555,363581,212051250
1,2015,75613928862,0,598613176,0,1137014340,0,1244921877,0,7759363939,0,2116611616,0,462317846,6123480,2444068820,0,9219833522,41271,3668259429,1427101,1426248330,0,1220354263,0,731612762,0,892054206,0,983359535,1637278,277587484,0,14423861375,0,2591455811,15853,383576312,0,1206593466,0,1290742739,0,1260546117,0,953493794,0,664095820,0,410453298,0,217882136,0,480821935,0,13288661879,0,3914520659,55681,2644413941,12655,571496581,7801,450628482,4855,120868099,114349,52163386,0,365005826,0,941114889,0,722988688,0,1468400874,0,1854248846,0,459225014,0,18140730944,5841029,12046259161,4976879,10406200365,807973,1545736671,2602164,3483048601,811,294093450,12480942,1333590271,0,9800927810,0,2376204250,0,476573350,342039,233027196
1,(Ratio to PY),103.4,-,124.3,-,95.2,-,82.1,-,99.3,-,86.8,-,131.0,104.2,101.3,-,97.4,99.0,92.7,107.1,98.1,-,102.9,-,105.3,-,101.7,-,96.2,110.1,110.1,-,101.4,-,102.0,81.9,106.2,-,101.1,-,96.4,-,100.6,-,96.4,-,99.3,-,97.8,-,86.2,-,101.3,-,105.0,-,106.1,96.3,106.1,87.5,95.7,86.1,91.6,89.8,114.8,79.0,99.6,-,107.6,-,97.5,-,116.5,-,104.2,-,101.0,-,106.6,-,107.3,101.8,110.3,102.2,111.1,99.5,105.4,95.0,100.2,93.7,93.0,98.1,102.6,-,110.8,-,97.5,-,103.0,94.1,109.9
1,2012 (FY),63939981097,0,366337203,0,1111683256,0,1077832254,0,6577467888,0,1970158666,0,321620244,5700152,2056600952,0,8553547862,43417,3519344547,1388067,1318380109,0,1059929184,0,613575172,0,863313854,0,957774334,1157219,204567573,0,12598461601,0,2289719631,17164,336902471,0,1079550930,0,1281468792,0,1100480268,0,910340226,0,563955145,0,385197726,0,195193317,0,400644033,0,11315282993,0,3313870982,57267,2222887500,21841,779931534,17740,697970681,4101,81960853,121648,42707464,0,399317527,0,796764033,0,459994651,0,1241452021,0,1623920256,0,349731951,0,14966413100,5711908,9162999339,4903482,7714950233,723466,1295710417,2893911,3240453795,790,248312222,16735132,1688976324,0,7372954940,0,2106346331,0,389552387,541663,193723122
1,2013 (FY),70856464251,0,447676690,0,1172916309,0,1664847794,0,7689147611,0,2578549566,0,367940533,5831401,2313814926,0,9227115904,42094,3862626023,1274092,1386126422,0,1152645237,0,666335785,0,874087731,0,1030567458,1400029,236946725,0,13649827333,0,2531421185,16311,359612481,0,1202682938,0,1136320143,0,1213806351,0,914193948,0,626662166,0,400057831,0,275455063,0,442424268,0,12227422538,0,3581617360,58737,2441322778,18360,674471440,12747,579491102,5613,94980338,139124,50858330,0,393021606,0,900426650,0,549227090,0,1340840923,0,1744452710,0,413788815,0,16524617959,5798698,10617104244,4962403,9144829182,760338,1343457401,2820975,3489811737,823,293096345,13229515,1334707564,0,8252892113,0,2273717808,0,442860273,396846,212545329
1,2014 (FY),74667047830,0,514557679,0,1200882140,0,1439967612,0,7837955479,0,2331151462,0,368679734,5969096,2464085130,0,9617758192,41896,4004446841,1406029,1493224866,0,1205687918,0,709861505,0,893123224,0,1031059735,1535308,261423582,0,14511874017,0,2582188767,19469,373999793,0,1215646571,0,1418322323,0,1268235334,0,1025113205,0,676180132,0,419996124,0,226102656,0,485984218,0,12996128141,0,3816387192,58127,2577088311,14058,595891303,8593,488103635,5464,107787668,145954,52494152,0,340740752,0,974894820,0,642520641,0,1431665721,0,1884969026,0,455861510,0,17278137126,5784772,11190501189,4900706,9589458788,826698,1511949599,2722161,3504815844,864,316125667,13035596,1341163861,0,9269787444,0,2481605803,0,470293576,353851,215974043
1,(Ratio to PY(FY)),105.4,-,114.9,-,102.4,-,86.5,-,101.9,-,90.4,-,100.2,102.4,106.5,-,104.2,99.5,103.7,110.4,107.7,-,104.6,-,106.5,-,102.2,-,100.0,109.7,110.3,-,106.3,-,102.0,119.4,104.0,-,101.1,-,124.8,-,104.5,-,112.1,-,107.9,-,105.0,-,82.1,-,109.8,-,106.3,-,106.6,99.0,105.6,76.6,88.3,67.4,84.2,97.3,113.5,104.9,103.2,-,86.7,-,108.3,-,117.0,-,106.8,-,108.1,-,110.2,-,104.6,99.8,105.4,98.8,104.9,108.7,112.5,96.5,100.4,105.0,107.9,98.5,100.5,-,112.3,-,109.1,-,106.2,89.2,101.6
1,2014 Oct.-Dec.,19766636804,0,145297681,0,305781038,0,376305959,0,2070215080,0,638471073,0,90612211,1520582,641369029,0,2475779337,10584,1039525567,339817,362971743,0,311871894,0,193300392,0,227400957,0,268169343,385714,67306817,0,3818316750,0,693220119,5364,99921405,0,333678238,0,346669907,0,340467324,0,268097738,0,179501480,0,109188450,0,52913333,0,129836894,0,3506789773,0,1025118204,14596,698507120,3886,164838005,2262,135256262,1624,29581743,36331,14102928,0,87529466,0,268070808,0,190919613,0,376963119,0,508899814,0,120929865,0,4524998302,1502432,2981078628,1269240,2549055264,220110,409326228,704454,928719859,231,92952579,2601306,288645136,0,2543152884,0,675931620,0,122658038,88709,58618161
