2015=100
Exp or Imp,Year,Indexes Area,Commodity,,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Summary Indexes,,,,,,,,,,,,,,,,,
1,2009,WORLD,"Total",Value Index,71.64,55.19,56.01,66.39,66.57,63.79,72.91,76.85,71.57,81.08,84.24,79.16,85.88
1,2009,WORLD,"Total",Unit Index,79.85,81.42,80.6,80.8,80.45,80.76,80.16,80.22,78.44,80.23,77.32,79.82,78.74
1,2009,WORLD,"Total",Quantum Index,89.71,67.78,69.49,82.16,82.74,78.99,90.95,95.8,91.24,101.05,108.94,99.16,109.07
1,2009,WORLD,"*Raw Materials",Value Index,72.67,44.03,58.55,73.42,80.63,82.17,76.99,78.37,75.11,78.55,72.56,67.12,84.53
1,2009,WORLD,"*Raw Materials",Unit Index,70.79,70.98,64.81,63.02,65.23,66.09,72.28,69.02,72.04,78.94,77.94,73.35,75.35
1,2009,WORLD,"*Raw Materials",Quantum Index,102.65,62.03,90.33,116.49,123.6,124.33,106.52,113.55,104.26,99.5,93.09,91.51,112.17
1,2009,WORLD,"*Manufs",Value Index,71.65,55.68,55.9,66.45,66.1,63.53,72.62,76.68,71,80.7,84.62,79.83,86.69
1,2009,WORLD,"*Manufs",Unit Index,79.86,81.62,80.96,81.17,80.66,80.9,80.09,80.15,78.32,80.01,77.14,79.77,78.57
1,2009,WORLD,"*Manufs",Quantum Index,89.72,68.22,69.05,81.87,81.95,78.52,90.67,95.66,90.65,100.85,109.7,100.07,110.33
1,2009,WORLD,"Food-stuff",Value Index,61.09,45.2,49.17,56.86,60.9,56.55,60.06,65.08,54.44,58.64,74.11,68.25,83.76
1,2009,WORLD,"Food-stuff",Unit Index,82.21,81.29,79.59,79.91,86.43,82.44,79.41,84.95,82.35,82.37,81.51,82.02,83.59
1,2009,WORLD,"Food-stuff",Quantum Index,74.3,55.61,61.78,71.16,70.46,68.59,75.63,76.61,66.11,71.19,90.92,83.21,100.2
