Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,MNO  ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value
2,2009 Jan.-Mar.,12093690597,0,1196963250,489135,268966234,41305,34356051,520217,223660372,6221501,191954299,574035,80120959,632988,75290110,0,797776147,0,83424842,2810,211425378,22629,215902092,837595,39060428,0,3340808036,55798,1434423163,0,199230486,4757,120716351,16936,897019528,3366,142979459,41143,663768301,24164,301302953,0,1070604705,0,290621065,20034519,307751310,0,1042416697,973467,147610910,559991,229087043,0,186270928,0,134485598,0,112468538,0,122016641,0,1061093589,0,158207659,25043,337103627,0,115506050,0,1380856528,0,334961850,2237,289222555,0,215601222,4806,54517838,0,90884701,0,223183956,0,89101479,0,359970554,37925,102090478,0,72822217,0,116204357,0,1843201091,0,257104585,0,587802478,0,117203302,0,109101946
2,2009 Apr.-Jun.,11991698309,0,1327824877,575682,326805589,46343,40634982,553843,231698131,6921031,193655235,624777,87854164,797410,111063955,0,789664331,0,70678423,2767,247805332,20709,177723978,968348,46285600,0,3021992234,48988,1580806671,0,245599726,5933,188103920,14724,568187025,2919,128663281,33645,495868064,18350,194345628,0,1087481751,0,285820305,21652303,312558359,0,996673321,819890,98115972,421490,215622452,0,177103703,0,140885129,0,119410562,0,128162423,0,1081920958,0,193105768,26963,323178872,0,111315245,0,1540997443,0,440424933,3017,384265962,0,248315897,4956,53081684,0,89599925,0,245249433,0,73622614,0,319798971,32219,92751875,0,79392850,0,89706301,0,1825344423,0,281610270,0,523538536,0,109364236,0,94166937
2,2009 Jul.-Sep.,13413675079,0,1225662275,520160,297143172,55895,47493444,526567,219420466,6183013,173727590,562799,82642754,696966,90105377,0,897768269,0,63551197,3220,304555500,29010,200381484,820851,42293193,0,3833379181,53439,2229486062,0,350585837,7128,280707155,16428,632316911,2836,141608884,43035,474149997,24665,229783686,0,1197790380,0,339265614,21334775,329437058,0,1097273365,1048195,106359985,612467,266889256,0,180330275,0,159623328,0,123305558,0,137230883,0,1012084414,0,159219583,26186,304593893,0,121871936,0,1733589489,0,504075146,3766,433771649,0,302575289,6382,76434298,0,97931317,0,262287247,0,85492808,0,364209047,37576,115618723,0,102988435,0,92577846,0,2051918659,0,283144450,0,680020521,0,114032085,0,99311568
2,2009 Oct.-Dec.,14000313794,0,1248944064,584273,314755670,59103,49522795,549775,219077867,6688540,175336433,596119,84002611,575079,74270475,0,909898157,0,64806665,3203,287669365,33123,216956618,763286,35675312,0,4005422101,54774,2319052486,0,349716896,7140,291326387,16464,729724164,3127,178316452,43988,423122180,24616,205764265,0,1226753068,0,314526775,21274856,378853990,0,1208189091,1551863,145030673,730247,301085209,0,181726590,0,189460375,0,134115861,0,132245183,0,1069694167,0,161658486,29694,342359893,0,134829451,0,1853287497,0,478757104,3638,402553505,0,361473499,7507,85182920,0,101675643,0,275877633,0,97555433,0,456683349,50883,144487212,0,114391065,0,149193739,0,2021442300,0,293842628,0,566985167,0,121339723,0,99078268
2,(Ratio to ST),79.1,-,81.4,100.2,85.2,103.2,89.6,90.7,76.5,104.1,65.3,100.7,93.2,93.1,81.6,-,70.5,-,63.3,90.3,86.3,94.2,56.0,99.2,75.3,-,70.6,91.7,81.2,-,77.6,113.3,92.4,97.1,58.9,86.6,69.0,96.2,49.9,108.2,63.7,-,89.3,-,89.6,101.4,129.6,-,73.3,78.8,45.5,88.0,65.2,-,79.3,-,105.1,-,87.1,-,76.9,-,78.4,-,80.2,94.4,80.7,-,93.9,-,94.3,-,96.1,101.9,95.7,-,106.5,117.5,104.1,-,71.3,-,107.1,-,88.5,-,101.3,84.6,83.5,-,79.4,-,217.5,-,84.3,-,87.9,-,83.1,-,86.5,-,86.2
2,2008 Dec.,5152709872,0,490069673,214271,128146676,18782,17772001,197300,90291987,2085660,76601270,219908,30701214,205256,27286677,0,363752854,0,31566610,1149,83046888,10968,117473796,209350,11815727,0,1555233448,22154,718501499,0,101511318,1939,58982445,6206,404897472,1150,58399281,15614,268629347,7937,105925885,0,414536763,0,108545575,7013672,95084989,0,461897316,564193,92018454,241828,113350331,0,70776011,0,54716305,0,41179102,0,50099748,0,413808966,0,58361936,10398,142723968,0,41686164,0,581445122,0,136596764,982,114226527,0,98579844,2043,23227008,0,44639015,0,87959199,0,33150333,0,146204272,20253,60083090,0,38205792,0,28766596,0,725761458,0,102076064,0,198273934,0,41949853,0,38545467
2,2009 Jan.,4445761560,0,413591817,194756,101412058,15029,12203179,188491,81245187,1759210,56064296,199838,28620586,208579,25556924,0,322024046,0,33561822,1301,88715106,9219,88512833,303589,14189989,0,1187205391,18694,460274584,0,62527640,1502,32941288,5896,351567876,1216,47105607,16129,263573797,8969,113602745,0,408399126,0,116563003,7054122,100297802,0,433917969,411998,65258058,273785,102067623,0,75823737,0,54871264,0,44806072,0,49089126,0,382152181,0,49636019,9416,114875299,0,41054011,0,491228713,0,112327019,804,94688792,0,76476445,1875,19171447,0,39377407,0,72531818,0,31321385,0,119943808,14994,44061923,0,32933385,0,17657871,0,687298509,0,82678746,0,234043829,0,44634643,0,42663181
2,2009 Feb.,3458727747,0,354649520,131673,79025651,11864,9882739,163058,68746648,2118354,59713847,157306,21742350,197542,22438016,0,234237543,0,24827692,791,55189931,7554,67571094,272736,11686902,0,1050005284,18946,485730467,0,61677560,1369,33263183,5250,266648432,973,38659370,12649,196936628,7617,91920655,0,310745297,0,82184484,5533539,96165085,0,270113971,276991,41344275,150027,58955206,0,46161741,0,32286604,0,27635707,0,32623056,0,292670834,0,49887390,6313,90805473,0,33309395,0,392618948,0,100930296,684,88903932,0,57658615,1180,15344204,0,21507597,0,67535177,0,26477197,0,96071904,5668,14061134,0,18378716,0,47236047,0,457614446,0,78722823,0,123250293,0,27834892,0,27347666
2,2009 Mar.,4189201290,0,428721913,162706,88528525,14412,12270133,168668,73668537,2343937,76176156,216891,29758023,226868,27295170,0,241514558,0,25035328,718,67520341,5856,59818165,261270,13183537,0,1103597361,18158,488418112,0,75025286,1886,54511880,5789,278803220,1177,57214482,12365,203257876,7579,95779553,0,351460282,0,91873578,7446858,111288423,0,338384757,284478,41008577,136179,68064214,0,64285450,0,47327730,0,40026759,0,40304459,0,386270574,0,58684250,9314,131422855,0,41142644,0,497008867,0,121704535,749,105629831,0,81466162,1751,20002187,0,29999697,0,83116961,0,31302897,0,143954842,17263,43967421,0,21510116,0,51310439,0,698288136,0,95703016,0,230508356,0,44733767,0,39091099
2,2009 Apr.,4145719899,0,448840526,199103,117550183,16189,14367923,183500,78735502,2311054,63212154,229777,32443705,274439,35669013,0,267212040,0,25864129,1003,80496900,6447,62308083,294101,14119195,0,1105241218,18919,557591392,0,83128931,2065,62028712,5327,222256355,965,44764703,11205,196511154,5891,70832818,0,372726053,0,93715705,7566871,102784344,0,342671243,288858,36968439,134439,70315737,0,60945187,0,50956840,0,39146090,0,45002678,0,353376811,0,39296783,9091,122662778,0,39636032,0,467486623,0,123811055,871,107902202,0,74549782,1756,18364982,0,29733254,0,74524265,0,22645046,0,100277372,10239,26459349,0,20172520,0,31822898,0,687888013,0,95741411,0,223170247,0,41938593,0,36157667
2,2009 May.,3738560178,0,429883911,191460,106781013,13934,12022565,174258,73201902,2351163,64849861,192056,27993450,246090,36275382,0,268465686,0,24428224,957,86373012,6986,61763446,329682,15181925,0,915365397,15051,483939378,0,76534489,1919,59656281,4233,159360585,811,35128450,10746,159975066,5756,59430728,0,326802514,0,90089270,6417881,101622496,0,312675388,269708,31575067,117724,65412762,0,55263984,0,42855767,0,37886113,0,42466630,0,357154704,0,88525042,8006,91081596,0,34640151,0,493704340,0,145647007,963,128363838,0,80879806,1420,15267011,0,27195171,0,79728957,0,23256917,0,92797634,10283,30925778,0,26742064,0,18355671,0,541710604,0,84984725,0,143853091,0,33183524,0,28060957
2,2009 Jun.,4107418232,0,449100440,185119,102474393,16220,14244494,196085,79760727,2258814,65593220,202945,27417009,276881,39119560,0,253986605,0,20386070,807,80935420,7275,53652449,344565,16984480,0,1001385619,15019,539275901,0,85936306,1949,66418927,5164,186570085,1143,48770128,11694,139381844,6703,64082082,0,387953184,0,102015330,7667551,108151519,0,341326690,261324,29572466,169327,79893953,0,60894532,0,47072522,0,42378359,0,40693115,0,371389443,0,65283943,9866,109434498,0,37039062,0,579806480,0,170966871,1182,147999922,0,92886309,1780,19449691,0,32671500,0,90996211,0,27720651,0,126723965,11697,35366748,0,32478266,0,39527732,0,595745806,0,100884134,0,156515198,0,34242119,0,29948313
2,2009 Jul.,4477332505,0,452904836,191932,108767151,19273,16738593,197843,82819021,2261025,65600952,203366,28924683,266458,35043642,0,295241152,0,22512653,1115,101798060,8499,60660152,241364,12832420,0,1269701305,17705,740320249,0,119116440,2454,93350922,5384,199677411,847,39012635,14650,170004755,8550,79831836,0,397737483,0,120773732,7428361,100526619,0,365485386,345284,35310261,200691,83211087,0,62105496,0,50950138,0,41371922,0,49076141,0,349076892,0,50507019,9186,106512957,0,39128873,0,584244151,0,168022716,1251,144120907,0,102310742,2001,23914797,0,31984511,0,92646488,0,28259414,0,103970179,9547,27988832,0,33824255,0,23642880,0,658971121,0,93184854,0,195230554,0,36794131,0,35862552
2,2009 Aug.,4344586189,0,392773232,167479,97378052,18393,15918943,163303,69184798,1952913,55060903,179695,26856138,212634,27562395,0,312323144,0,20628237,1159,118316700,9695,67098618,322455,16098073,0,1252268156,17827,724070339,0,116173419,2271,90101570,5367,205646554,941,48088751,14478,157142054,8745,82587760,0,400334435,0,101749260,6414535,120556839,0,341445159,344148,35267063,197317,83750857,0,58218916,0,48310615,0,37104002,0,40810165,0,315448572,0,50345233,8419,93080811,0,40427726,0,552538775,0,165664019,1249,142279031,0,91873669,1925,20886238,0,31952442,0,83652697,0,28103366,0,114520470,14400,46583454,0,31540738,0,19611921,0,662934246,0,95099765,0,224058228,0,35720826,0,32795051
2,2009 Sep.,4591756385,0,379984207,160749,90997969,18229,14835908,165421,67416647,1969075,53065735,179737,26861933,217874,27499340,0,290203973,0,20410307,946,84440740,10816,72622714,257032,13362700,0,1311409720,17907,765095474,0,115295978,2404,97254663,5677,226992946,1049,54507498,13907,147003188,7371,67364090,0,399718462,0,116742622,7491879,108353600,0,390342820,358763,35782661,214459,99927312,0,60005863,0,60362575,0,44829634,0,47344577,0,347558950,0,58367331,8581,105000125,0,42315337,0,596806563,0,170388411,1266,147371711,0,108390878,2456,31633263,0,33994364,0,85988062,0,29130028,0,145718398,13629,41046437,0,37623442,0,49323045,0,730013292,0,94859831,0,260731739,0,41517128,0,30653965
2,2009 Oct.,4508259352,0,427695588,184050,99912479,20184,16537775,188299,74674113,2435721,64474776,184260,27903457,198694,27501304,0,299643414,0,22858267,971,88059503,11155,70136837,284821,14216290,0,1155892536,16214,644072403,0,112646633,2539,100447821,4770,204092323,968,51729944,14398,141495936,8265,71949755,0,418322472,0,97687489,6618271,137710916,0,402383539,517066,46387678,245375,100461466,0,59728359,0,66385628,0,45969408,0,41953824,0,342827382,0,45286199,9175,115991440,0,43004343,0,598139700,0,164952470,1231,140380617,0,107833370,2168,24632330,0,31436088,0,87936970,0,31659845,0,166282320,13189,35962609,0,38042370,0,75513006,0,697072401,0,97069825,0,215172349,0,40894844,0,30704405
2,2009 Nov.,4622905877,0,397884285,184731,102937380,20071,17108582,168624,68298858,2091558,53531227,186968,26734510,183928,23709933,0,290867495,0,21904347,1007,85808623,11197,76134294,192330,9002567,0,1297350603,17801,758457701,0,96476032,2066,83014543,5180,227740122,1146,65395655,14938,147199433,8185,69688248,0,407592456,0,116432540,7224026,111284832,0,422875720,581395,54352570,230983,101850513,0,64746748,0,66011223,0,45993959,0,46310972,0,360422777,0,61535234,10608,107939606,0,46202471,0,649809996,0,166506727,1241,139422717,0,126969049,2619,29153033,0,38082142,0,95702687,0,32214764,0,132574636,19203,56523644,0,41085093,0,20435347,0,663527909,0,99540298,0,176973699,0,40750224,0,34049927
2,2009 Dec.,4869148565,0,423364191,215492,111905811,18849,15876438,192852,76104896,2161261,57330430,224891,29364644,192457,23059238,0,319387248,0,20044051,1225,113801239,10771,70685487,286135,12456455,0,1552178962,20759,916522382,0,140594231,2536,107864023,6513,297891719,1013,61190853,14652,134426811,8167,64126262,0,400838140,0,100406746,7432559,129858242,0,382929832,453402,44290425,253889,98773230,0,57251483,0,57063524,0,42152494,0,43980387,0,366444008,0,54837053,9912,118428847,0,45622637,0,605337801,0,147297907,1165,122750171,0,126671080,2721,31397557,0,32157413,0,92237976,0,33680824,0,157826393,18491,52000959,0,35263602,0,53245386,0,660841990,0,97232505,0,174839119,0,39694655,0,34323936
2,(Ratio to SM),94.5,-,86.4,100.6,87.3,100.4,89.3,97.7,84.3,103.6,74.8,102.3,95.6,93.8,84.5,-,87.8,-,63.5,106.6,137.0,98.2,60.2,136.7,105.4,-,99.8,93.7,127.6,-,138.5,130.8,182.9,105.0,73.6,88.1,104.8,93.8,50.0,102.9,60.5,-,96.7,-,92.5,106.0,136.6,-,82.9,80.4,48.1,105.0,87.1,-,80.9,-,104.3,-,102.4,-,87.8,-,88.6,-,94.0,95.3,83.0,-,109.4,-,104.1,-,107.8,118.6,107.5,-,128.5,133.2,135.2,-,72.0,-,104.9,-,101.6,-,107.9,91.3,86.5,-,92.3,-,185.1,-,91.1,-,95.3,-,88.2,-,94.6,-,89.0
