Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, INSULATED WIRE AND CABLE,, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, (TELEPHONE SETS),, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,TNO  ,Value, MT  ,Value,     ,Value,     ,Value,MNO  ,Value, MT  ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value
2,2015,78405535793,0,7002103079,2130814,1575287076,157368,207051224,2585254,1380786800,24009659,871060809,2727331,546739800,2405788,534245431,0,4853074995,0,395731041,12304,1380933086,130955,1124317166,3242619,206220864,0,18218145636,195499,8184754689,0,1821589137,30239,1346491033,85044,5514120576,10986,650655255,190645,1974299625,113841,1095659284,0,7747872741,0,1649859656,95377189,2924115850,0,7039003837,7681849,843638656,3085909,1682679747,0,1280547781,0,977520840,0,766609581,0,800490914,0,7068460484,,1133952929,84544,1972705397,,498152672,0,12014478632,0,2996219878,20544,2038879007,,,0,1220806572,24057,278063380,0,646100443,0,2932768944,,,0,711977971,0,3126260712,339547,1139760882,0,877038367,0,740346264,0,11336135677,0,1680791829,0,3415378073,,777522249,0,589895389
2,2016,66041973885,0,6362881719,2086980,1480018842,167374,198719943,2702123,1290124113,24422113,713543616,2778998,503199483,2450828,493687720,0,4012118680,0,367281761,11678,1183202146,130018,801385838,3131329,166041815,0,12052006637,194610,5531893663,0,1074397583,26296,824693959,83340,3281622171,10900,447490756,189732,1665165947,109792,880068162,0,7110823082,0,1505164925,99608362,2780237767,0,6067798383,7774841,706191245,3078308,1344036009,0,1125790485,0,874728102,0,683980110,0,717682504,0,6357392678,,1161100477,83430,1723671934,,454690954,0,10791942078,0,2514630221,18805,1834269879,,,0,1088975561,25016,246323318,0,568256278,0,2722392346,,,0,651697725,0,3094044741,351384,1178053412,0,832938080,0,728327140,0,10192965887,0,1556253182,0,2997806809,,708907483,0,557367364
2,2017,75379231107,0,7017645622,2161966,1649365884,,,2946970,1481338285,24592001,750079838,2913555,540167077,2487815,513961055,0,4725023181,0,385075376,11137,1380408474,126526,1082014961,3218427,173527201,0,15839991985,186731,7154940901,0,1544242323,29450,1150142161,83632,3917267800,10774,604922465,192839,2570263351,114396,1274136013,0,7566588566,0,1708478084,101149751,2644918690,0,6848806052,8088738,919920148,3491195,1735920943,0,1179530598,0,925237447,0,698448648,0,744133208,0,7213922650,,1260625719,86420,1965847573,,501603068,0,12048127414,0,2796571357,22470,2172265696,,,0,1212382659,,,0,632939151,0,3109147094,,,0,724528429,0,3170106106,359889,1306976014,0,932763274,0,565653325,0,10949019531,0,1721775125,0,3109182960,,755283561,0,589547389
2,(Ratio to PY),114.1,-,110.3,103.6,111.4,,,109.1,114.8,100.7,105.1,104.8,107.3,101.5,104.1,-,117.8,-,104.8,95.4,116.7,97.3,135,102.8,104.5,-,131.4,96,129.3,-,143.7,112,139.5,100.4,119.4,98.8,135.2,101.6,154.4,104.2,144.8,-,106.4,-,113.5,101.5,95.1,-,112.9,104,130.3,113.4,129.2,-,104.8,-,105.8,-,102.1,-,103.7,-,113.5,,108.6,103.6,114,,110.3,-,111.6,-,111.2,119.5,118.4,,,-,111.3,,,-,111.4,-,114.2,,,-,111.2,-,102.5,102.4,110.9,-,112,-,77.7,-,107.4,-,110.6,-,103.7,,106.5,-,105.8
2,2014 (FY),83794784329,0,6856615801,2110144,1541112521,158007,217128518,2606547,1373055177,24547008,900476473,2739978,508285716,2433024,487840260,0,5531502795,0,413015094,12458,1559534437,136784,1584851664,2967633,202365982,0,25098826232,193548,11860470123,0,2416097513,28504,1767470044,89071,7754668183,11673,940574004,187692,2040355526,110238,1115017945,0,6982770071,0,1572386008,96676868,2278260180,0,7087353381,8372514,954648026,3459141,1753921908,0,1222665185,0,948066107,0,743234844,0,788686097,0,6785934820,,1020435921,92772,2025936226,,481809205,0,11608300688,0,2911042685,19121,1811017946,,,0,1216669444,23324,284026974,0,644448823,0,2861614284,,,0,659146374,0,3025798501,342825,1129050089,0,831986536,0,712433929,0,10817682040,0,1589894006,0,3324505982,,746074937,0,556160992
2,2015 (FY),75220367985,0,6894751562,2135738,1569601528,162077,208161523,2643035,1370411301,24232388,835418921,2696572,541079419,2443459,539116053,0,4566599331,0,393998365,12307,1303128652,129476,992201037,3155714,191429711,0,16060736051,198993,7367855652,0,1643517715,30433,1261979444,83571,4544781695,10913,577912057,191550,1864465413,112022,1018977572,0,7782581637,0,1629985741,96174509,3052529713,0,6820109189,7727632,805473053,2974485,1562580259,0,1251556729,0,965142205,0,764475217,0,796375743,0,6971408877,,1152093766,83679,1931185082,,489271598,0,11798467846,0,2880923942,20220,2025234452,,,0,1192271290,24208,267986050,0,630102491,0,2911108409,,,0,707186788,0,3090620155,336926,1127764532,0,869348883,0,726334671,0,11235093337,0,1663091817,0,3382289895,,773952930,0,593671235
2,2016 (FY),67548804311,0,6410759896,2081241,1486685188,167350,200984745,2736353,1315834453,23984379,698679484,2854174,509395367,2435250,486993511,0,4073175721,0,363065130,11596,1217795131,128425,819039772,3169269,170044904,0,13138542628,190060,6181352085,0,1182007896,26337,881187849,84749,3336013815,10565,472635342,189415,1914600273,111177,975234884,0,7130939742,0,1562191192,100039290,2702102774,0,6151975332,7835384,740684456,3237211,1426722174,0,1116646449,0,872651589,0,673313192,0,705405503,0,6421563687,,1159561215,84034,1746475759,,460470558,0,10920847403,0,2524853294,19837,1863483355,,,0,1112063729,26299,256172773,0,575466791,0,2780848701,,,0,652516603,0,3087872782,348526,1185275348,0,840253306,0,704624537,0,10213127120,0,1568368866,0,2977354505,,704788553,0,558679949
2,(Ratio to PY(FY)),89.8,-,93,97.4,94.7,103.3,96.6,103.5,96,99,83.6,105.8,94.1,99.7,90.3,-,89.2,-,92.1,94.2,93.5,99.2,82.5,100.4,88.8,-,81.8,95.5,83.9,-,71.9,86.5,69.8,101.4,73.4,96.8,81.8,98.9,102.7,99.2,95.7,-,91.6,-,95.8,104,88.5,-,90.2,101.4,92,108.8,91.3,-,89.2,-,90.4,-,88.1,-,88.6,-,92.1,,100.6,100.4,90.4,,94.1,-,92.6,-,87.6,98.1,92,,,-,93.3,108.6,95.6,-,91.3,-,95.5,,,-,92.3,-,99.9,103.4,105.1,-,96.7,-,97,-,90.9,-,94.3,-,88,,91.1,-,94.1
2,2016 Oct.-Dec.,17241991939,0,1675118608,592118,423721281,51966,64428151,694831,336455303,6036753,170478759,723810,130920030,564586,113019950,0,1016441477,0,87210910,2898,302257966,31396,211329215,740204,38698366,0,3317087078,47011,1494604065,0,294713216,6707,217589110,21375,867060650,2831,119569835,49853,523676743,29688,266402177,0,1814437618,0,366673685,25231864,712670964,0,1538890408,2065018,188337375,811529,359548813,0,274079954,0,221592864,0,168446094,0,174549057,0,1597723209,,307584839,21690,458127552,,115065179,0,2932572891,0,637153721,4821,465925741,,,0,310266937,7221,73743749,0,145965074,0,819660962,,,0,169576130,0,854583573,89878,312582218,0,226808290,0,216660708,0,2495137077,0,385566131,0,700629106,,177897550,0,141227916
