Exp or Imp,Year & Month,Grand Total,FOODSTUFF,,RAW MATERIALS,,MINERAL FUELS,,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,, PLASTIC MATERIALS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, RUBBER MANUFACTURED,, PAPER & PAPER MANUFACTURES,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,, METALWORKING MACHINERY,, PUMP AND CENTRIFUGES,, CONSTRUCTION MACHINES,, MECHANICAL HANDLING EQUIP,, HEATING OR COOLING MACHINE,, TEXTILE MACHINES,, BALL OR ROLLER BEARINGS,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, (TV RECEIVER),, AUDIO APPARATUS,," PARTS OF AUDIO, VISUAL APP.",, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,, ELECTRICAL APPARATUS,, BATTERIES AND ACCUMULATORS,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, (CAR),, (BUS&TRUCK),, PARTS OF MOTOR VEHICLES,," MOTORCYCLES, AUTOCYCLES",, SHIPS,,OTHERS,," SCIENTIFIC, OPTICAL INST",, PHOTOGRAPHIC SUPPLIES,, BLANK/RECORDED MEDIA,
,,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value,TMT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,MNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value, NO  ,Value, NO  ,Value, MT  ,Value,TNO  ,Value, GT  ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value
1,2011,65546474948,0,359055859,0,971581774,0,1247066026,0,6798023258,0,1907991005,0,358987405,6280636,2187820812,0,8786145775,40852,3709150672,1267769,1294607937,0,993383954,0,630512226,0,920656825,0,966664594,1330924,254316691,0,13803298135,0,2316523730,15029,377196194,0,1126202442,0,1199910217,0,1199795304,0,1001324593,0,658738879,0,438334823,0,245033487,0,453820325,0,11600075378,0,3564780065,57252,2320559978,32161,777597687,27155,689725133,5006,87872554,154680,37872163,0,433116619,0,762880445,0,518343354,0,1205477111,0,1680083577,0,313747702,0,14033416277,5362242,8204173185,4650676,6940332843,649319,1166308894,2814618,2997168362,840,265958670,19030402,2046345950,0,7947812466,0,2108861663,0,394933169,909594,226707929
1,2012,63747572215,0,355401445,0,1059693116,0,1025553562,0,6364577386,0,1818292875,0,320393108,5775450,2042907882,0,8442118754,42110,3495549951,1365621,1261540266,0,1048343270,0,614603384,0,856144470,0,950380046,1094570,198934066,0,12842847786,0,2261207743,17143,338157717,0,1051746641,0,1331609291,0,1094319099,0,977800654,0,577493873,0,381473710,0,189802629,0,406386749,0,11405136972,0,3339409612,57720,2229268883,25184,844971882,20973,759349796,4211,85622086,121025,43087846,0,411843634,0,799457166,0,471404074,0,1240481022,0,1624742792,0,342314534,0,14994563853,5843807,9224988145,5042971,7764773984,719497,1315551825,2947301,3205057022,818,249290556,16992701,1716019205,0,7257679341,0,2084459724,0,382364475,608033,202051842
1,2013,69774192950,0,435772712,0,1206274429,0,1532920215,0,7507352993,0,2520412113,0,359630923,5794731,2259311100,0,9176839838,43069,3793052438,1354165,1421054176,0,1138223445,0,657261760,0,881297100,0,1037832873,1366090,230707324,0,13359014905,0,2519640256,16325,360459230,0,1202250675,0,1137715736,0,1193116427,0,904290762,0,607987797,0,400667624,0,253333749,0,425768810,0,12051642495,0,3552558864,58379,2431377809,18446,676232887,13141,586767180,5305,89465707,139259,49010131,0,396243551,0,864235186,0,531405121,0,1313972632,0,1724087687,0,405673485,0,16332053388,5817513,10412512272,4981698,8931517271,754116,1338500765,2830853,3476190415,803,276947850,14390470,1451844024,0,8172321975,0,2222744408,0,439648930,409312,207143540
1,(Ratio to PY),109.5,-,122.6,-,113.8,-,149.5,-,118.0,-,138.6,-,112.2,100.3,110.6,-,108.7,102.3,108.5,99.2,112.6,-,108.6,-,106.9,-,102.9,-,109.2,124.8,116.0,-,104.0,-,111.4,95.2,106.6,-,114.3,-,85.4,-,109.0,-,92.5,-,105.3,-,105.0,-,133.5,-,104.8,-,105.7,-,106.4,101.1,109.1,73.2,80.0,62.7,77.3,126.0,104.5,115.1,113.7,-,96.2,-,108.1,-,112.7,-,105.9,-,106.1,-,118.5,-,108.9,99.6,112.9,98.8,115.0,104.8,101.7,96.0,108.5,98.2,111.1,84.7,84.6,-,112.6,-,106.6,-,115.0,67.3,102.5
1,2010 (FY),67788837683,0,406941012,0,952970205,0,1180723322,0,7025015592,0,1912567171,0,379192745,6854310,2342329602,0,8922111772,43228,3791914680,1396274,1325328390,0,997753714,0,615771186,0,949571458,0,926611825,1821482,297411068,0,13781396318,0,2360305495,14520,428536598,0,1242874929,0,995498806,0,1178353978,0,936851257,0,633897948,0,442756565,0,241686039,0,426375491,0,12544055602,0,4069848648,62543,2674839057,36482,906166131,31774,806859354,4708,99306777,172140,45839751,0,529400627,0,764477544,0,595924933,0,1159963862,0,1758359251,0,330836495,0,15022594742,5735582,9035906988,4995393,7781600737,672746,1160006989,2899486,3086380402,829,268124530,18952815,2147099982,0,7953029118,0,2034534328,0,408833246,1072379,267434751
1,2011 (FY),65288486576,0,341660375,0,979487693,0,1154695550,0,6555701652,0,1840996684,0,346150259,6027176,2109243000,0,8668084542,39608,3623702975,1304654,1287099436,0,1002195096,0,632556490,0,896302456,0,978458495,1147151,230911449,0,13760020894,0,2326133005,16027,376971862,0,1102153361,0,1264164509,0,1182050284,0,1041322283,0,642090173,0,435003700,0,229578630,0,443220934,0,11546289481,0,3472186033,56065,2276109326,31956,802710825,26948,713051063,5008,89659762,143788,39473994,0,421723364,0,776465543,0,517108825,0,1221618723,0,1665272515,0,320300942,0,14385799992,5547212,8547919407,4807177,7187142358,676235,1259660040,2857917,3049490542,861,267993518,18932126,1992037933,0,7896746397,0,2112537728,0,392783173,864053,228035333
1,2012 (FY),63939981097,0,366337203,0,1111683256,0,1077832254,0,6577467888,0,1970158666,0,321620244,5700152,2056600952,0,8553547862,43417,3519344547,1388067,1318380109,0,1059929184,0,613575172,0,863313854,0,957774334,1157219,204567573,0,12598461601,0,2289719631,17164,336902471,0,1079550930,0,1281468792,0,1100480268,0,910340226,0,563955145,0,385197726,0,195193317,0,400644033,0,11315282993,0,3313870982,57267,2222887500,21841,779931534,17740,697970681,4101,81960853,121648,42707464,0,399317527,0,796764033,0,459994651,0,1241452021,0,1623920256,0,349731951,0,14966413100,5711908,9162999339,4903482,7714950233,723466,1295710417,2893911,3240453795,790,248312222,16735132,1688976324,0,7372954940,0,2106346331,0,389552387,541663,193723122
1,(Ratio to PY(FY)),97.9,-,107.2,-,113.5,-,93.3,-,100.3,-,107.0,-,92.9,94.6,97.5,-,98.7,109.6,97.1,106.4,102.4,-,105.8,-,97.0,-,96.3,-,97.9,100.9,88.6,-,91.6,-,98.4,107.1,89.4,-,97.9,-,101.4,-,93.1,-,87.4,-,87.8,-,88.6,-,85.0,-,90.4,-,98.0,-,95.4,102.1,97.7,68.3,97.2,65.8,97.9,81.9,91.4,84.6,108.2,-,94.7,-,102.6,-,89.0,-,101.6,-,97.5,-,109.2,-,104.0,103.0,107.2,102.0,107.3,107.0,102.9,101.3,106.3,91.7,92.7,88.4,84.8,-,93.4,-,99.7,-,99.2,62.7,85.0
1,2012 Oct.-Dec.,15429737596,0,100533911,0,278709870,0,228623829,0,1614678312,0,478526508,0,77939858,1384610,508088210,0,2026406784,10687,816980975,324212,304470914,0,259910104,0,159924043,0,208447834,0,222902176,276243,49325967,0,2990412374,0,553717731,4589,83688001,0,266102269,0,324801542,0,278287507,0,186348380,0,136082817,0,87224805,0,48552459,0,95517543,0,2811753971,0,846640240,14481,579197100,5499,179688293,4158,158960695,1340,20727598,35421,11535100,0,94384991,0,193905170,0,114293188,0,289936842,0,415181451,0,90410372,0,3489837746,1426463,2227152031,1216980,1872757707,183446,305684367,702971,779894602,193,66692753,2707430,259318570,0,1888780799,0,538724438,0,95579064,138634,47852114
