Exp or Imp,Year & Month,Grand Total,FOODSTUFF,,RAW MATERIALS,,MINERAL FUELS,,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,, PLASTIC MATERIALS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, RUBBER MANUFACTURED,, PAPER & PAPER MANUFACTURES,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,, METALWORKING MACHINERY,, PUMP AND CENTRIFUGES,, CONSTRUCTION MACHINES,, MECHANICAL HANDLING EQUIP,, HEATING OR COOLING MACHINE,, TEXTILE MACHINES,, BALL OR ROLLER BEARINGS,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, (TV RECEIVER),, AUDIO APPARATUS,," PARTS OF AUDIO, VISUAL APP.",, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,, ELECTRICAL APPARATUS,, BATTERIES AND ACCUMULATORS,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, (CAR),, (BUS&TRUCK),, PARTS OF MOTOR VEHICLES,," MOTORCYCLES, AUTOCYCLES",, SHIPS,,OTHERS,," SCIENTIFIC, OPTICAL INST",, PHOTOGRAPHIC SUPPLIES,, BLANK/RECORDED MEDIA,
,,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value,TMT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,MNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value, NO  ,Value, NO  ,Value, MT  ,Value,TNO  ,Value, GT  ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value
1,2009,54170614088,0,365548343,0,826298648,0,948399619,0,5779927585,0,1701512334,0,384448598,6324531,1844108127,0,7016622504,34154,2905717800,1469735,1035324837,0,783827269,0,563477841,0,721193805,0,752153099,1370954,237320451,0,9668526076,0,1839313131,13970,434936359,0,1191560088,0,561067911,0,929699040,0,517611942,0,469731802,0,428399873,0,116714271,0,268205258,0,10771095378,0,3419317405,45911,2269344671,37767,943851613,33211,854235144,4556,89616469,170692,43351856,0,548333321,0,721521564,0,686446653,0,806299812,0,1321136771,0,328404456,0,11850156296,4385357,6693277456,3784606,5797091327,555490,832262323,2142383,2308922587,831,296352648,17948231,2017933372,0,6944039639,0,1577691118,0,363034734,1261616,312233515
1,2010,67399626696,0,406115426,0,946147441,0,1104977282,0,6925266118,0,1872787681,0,378738075,6891035,2335967093,0,8784805107,42995,3675434906,1467142,1335279135,0,981793760,0,610032847,0,947586789,0,916236089,1856981,300596105,0,13316635390,0,2327483419,14777,446946907,0,1275307959,0,905987827,0,1160581894,0,875341813,0,595547172,0,446701482,0,223377403,0,406921965,0,12650452199,0,4152825636,61844,2736780838,38309,927773605,33289,831778202,5020,95995403,176269,48688719,0,552661641,0,760429672,0,611987881,0,1123637043,0,1747989872,0,339032367,0,15258136059,5768839,9174074877,5011078,7898017334,691024,1181410598,2893436,3083283826,826,274292443,19614099,2242260293,0,8007091674,0,2013537452,0,410454485,1130732,283585760
1,2011,65546474948,0,359055859,0,971581774,0,1247066026,0,6798023258,0,1907991005,0,358987405,6280636,2187820812,0,8786145775,40852,3709150672,1267769,1294607937,0,993383954,0,630512226,0,920656825,0,966664594,1330924,254316691,0,13803298135,0,2316523730,15029,377196194,0,1126202442,0,1199910217,0,1199795304,0,1001324593,0,658738879,0,438334823,0,245033487,0,453820325,0,11600075378,0,3564780065,57252,2320559978,32161,777597687,27155,689725133,5006,87872554,154680,37872163,0,433116619,0,762880445,0,518343354,0,1205477111,0,1680083577,0,313747702,0,14033416277,5362242,8204173185,4650676,6940332843,649319,1166308894,2814618,2997168362,840,265958670,19030402,2046345950,0,7947812466,0,2108861663,0,394933169,909594,226707929
1,(Ratio to PY),97.3,-,88.4,-,102.7,-,112.9,-,98.2,-,101.9,-,94.8,91.1,93.7,-,100.0,95.0,100.9,86.4,97.0,-,101.2,-,103.4,-,97.2,-,105.5,71.7,84.6,-,103.7,-,99.5,101.7,84.4,-,88.3,-,132.4,-,103.4,-,114.4,-,110.6,-,98.1,-,109.7,-,111.5,-,91.7,-,85.8,92.6,84.8,83.9,83.8,81.6,82.9,99.7,91.5,87.8,77.8,-,78.4,-,100.3,-,84.7,-,107.3,-,96.1,-,92.5,-,92.0,93.0,89.4,92.8,87.9,94.0,98.7,97.3,97.2,101.7,97.0,97.0,91.3,-,99.3,-,104.7,-,96.2,80.4,79.9
1,2008 (FY),71145593490,0,382988056,0,941281117,0,1707519642,0,6474188799,0,1827144633,0,376531849,5883550,1969299420,0,9229718383,33828,4225905950,1334279,1269302350,0,987861356,0,694943774,0,806360322,0,933590843,1614236,290783483,0,14025532802,0,2231936247,18095,630996915,0,1482874634,0,1100884936,0,1164412115,0,1116806953,0,836516082,0,524869226,0,180176751,0,361387777,0,13571224481,0,4068399276,46786,2631227062,46128,1338856229,39976,1184370353,6152,154485876,147623,59223468,0,888650530,0,846442301,0,832977137,0,1001884681,0,1611692089,0,430380402,0,16896425325,6938692,11129323736,6019182,9591061559,868138,1426957847,2338939,2627296133,1306,502388576,17909670,1986051939,0,7916714885,0,1773274232,0,431802508,1470120,433293138
1,2009 (FY),59007878982,0,387814817,0,903808116,0,996688521,0,6377323871,0,1845623314,0,383390953,6733657,2096429293,0,7535487265,38667,3032471918,1485656,1180743859,0,847334507,0,576659504,0,815971034,0,801360732,1580457,263760880,0,10385124173,0,1997008572,13853,444010782,0,1269145434,0,576057309,0,994797433,0,578498191,0,471242475,0,438450442,0,141860616,0,302823350,0,11695912373,0,3822332852,53069,2543802315,40491,985773535,35417,896582489,5074,89191046,187942,48801029,0,551065235,0,748975532,0,690554913,0,902631986,0,1489704887,0,344943706,0,13287634030,4915822,7745080028,4266545,6757386488,599392,916069110,2468593,2665239631,767,263348946,18691327,2105165213,0,7438085816,0,1766001620,0,383640819,1293985,311077664
1,2010 (FY),67788837683,0,406941012,0,952970205,0,1180723322,0,7025015592,0,1912567171,0,379192745,6854310,2342329602,0,8922111772,43228,3791914680,1396274,1325328390,0,997753714,0,615771186,0,949571458,0,926611825,1821482,297411068,0,13781396318,0,2360305495,14520,428536598,0,1242874929,0,995498806,0,1178353978,0,936851257,0,633897948,0,442756565,0,241686039,0,426375491,0,12544055602,0,4069848648,62543,2674839057,36482,906166131,31774,806859354,4708,99306777,172140,45839751,0,529400627,0,764477544,0,595924933,0,1159963862,0,1758359251,0,330836495,0,15022594742,5735582,9035906988,4995393,7781600737,672746,1160006989,2899486,3086380402,829,268124530,18952815,2147099982,0,7953029118,0,2034534328,0,408833246,1072379,267434751
1,(Ratio to PY(FY)),114.9,-,104.9,-,105.4,-,118.5,-,110.2,-,103.6,-,98.9,101.8,111.7,-,118.4,111.8,125.0,94.0,112.2,-,117.8,-,106.8,-,116.4,-,115.6,115.3,112.8,-,132.7,-,118.2,104.8,96.5,-,97.9,-,172.8,-,118.5,-,161.9,-,134.5,-,101.0,-,170.4,-,140.8,-,107.3,-,106.5,117.9,105.2,90.1,91.9,89.7,90.0,92.8,111.3,91.6,93.9,-,96.1,-,102.1,-,86.3,-,128.5,-,118.0,-,95.9,-,113.1,116.7,116.7,117.1,115.2,112.2,126.6,117.5,115.8,108.1,101.8,101.4,102.0,-,106.9,-,115.2,-,106.6,82.9,86.0
1,2010 Oct.-Dec.,17274301550,0,119719933,0,239600024,0,270092531,0,1752884207,0,475808063,0,91239025,1810748,579798471,0,2208547185,10586,920128679,339109,315829226,0,262141074,0,162966227,0,238114281,0,233491265,427553,71226550,0,3582264370,0,631200209,3580,107630729,0,306749092,0,272277692,0,300466374,0,231847707,0,163476882,0,119424158,0,62989369,0,112332690,0,3179073709,0,988859369,15260,644485408,10268,250033818,9081,223977222,1186,26056596,36479,11295175,0,120574069,0,199266949,0,159371256,0,297038987,0,452108594,0,80522661,0,3844667130,1546154,2415315616,1356275,2088908818,173741,302369260,777392,815952717,206,66863641,3772671,427705250,0,2077452461,0,511271682,0,101447708,259372,68452518
