Exp or Imp,Year & Month,Grand Total,FOODSTUFF,,RAW MATERIALS,,MINERAL FUELS,,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,, PLASTIC MATERIALS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, RUBBER MANUFACTURED,, PAPER & PAPER MANUFACTURES,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,, METALWORKING MACHINERY,, PUMP AND CENTRIFUGES,, CONSTRUCTION MACHINES,, MECHANICAL HANDLING EQUIP,, HEATING OR COOLING MACHINE,, TEXTILE MACHINES,, BALL OR ROLLER BEARINGS,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, (TV RECEIVER),, AUDIO APPARATUS,," PARTS OF AUDIO, VISUAL APP.",, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,, ELECTRICAL APPARATUS,, BATTERIES AND ACCUMULATORS,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, (CAR),, (BUS&TRUCK),, PARTS OF MOTOR VEHICLES,," MOTORCYCLES, AUTOCYCLES",, SHIPS,,OTHERS,," SCIENTIFIC, OPTICAL INST",, PHOTOGRAPHIC SUPPLIES,, BLANK/RECORDED MEDIA,
1,2011 Jan.-Mar.,16417670786,0,98479651,0,251094876,0,305260089,0,1812979913,0,543478021,0,93120076,1700287,573736386,0,2206761632,11211,969013558,321826,330576973,0,241034282,0,140941780,0,227605636,0,224057364,429861,70073536,0,3454202514,0,581227911,3182,89427334,0,284086020,0,277346727,0,293168564,0,252229458,0,170787195,0,106500076,0,66173029,0,110833603,0,2849090903,0,909815045,14567,592910852,7178,180998845,6101,158514456,1077,22484389,39568,9720105,0,103916270,0,184385124,0,130088753,0,291253491,0,407680016,0,73433466,0,3607456783,1307580,2068401428,1151086,1794754034,142388,251864286,672161,723115077,216,81883566,5491269,608609027,0,1832344425,0,482315360,0,97881555,216930,54552981
1,2011 Apr.-Jun.,15690558458,0,81522723,0,235020453,0,272455523,0,1756606400,0,470550761,0,96278678,1524097,572919972,0,2250745865,10148,946354610,277747,329445863,0,242281520,0,165250937,0,246737746,0,251762416,327798,64652087,0,3491836649,0,551858280,3918,89029784,0,283655800,0,282045865,0,308639174,0,226896772,0,159128910,0,131191959,0,68349563,0,117210746,0,2823703486,0,881086594,14255,547701343,7709,181797660,6517,160048506,1192,21749154,35557,8076504,0,113604353,0,183338740,0,125255522,0,280789179,0,409731036,0,78107140,0,2813750000,969729,1409295074,832311,1177124105,124610,214029527,630573,664563251,203,58132637,5002486,542332127,0,1964917359,0,521468485,0,100858556,218622,53756501
1,2011 Jul.-Sep.,17111262564,0,80658633,0,247328518,0,399717169,0,1649466761,0,453270536,0,84914842,1548374,532895892,0,2219553360,10008,930895127,323581,332880155,0,250229011,0,156061297,0,238891198,0,244954021,292950,61373724,0,3469342736,0,592773515,3725,103711355,0,289229016,0,313555154,0,298242446,0,253224385,0,165703623,0,101973929,0,55420873,0,115694117,0,3099872978,0,946852059,15326,627023648,10155,240289142,8670,217937524,1485,22351618,40888,10053804,0,124117004,0,196166540,0,136241121,0,325880711,0,440257782,0,87220486,0,3779767105,1465076,2303210904,1261922,1935757499,186450,340919977,748504,800152747,194,52179279,4694805,497047567,0,2165555304,0,563021677,0,99168419,249717,59298731
1,2011 Oct.-Dec.,16326983140,0,98394852,0,238137927,0,269633245,0,1578970184,0,440691687,0,84673809,1507878,508268562,0,2109084918,9485,862887377,344615,301704946,0,259839141,0,168258212,0,207422245,0,245890793,280315,58217344,0,3387916236,0,590664024,4203,95027721,0,269231606,0,326962471,0,299745120,0,268973978,0,163119151,0,98668859,0,55090022,0,110081859,0,2827408011,0,827026367,13104,552924135,7119,174512040,5866,153224647,1252,21287393,38667,10021750,0,91478992,0,198990041,0,126757958,0,307553730,0,422414743,0,74986610,0,3832442389,1619857,2423265779,1405357,2032697205,195871,359495104,763381,809337287,228,73763188,3841842,398357229,0,1984995378,0,542056141,0,97024639,224324,59099716
1,(Ratio to ST),94.5,-,82.2,-,99.4,-,99.8,-,90.1,-,92.6,-,92.8,83.3,87.7,-,95.5,89.6,93.8,101.6,95.5,-,99.1,-,103.2,-,87.1,-,105.3,65.6,81.7,-,94.6,-,93.6,117.4,88.3,-,87.8,-,120.1,-,99.8,-,116.0,-,99.8,-,82.6,-,87.5,-,98.0,-,88.9,-,83.6,85.9,85.8,69.3,69.8,64.6,68.4,105.6,81.7,106.0,88.7,-,75.9,-,99.9,-,79.5,-,103.5,-,93.4,-,93.1,-,99.7,104.8,100.3,103.6,97.3,112.7,118.9,98.2,99.2,110.6,110.3,101.8,93.1,-,95.5,-,106.0,-,95.6,86.5,86.3
1,2010 Dec.,6112000870,0,45502421,0,90116004,0,105530477,0,635259102,0,167827753,0,29987202,633358,214387828,0,781232567,3661,323936677,112624,109095674,0,95587381,0,60616591,0,81783401,0,83831329,149671,24636261,0,1302179355,0,223562566,1292,37181098,0,97675210,0,100347006,0,110612819,0,88856790,0,61675061,0,52365475,0,22490723,0,39718973,0,1091391436,0,338966199,5207,215962765,2876,72701698,2423,63248907,453,9452791,12916,4012138,0,37475209,0,68830718,0,55955461,0,104617925,0,157016427,0,29286126,0,1352815271,536585,856240955,471125,738060128,60181,109837888,280395,300327484,69,22087600,1229053,132221189,0,707974237,0,184326830,0,37054522,81506,21963614
1,2011 Jan.,4970132453,0,29809865,0,69771572,0,104196173,0,552805784,0,172860568,0,29286972,479921,167863703,0,645825790,3477,292067584,91576,93588220,0,67788102,0,37962906,0,71007947,0,62515951,122896,20088381,0,976168309,0,169145290,966,27107911,0,91002543,0,63036081,0,78515565,0,67477583,0,45696889,0,26214216,0,14691853,0,31941729,0,845738409,0,279350831,4539,183381844,1939,51930070,1620,45406693,319,6523377,11602,3068505,0,28414642,0,48837167,0,43347526,0,81698789,0,123338146,0,22572400,0,1176041097,408388,655367751,362621,571348529,41198,77375139,196738,213346678,63,24665892,2208222,248121122,0,569775454,0,146378849,0,30026599,69383,17277173
1,2011 Feb.,5589021184,0,32583453,0,91398918,0,99428138,0,610999030,0,176293391,0,32198644,610875,199557776,0,734443327,3682,316871408,104255,107284327,0,82989642,0,48632154,0,73676290,0,79287736,153220,24467211,0,1194104224,0,200287254,1019,28815605,0,102903714,0,95033105,0,107721642,0,92572114,0,59656606,0,35267383,0,23857164,0,37458100,0,959096283,0,292462285,4882,192610841,2488,64113098,2124,55769189,364,8343909,13368,3689926,0,33765057,0,64871112,0,43962487,0,101790546,0,140018835,0,24105974,0,1276164959,503018,811527793,441793,703999807,55850,98729307,243887,264483571,78,30421511,1227160,126222651,0,590802852,0,158956218,0,31630247,89111,18504911
1,2011 Mar.,5858517149,0,36086333,0,89924386,0,101635778,0,649175099,0,194324062,0,31634460,609491,206314907,0,826492515,4052,360074566,125995,129704426,0,90256538,0,54346720,0,82921399,0,82253677,153745,25517944,0,1283929981,0,211795367,1198,33503818,0,90179763,0,119277541,0,106931357,0,92179761,0,65433700,0,45018477,0,27624012,0,41433774,0,1044256211,0,338001929,5146,216918167,2751,64955677,2358,57338574,393,7617103,14597,2961674,0,41736571,0,70676845,0,42778740,0,107764156,0,144323035,0,26755092,0,1155250727,396174,601505884,346672,519405698,45340,75759840,231536,245284828,75,26796163,2055887,234265254,0,671766119,0,176980293,0,36224709,58436,18770897
1,2011 Apr.,5156647982,0,28269375,0,81681882,0,55311275,0,667217466,0,183279282,0,44933242,552373,213886521,0,762928001,3379,315652798,93643,116523823,0,88708094,0,56135962,0,81037960,0,81169040,122939,22265703,0,1173578146,0,189664968,1340,26420799,0,89181302,0,95542579,0,105750991,0,64905900,0,54628301,0,43174466,0,25439810,0,40717668,0,966352508,0,297698416,4522,181974740,2105,44483113,1696,36604421,409,7878692,14751,2956009,0,43338783,0,67250899,0,41987103,0,99219946,0,146456987,0,26199357,0,758073813,214317,255237395,184237,214967600,26859,36869850,230509,243599856,65,18203639,1609532,184783858,0,663235516,0,170551803,0,34800798,55107,16573997
1,2011 May.,4759297307,0,23815597,0,69811898,0,93807370,0,538624032,0,152848516,0,25670133,464982,172105717,0,713981998,3290,307358417,88408,105512150,0,70755583,0,50788785,0,78055838,0,80264640,96250,20036068,0,1062478884,0,160408568,1204,26629829,0,88520278,0,86511856,0,97721421,0,71925984,0,48708869,0,47316052,0,20581945,0,35024238,0,848440013,0,277654578,4635,173279064,2224,54678926,1835,48044934,389,6633992,9874,2375575,0,33432630,0,54301077,0,37982980,0,78473883,0,119021050,0,22919444,0,810666293,281918,402244430,242069,332856461,35653,63562810,174756,184222014,64,19684170,1668819,164947441,0,597671222,0,162009793,0,30530234,76797,16730952
1,2011 Jun.,5774613169,0,29437751,0,83526673,0,123336878,0,550764902,0,134422963,0,25675303,506742,186927734,0,773835866,3479,323343395,95696,107409890,0,82817843,0,58326190,0,87643948,0,90328736,108609,22350316,0,1255779619,0,201784744,1375,35979156,0,105954220,0,99991430,0,105166762,0,90064888,0,55791740,0,40701441,0,22327808,0,41468840,0,1008910965,0,305733600,5099,192447539,3380,82635621,2986,75399151,395,7236470,10931,2744920,0,36832940,0,61786764,0,45285439,0,103095350,0,144252999,0,28988339,0,1245009894,473494,751813249,406005,629300044,62098,113596867,225308,236741381,73,20244828,1724135,192600828,0,704010621,0,188906889,0,35527524,86718,20451552
1,2011 Jul.,5781762864,0,27415467,0,81683346,0,138384788,0,559869528,0,141633474,0,28364883,516470,185125692,0,757513133,3286,311911957,101416,110006651,0,85118719,0,56791942,0,83435477,0,86793798,100524,21840272,0,1235610062,0,209381898,1395,33723172,0,107623270,0,107461737,0,103107822,0,83714502,0,55141171,0,38662787,0,22085438,0,41313683,0,1059378452,0,320892523,5236,207763453,3659,85952215,3155,78100474,504,7851741,12291,3539958,0,40260151,0,65650708,0,47656623,0,112466700,0,149340223,0,30440614,0,1245500018,481633,770154853,410326,638430822,65506,122615099,250489,269170795,73,18901291,1406756,147641674,0,676408070,0,194819407,0,36297435,88314,21565953
1,2011 Aug.,5355680930,0,26218077,0,82358404,0,139784930,0,547160259,0,163944939,0,24883948,518160,170826193,0,725860337,3454,315575974,107398,108960274,0,77125180,0,48928038,0,78555283,0,76278992,95098,19099437,0,1084182782,0,172996950,1196,35207708,0,93238177,0,99651308,0,90993106,0,76547142,0,53250119,0,29965972,0,17452227,0,34954592,0,962572721,0,295835448,5007,197128178,3306,75798716,2793,68889212,513,6909504,13382,3108069,0,39087055,0,60883555,0,43140512,0,96458620,0,136955665,0,27213463,0,1087036078,434942,669397490,376832,568470479,53539,94788419,219565,233430921,58,14953811,1121926,129890495,0,700507342,0,174109178,0,30579958,77881,18655801
1,2011 Sep.,5973818770,0,27025089,0,83286768,0,121547451,0,542436974,0,147692123,0,31666011,513744,176944007,0,736179890,3268,303407196,114767,113913230,0,87985112,0,50341317,0,76900438,0,81881231,97328,20434015,0,1149549892,0,210394667,1133,34780475,0,88367569,0,106442109,0,104141518,0,92962741,0,57312333,0,33345170,0,15883208,0,39425842,0,1077921805,0,330124088,5083,222132017,3189,78538211,2722,70947838,467,7590373,15215,3405777,0,44769798,0,69632277,0,45443986,0,116955391,0,153961894,0,29566409,0,1447231009,548501,863658561,474764,728856198,67405,123516459,278450,297551031,62,18324177,2166123,219515398,0,788639892,0,194093092,0,32291026,83523,19076977
1,2011 Oct.,5506927685,0,27550621,0,74032758,0,120218643,0,550357655,0,160728058,0,26890788,515769,175253356,0,722365952,3365,302635898,121660,107025642,0,87319608,0,54628437,0,69249919,0,80178863,95484,19696472,0,1102237095,0,198526684,1389,32924615,0,89174588,0,95403616,0,100311956,0,86552432,0,56471942,0,34503142,0,20908455,0,36844055,0,971696473,0,274638816,4315,179381042,3252,80450379,2790,72578988,462,7871391,13615,3502038,0,34860436,0,69248361,0,43264041,0,101313751,0,143321650,0,26573226,0,1263372366,555104,830311271,484746,709572048,64315,111255499,254386,268949683,69,20316607,880842,105904582,0,675096122,0,184815118,0,31302581,84845,20312485
1,2011 Nov.,5196173431,0,31991372,0,78746582,0,76375228,0,482318121,0,135106293,0,26037860,483433,155700241,0,668376267,3023,273301020,113525,94498117,0,80952803,0,54143905,0,67675328,0,77514772,92744,18737886,0,1066431482,0,189006077,1413,29624011,0,92472110,0,108814390,0,87518343,0,81974465,0,51870510,0,29683099,0,16754230,0,35423583,0,874679005,0,257341713,4215,174348732,1899,43762305,1487,37584232,412,6178073,11862,3003332,0,27941025,0,61762362,0,39617156,0,95729108,0,133361868,0,23077404,0,1273745722,525867,771993765,452013,636362523,68188,126431543,241933,256520260,79,26269388,1613733,176920201,0,643509652,0,174886407,0,29686851,68367,18750085
1,2011 Dec.,5623882024,0,38852859,0,85358587,0,73039374,0,546294408,0,144857336,0,31745161,508676,177314965,0,718342699,3097,286950459,109430,100181187,0,91566730,0,59485870,0,70496998,0,88197158,92087,19782986,0,1219247659,0,203131263,1401,32479095,0,87584908,0,122744465,0,111914821,0,100447081,0,54776699,0,34482618,0,17427337,0,37814221,0,981032533,0,295045838,4575,199194361,1968,50299356,1589,43061427,379,7237929,13191,3516380,0,28677531,0,67979318,0,43876761,0,110510871,0,145731225,0,25335980,0,1295324301,538886,820960743,468598,686762634,63368,121808062,267063,283867344,79,27177193,1347267,115532446,0,666389604,0,182354616,0,36035207,71112,20037146
1,(Ratio to SM),92.0,-,85.4,-,94.7,-,69.2,-,86.0,-,86.3,-,105.9,80.3,82.7,-,91.9,84.6,88.6,97.2,91.8,-,95.8,-,98.1,-,86.2,-,105.2,61.5,80.3,-,93.6,-,90.9,108.4,87.4,-,89.7,-,122.3,-,101.2,-,113.0,-,88.8,-,65.8,-,77.5,-,95.2,-,89.9,-,87.0,87.8,92.2,68.4,69.2,65.6,68.1,83.7,76.6,102.1,87.6,-,76.5,-,98.8,-,78.4,-,105.6,-,92.8,-,86.5,-,95.8,100.4,95.9,99.5,93.0,105.3,110.9,95.2,94.5,114.5,123.0,109.6,87.4,-,94.1,-,98.9,-,97.2,87.2,91.2
