Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, INSULATED WIRE AND CABLE,, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, (TELEPHONE SETS),, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,TNO  ,Value, MT  ,Value,     ,Value,     ,Value,MNO  ,Value, MT  ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value
2,2018,82703304395,0,7246738864,2063832,1662912007,,,3013183,1516156838,25113014,809460029,3093017,550537303,2559182,550232762,0,4991686155,0,407810263,11903,1562842015,123852,1029636818,3236413,170089931,0,19294048227,175897,8906272816,0,2073963563,30412,1521895403,82852,4738938853,10734,690892181,189320,2812123913,113547,1484836165,0,8550029456,0,1937884111,102099403,2962207820,0,7459064040,8025453,1018784782,3589573,1999722140,0,1292646951,0,967562915,0,743259636,0,792038888,0,7949974347,410036,1448730006,94602,2028952311,112963,503012019,0,12337898435,0,2816476172,20918,2214727529,369624,818306658,0,1268190676,,,0,655665782,0,3086753543,35289459,1968288791,0,785837832,0,3490417894,387547,1428371051,0,986109020,0,733499277,0,11383446977,0,1832948616,0,3306727213,1542176,778837423,0,614851768
2,2019,78599509951,0,7191580550,2080965,1609181843,,,3044202,1540079301,24767420,797346366,2959724,536864573,2578477,538632220,0,4861194870,0,357309440,11503,1377936105,119561,1188303008,3392154,167315776,0,16950647656,173864,7969046194,0,1537288379,28270,1159047474,77327,4349779154,10519,532751242,186178,2528242883,110916,1312797776,0,8163450079,0,1691145038,105028026,3091876844,0,7068411410,8316641,948006180,3308875,1750155871,0,1299844804,0,946990640,0,694374405,0,764804416,0,7582616987,366428,1231235337,108436,2210831928,124218,523988311,0,11992000195,0,2581350664,20522,2008280030,377300,824467687,0,1368556846,,,0,664102723,0,2846267281,33212294,1694305435,0,762823503,0,3560705945,364444,1408351169,0,890622323,0,905296512,0,11228902259,0,1817899232,0,3204537609,1586832,787911522,0,643708378
2,2020,68010831589,0,6679373581,1902081,1368622117,,,2879048,1431065975,24562265,766126094,2765319,504026557,2609971,536853003,0,4681567658,0,278948906,10130,1504852204,99433,1034363333,3163360,159160006,0,11254098773,146026,4646424381,0,1245152973,31253,974555732,74464,3205056053,9796,430480587,173730,1707597618,104847,906343539,0,7858764463,0,1668801660,103550519,3197263742,0,6563542894,6573272,705979060,2630492,1723276440,0,1135830489,0,1245822525,0,570299215,0,617168418,0,7042543979,300885,897201678,108825,2406227691,94537,413027878,0,11354354517,0,2505843229,24525,1990530197,337336,749139628,0,1276892625,,,0,604766057,0,2850319263,34534967,1603579115,0,638168613,0,2599763047,310020,1165325800,0,674701582,0,441281897,0,9976822677,0,1711686783,0,2723661938,1660243,747969616,0,506252972
2,(Ratio to PY),86.5,-,92.9,91.4,85.1,,,94.6,92.9,99.2,96.1,93.4,93.9,101.2,99.7,-,96.3,-,78.1,88.1,109.2,83.2,87,93.3,95.1,-,66.4,84,58.3,-,81,110.6,84.1,96.3,73.7,93.1,80.8,93.3,67.5,94.5,69,-,96.3,-,98.7,98.6,103.4,-,92.9,79,74.5,79.5,98.5,-,87.4,-,131.6,-,82.1,-,80.7,-,92.9,82.1,72.9,100.4,108.8,76.1,78.8,-,94.7,-,97.1,119.5,99.1,89.4,90.9,-,93.3,,,-,91.1,-,100.1,104,94.6,-,83.7,-,73,85.1,82.7,-,75.8,-,48.7,-,88.8,-,94.2,-,85,104.6,94.9,-,78.6
2,2017 (FY),76810476310,0,7129509429,2156843,1671588563,,,2978758,1488448656,25167475,766968849,3015482,543488688,2505390,521171841,0,4866328743,0,392980894,11185,1469574254,126822,1099107284,3194010,168078542,0,16250831279,182857,7282805522,0,1665751858,29703,1208035829,83888,4076215724,10754,621725039,191084,2553111608,114480,1305614090,0,7834473465,0,1755893908,102488941,2744242714,0,6972491396,8028277,942726584,3496347,1809687835,0,1197851320,0,925732087,0,702949287,0,751813060,0,7411490439,382283,1297601524,87052,2008998835,110651,502419191,0,12133417146,0,2791593211,22264,2193974667,347147,756307422,0,1214793668,,,0,631942088,0,3132723119,36154444,1966645497,0,740523958,0,3220286963,374601,1375705530,0,945770019,0,540416622,0,10991647450,0,1751372025,0,3100353233,1523024,759785601,0,591787399
2,2018 (FY),82318968862,0,7221944806,2081700,1669593779,,,3003745,1520438153,24775927,809981185,3004157,543421654,2549080,546582413,0,4883758303,0,396656023,11884,1473007139,121843,1032425577,3228220,168425096,0,19094368868,173477,8721300043,0,1949959525,29613,1440358040,80553,4862365822,10632,654782998,188527,2840587962,113781,1518566332,0,8524461408,0,1901102795,101468981,2968240340,0,7455488702,8260371,1031368165,3526520,1955330081,0,1305618680,0,976944840,0,740051573,0,800346892,0,7911242779,414703,1418991044,97123,2053875931,113328,505412611,0,12334460085,0,2782477864,20399,2183834970,374881,831159173,0,1302946770,,,0,661066789,0,3041162165,34602813,1923875861,0,790205500,0,3510159168,373903,1387041727,0,979643483,0,813937372,0,11383084743,0,1818903417,0,3327413992,1539508,781282265,0,619625804
2,2019 (FY),77172426785,0,7141364040,2040493,1551635897,,,3046491,1551481051,25035615,801944156,2914988,533205192,2591222,542830422,0,4878595829,0,343218035,11486,1360378320,117804,1230133363,3359311,166371105,0,16565508135,172033,7980390210,0,1569217538,28913,1209081616,76498,4094721209,10444,523970994,186875,2367444667,109968,1211649033,0,8078320936,0,1652080871,104234953,3158154074,0,6907096707,7910819,893571939,3247885,1770216428,0,1260845781,0,926472586,0,666229086,0,736831261,0,7350288441,347298,1176290365,105832,2148036625,119780,502937201,0,11762290083,0,2580043291,21864,2017129807,370331,813808444,0,1337922940,,,0,645799011,0,2782306147,31954428,1621216737,0,743287207,0,3485274803,363008,1416869289,0,854437676,0,858559004,0,11003687811,0,1812091573,0,3122487357,1555828,768307313,0,632113792
2,(Ratio to PY(FY)),93.7,-,98.9,98,92.9,,,101.4,102,101,99,97,98.1,101.7,99.3,-,99.9,-,86.5,96.6,92.4,96.7,119.1,104.1,98.8,-,86.8,99.2,91.5,-,80.5,97.6,83.9,95,84.2,98.2,80,99.1,83.3,96.6,79.8,-,94.8,-,86.9,102.7,106.4,-,92.6,95.8,86.6,92.1,90.5,-,96.6,-,94.8,-,90,-,92.1,-,92.9,83.7,82.9,109,104.6,105.7,99.5,-,95.4,-,92.7,107.2,92.4,98.8,97.9,-,102.7,,,-,97.7,-,91.5,92.3,84.3,-,94.1,-,99.3,97.1,102.2,-,87.2,-,105.5,-,96.7,-,99.6,-,93.8,101.1,98.3,-,102
2,2019 Oct.-Dec.,19767649804,0,1827554446,570712,431114139,,,766739,391958454,6359897,201650023,718403,134785023,603116,120310477,0,1258586404,0,79977328,2895,340095561,29951,342583779,841058,40041502,0,4136611201,44301,1991788461,0,400233341,7543,305513800,19378,1025807059,2546,123688002,48602,590200035,28656,301265263,0,1984126462,0,417084994,26200775,780000513,0,1732904129,2047493,224696822,837072,445188532,0,319708050,0,240138004,0,161594118,0,183814991,0,1843175166,83451,303901394,28347,561867108,32667,129359384,0,3177529097,0,653384224,5604,508573693,93812,204883171,0,370769341,,,0,158480449,0,859522127,10155365,544096622,0,186312264,0,940658222,89605,373353354,0,216427247,0,271581135,0,2866504677,0,453663847,0,798088399,412795,201078317,0,171222479
