Exp or Imp,Year & Month,Grand Total,FOODSTUFF,,RAW MATERIALS,,MINERAL FUELS,,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,, PLASTIC MATERIALS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, RUBBER MANUFACTURED,, PAPER & PAPER MANUFACTURES,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,, SEMICON MACHINERY ETC,, METALWORKING MACHINERY,, PUMP AND CENTRIFUGES,, CONSTRUCTION MACHINES,, MECHANICAL HANDLING EQUIP,, HEATING OR COOLING MACHINE,, TEXTILE MACHINES,, BALL OR ROLLER BEARINGS,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, VISUAL APPARATUS,, AUDIO & VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, (TV RECEIVER),, AUDIO APPARATUS,," PARTS OF AUDIO, VISUAL APP.",, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,, ELECTRICAL APPARATUS,, BATTERIES AND ACCUMULATORS,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, (CAR),, (BUS&TRUCK),, PARTS OF MOTOR VEHICLES,," MOTORCYCLES, AUTOCYCLES",, AIRCRAFT,, SHIPS,,OTHERS,," SCIENTIFIC, OPTICAL INST",, PHOTOGRAPHIC SUPPLIES,, BLANK/RECORDED MEDIA,
,,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, KG  ,Value, MT  ,Value,     ,Value,TMT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value, MT  ,Value,TNO  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value,     ,Value,MNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value, NO  ,Value, NO  ,Value, MT  ,Value,TNO  ,Value,     ,Value, GT  ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value
1,2018,81478752674,0,740655265,0,1155748352,0,1304190674,0,8921534197,0,2051346205,43202935,648722212,5824640,2557367234,0,9136203573,36136,3441212218,1425135,1513102011,0,1303126572,0,724892055,0,899770851,1447971,904539732,2311907,326562314,0,16507716365,1554169,2948840282,13648,375763396,165400,1061428551,158437,2728583609,0,1220587267,0,1295103501,0,1232777208,0,714029979,0,447251747,0,265610307,333630,498621479,0,14142055940,0,4150171955,68889,2903999486,,,91177,513200007,7573,364038571,5390,101812235,,,0,250874903,0,953756541,0,578893429,0,1737131823,0,2077584159,0,604732240,0,18876664329,6114235,12307209273,5393300,10938065185,659962,1292657291,2968493,3990920691,897,337208558,0,479293995,12887488,1367896338,0,10693983979,0,2314101323,0,532907104,,
1,2019,76931664915,0,754266770,0,1033551971,0,1382973487,0,8739096352,0,1907102664,42463537,733105490,5838554,2429667622,0,8407008622,33419,3074011235,1343935,1368403702,0,1216583342,0,704869566,0,857308108,1478418,882526355,1874929,280022729,0,15121618007,1433315,2727906305,13534,360599346,155546,966695664,130326,2467042434,0,1065209545,0,1229504740,0,1139679690,0,645734998,0,423588373,0,224935867,312137,464597778,0,13207674637,0,4005965405,63713,2836056793,,,88296,450892350,9801,301233242,4984,105062341,,,0,228185686,0,943691611,0,447169851,0,1626786813,0,1851516334,0,543182577,0,18118039901,6102517,11971189498,5395022,10682017265,649799,1222822098,2706113,3601667228,822,267425319,0,494563824,15270605,1492840571,0,10167435168,0,2129712395,0,527609618,,
1,2020,68399121047,0,790111486,0,1019845123,0,722807011,0,8533621792,0,1555589226,43378754,835974639,5833797,2419779183,0,7503626803,31824,2573732546,1589662,1589479908,0,1040724353,0,590944244,0,729996184,1186979,702471741,2112345,257548357,0,13140305706,1148387,2169161668,14246,305357136,124965,868183566,135830,2517183314,0,777109752,0,1173229804,0,896519682,0,497891121,0,369950117,0,181156512,235029,368784904,0,12898112476,0,4155313784,73094,2905390832,,,65414,379262513,8631,258490755,3859,81003057,,,0,189300457,0,992254499,0,376883540,0,1530338895,0,1741031800,0,519122361,0,14456212742,4837815,9579635253,4284376,8633384134,506004,901599256,2144417,2912362836,687,224579414,0,324391284,14164950,1142045698,0,9334477908,0,1968031618,0,499730719,,
1,(Ratio to PY),88.9,-,104.8,-,98.7,-,52.3,-,97.6,-,81.6,102.2,114,99.9,99.6,-,89.3,95.2,83.7,118.3,116.2,-,85.5,-,83.8,-,85.1,80.3,79.6,112.7,92,-,86.9,80.1,79.5,105.3,84.7,80.3,89.8,104.2,102,-,73,-,95.4,-,78.7,-,77.1,-,87.3,-,80.5,75.3,79.4,-,97.7,-,103.7,114.7,102.4,,,74.1,84.1,88.1,85.8,77.4,77.1,,,-,83,-,105.1,-,84.3,-,94.1,-,94,-,95.6,-,79.8,79.3,80,79.4,80.8,77.9,73.7,79.2,80.9,83.6,84,-,65.6,92.8,76.5,-,91.8,-,92.4,-,94.7,,
1,2017 (FY),79221249293,0,660624390,0,1119834162,0,1121605178,0,8352909574,0,1963753325,41882410,594865391,6061785,2518294836,0,8810712438,37331,3309917902,1358321,1441905171,0,1249618521,0,717780332,0,875157155,1411468,886591946,2162869,306698418,0,16013108830,1477486,2792758900,14515,381602308,166590,1077722881,161851,2643177926,0,1196706583,0,1271366534,0,1137642851,0,678977754,0,413452355,0,268450681,328849,487477957,0,13807753436,0,4040420434,70358,2817019035,,,111746,514319836,7618,378415391,5670,93473194,,,0,276424816,0,940569390,0,706163394,0,1609872686,0,2089182073,0,553593274,0,18452758118,6050923,12084080152,5318744,10728406109,675486,1286263301,2907974,3912722211,886,330647238,0,477545736,11595730,1262371274,0,10881943167,0,2402807052,0,505972553,,
1,2018 (FY),80709886575,0,754395651,0,1137772872,0,1361083168,0,8928450340,0,2034633730,44533102,645147118,5817290,2529098471,0,8972857687,34284,3337515248,1410100,1459059183,0,1294600721,0,727606070,0,902774019,1465827,907585965,2230966,320365295,0,16314390062,1554901,2942127373,13374,377483531,162990,1041512593,150537,2640872743,0,1178105634,0,1287618690,0,1248487874,0,718941711,0,450896220,0,250565951,333640,498170528,0,13936234666,0,4080695972,66089,2854764774,,,89203,499774531,7709,345590304,5365,107396849,,,0,242438976,0,943193519,0,547075658,0,1734372690,0,2023164132,0,599861092,0,18781845292,6144181,12266795358,5420971,10911400535,661083,1278062433,2938888,3938189759,872,313419187,0,471370312,13384804,1429649292,0,10522856837,0,2246508910,0,537860061,,
1,2019 (FY),75878791946,0,744472198,0,1042783651,0,1348716341,0,8690698486,0,1836481810,41644618,765869722,5796513,2430504632,0,8407735122,35129,3105098361,1381075,1412165023,0,1195516954,0,701057853,0,823020754,1466638,871308211,1922166,277261844,0,14624765927,1384402,2648611833,14243,352034766,152474,957592885,123040,2407186425,0,990595182,0,1215699568,0,1057270747,0,607602063,0,408127767,0,218248408,296994,443855505,0,13253714097,0,4092322548,66631,2897551887,,,85447,440197026,10415,295052076,4832,100508765,,,0,227204745,0,957405844,0,428029017,0,1616671275,0,1842585880,0,536908350,0,17709585403,5997741,11744035965,5292934,10472254060,646736,1207473907,2638822,3519179922,813,270293900,0,486285554,15756802,1412222541,0,10056320721,0,2123300191,0,534769035,,
1,(Ratio to PY(FY)),94,-,98.7,-,91.7,-,99.1,-,97.3,-,90.3,93.5,118.7,99.6,96.1,-,93.7,102.5,93,97.9,96.8,-,92.3,-,96.4,-,91.2,100.1,96,86.2,86.5,-,89.6,89,90,106.5,93.3,93.5,91.9,81.7,91.2,-,84.1,-,94.4,-,84.7,-,84.5,-,90.5,-,87.1,89,89.1,-,95.1,-,100.3,100.8,101.5,,,95.8,88.1,135.1,85.4,90.1,93.6,,,-,93.7,-,101.5,-,78.2,-,93.2,-,91.1,-,89.5,-,94.3,97.6,95.7,97.6,96,97.8,94.5,89.8,89.4,93.3,86.2,-,103.2,117.7,98.8,-,95.6,-,94.5,-,99.4,,
1,2019 Oct.-Dec.,19531277274,0,209520869,0,252880475,0,332162074,0,2214754586,0,458434579,10830984,185125609,1555829,632944998,0,2093226920,8255,742552806,323515,352337674,0,306643200,0,185993370,0,212834535,363809,216729673,480384,69883130,0,3736466401,355130,676327680,4458,96457591,40451,258546512,35128,662837353,0,251533550,0,317073048,0,216452719,0,141798519,0,103166358,0,55925781,75041,112842003,0,3498217771,0,1096344223,17640,781599207,,,22176,120291639,3098,83067911,1220,24683501,,,0,56300471,0,251924653,0,110369037,0,422102508,0,485856788,0,132700243,0,4523167948,1566315,3032665740,1380660,2709807615,170447,307343043,689208,922090959,232,80888811,0,117947504,3518071,301576187,0,2670880230,0,575502420,0,134347508,,
