2015=100
Exp or Imp,Year,Indexes Area,Commodity,,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Summary Indexes,,,,,,,,,,,,,,,,,
1,2015,WORLD,"Total",Value Index,100,97.45,94.28,109.92,103.93,91.06,103.23,105.74,93.31,101.78,103.81,94.88,100.58
1,2015,WORLD,"Total",Unit Index,100,101.91,99.27,99.71,98.89,99.32,101.42,100.92,101.14,100.74,99.38,98.62,98.67
1,2015,WORLD,"Total",Quantum Index,100,95.62,94.97,110.24,105.08,91.68,101.78,104.77,92.26,101.02,104.45,96.2,101.93
1,2015,WORLD,"*Raw Materials",Value Index,100,95.58,91.6,113.25,110.81,108.68,114.57,103.53,94.94,90.53,99.81,82.69,93.95
1,2015,WORLD,"*Raw Materials",Unit Index,100,104.2,99.04,97.2,100.47,102.87,101.79,102.35,102.39,104.63,100.62,93.08,91.43
1,2015,WORLD,"*Raw Materials",Quantum Index,100,91.73,92.49,116.5,110.28,105.64,112.55,101.14,92.72,86.52,99.19,88.84,102.75
1,2015,WORLD,"*Manufs",Value Index,100,97.83,94.68,110.72,102.62,90.62,103.18,105.95,92.73,101.78,103.94,95.08,100.82
1,2015,WORLD,"*Manufs",Unit Index,100,101.71,99.38,99.76,98.83,99.16,101.25,100.69,101.09,100.74,99.58,98.87,98.93
1,2015,WORLD,"*Manufs",Quantum Index,100,96.18,95.26,110.98,103.83,91.39,101.91,105.22,91.73,101.02,104.37,96.16,101.91
1,2015,WORLD,"Food-stuff",Value Index,100,94.1,80.91,99.65,103.27,91,91.78,98.32,98.35,96.36,112.7,103.26,130.25
1,2015,WORLD,"Food-stuff",Unit Index,100,104.3,93.85,87.26,88.21,92.49,95.25,100.65,105.9,103.96,106.37,109.73,113.35
1,2015,WORLD,"Food-stuff",Quantum Index,100,90.22,86.2,114.2,117.07,98.38,96.36,97.68,92.87,92.69,105.95,94.1,114.9
1,2015,WORLD," Fish & Shellfish",Value Index,100,95.91,82.24,113.73,128.31,95.9,87.96,95.07,104.04,83.62,97.34,88.69,127.14
