File or Sheet,base year,last updated
Industrial Production Index,2015,2022-02-22
Producer Price Index,2015,2022-02-22
Merchandise Trade Index Numbers - Imports,2019,2022-02-22
Merchandise Trade Index Numbers - Exports,2019,2022-02-22
Merchandise Trade Index Numbers - Terms of Trade,2019,2022-02-22
Index of Retail Sales,2019.10-2020.09,2022-02-22
